# time  poten(istate=1)  kinen  toten
1810.7520060000  -40.0181427300  0.2002551774  -39.8178875526
1814.8861430000  -40.0123867100  0.1945053967  -39.8178813133
1819.0202800000  -40.0058560900  0.1879827435  -39.8178733465
1823.1544170000  -39.9986883900  0.1808249962  -39.8178633938
1827.2885540000  -39.9910467600  0.1731949590  -39.8178518010
1831.4226910000  -39.9831180300  0.1652790715  -39.8178389585
1835.5568280000  -39.9751090200  0.1572838641  -39.8178251559
1839.6909650000  -39.9672403600  0.1494295571  -39.8178108029
1843.8251020000  -39.9597376400  0.1419410641  -39.8177965759
1847.9592390000  -39.9528205400  0.1350371535  -39.8177833865
1852.0933760000  -39.9466906400  0.1289184654  -39.8177721746
1856.2275130000  -39.9415191600  0.1237554771  -39.8177636829
1860.3616500000  -39.9374359400  0.1196775946  -39.8177583454
1864.4957870000  -39.9345213200  0.1167648751  -39.8177564449
1868.6299240000  -39.9328018900  0.1150438150  -39.8177580750
1872.7640610000  -39.9322505200  0.1144877064  -39.8177628136
1876.8981980000  -39.9327907900  0.1150205670  -39.8177702230
1881.0323350000  -39.9343049600  0.1165254165  -39.8177795435
1885.1664720000  -39.9366445400  0.1188545190  -39.8177900210
1889.3006090000  -39.9396420500  0.1218410445  -39.8178010055
1893.4347460000  -39.9431224900  0.1253109201  -39.8178115699
1897.5688830000  -39.9469132800  0.1290923320  -39.8178209480
1901.7030200000  -39.9508529300  0.1330236810  -39.8178292490
1905.8371570000  -39.9547966200  0.1369604533  -39.8178361667
1909.9712940000  -39.9586200300  0.1407786056  -39.8178414244
1914.1054310000  -39.9622208900  0.1443756742  -39.8178452158
1918.2395680000  -39.9655196700  0.1476717047  -39.8178479653
1922.3737050000  -39.9684576500  0.1506082237  -39.8178494263
1926.5078420000  -39.9709957100  0.1531458076  -39.8178499024
1930.6419790000  -39.9731121800  0.1552624299  -39.8178497501
1934.7761160000  -39.9748001600  0.1569513024  -39.8178488576
1938.9102530000  -39.9760646600  0.1582176658  -39.8178469942
1943.0443900000  -39.9769212000  0.1590765286  -39.8178446714
1947.1785270000  -39.9773930700  0.1595512465  -39.8178418235
1951.3126640000  -39.9775097600  0.1596712017  -39.8178385583
1955.4468010000  -39.9773054100  0.1594698609  -39.8178355491
1959.5809380000  -39.9768162200  0.1589839791  -39.8178322409
1963.7150750000  -39.9760808600  0.1582522033  -39.8178286567
1967.8492120000  -39.9751387700  0.1573135513  -39.8178252187
1971.9833490000  -39.9740288200  0.1562068257  -39.8178219943
1976.1174860000  -39.9727892800  0.1549700073  -39.8178192727
1980.2516230000  -39.9714560900  0.1536395395  -39.8178165505
1984.3857600000  -39.9700636500  0.1522497795  -39.8178138705
1988.5198970000  -39.9686457400  0.1508332897  -39.8178124503
1992.6540340000  -39.9672324700  0.1494203050  -39.8178121650
1996.7881710000  -39.9658493800  0.1480381670  -39.8178112130
2000.9223080000  -39.9645220900  0.1467117426  -39.8178103474
2005.0564450000  -39.9632725000  0.1454629209  -39.8178095791
2009.1905820000  -39.9621195100  0.1443101544  -39.8178093556
2013.3247190000  -39.9610801700  0.1432704807  -39.8178096893
2017.4588560000  -39.9601674800  0.1423581215  -39.8178093585
2021.5929930000  -39.9593925900  0.1415833977  -39.8178091923
2025.7271300000  -39.9587637200  0.1409543815  -39.8178093385
2029.8612670000  -39.9582863200  0.1404765105  -39.8178098095
2033.9954040000  -39.9579633200  0.1401527987  -39.8178105213
2038.1295410000  -39.9577946800  0.1399833235  -39.8178113565
2042.2636780000  -39.9577775400  0.1399650919  -39.8178124481
2046.3978150000  -39.9579058800  0.1400920817  -39.8178137983
2050.5319520000  -39.9581705300  0.1403551144  -39.8178154156
2054.6660890000  -39.9585588400  0.1407416381  -39.8178172019
2058.8002260000  -39.9590547500  0.1412353152  -39.8178194348
2062.9343630000  -39.9596375700  0.1418161121  -39.8178214579
2067.0685000000  -39.9602833100  0.1424592078  -39.8178241022
2071.2026370000  -39.9609623500  0.1431352255  -39.8178271245
