# time  poten(istate=0)  kinen  toten
429.9502480000  -39.9175987200  0.0998799775  -39.8177187425
434.0843850000  -39.9155012500  0.0977796827  -39.8177215673
438.2185220000  -39.9139363800  0.0962146364  -39.8177217436
442.3526590000  -39.9129117000  0.0951894134  -39.8177222866
446.4867960000  -39.9124325100  0.0947086611  -39.8177238489
450.6209330000  -39.9124925700  0.0947658006  -39.8177267694
454.7550700000  -39.9130668600  0.0953365758  -39.8177302842
458.8892070000  -39.9141110600  0.0963761185  -39.8177349415
463.0233440000  -39.9155609800  0.0978201388  -39.8177408412
467.1574810000  -39.9173370900  0.0995894800  -39.8177476100
471.2916180000  -39.9193499600  0.1015953387  -39.8177546213
475.4257550000  -39.9215056300  0.1037444532  -39.8177611768
479.5598920000  -39.9237120000  0.1059450402  -39.8177669598
483.6940290000  -39.9258836300  0.1081116516  -39.8177719784
487.8281660000  -39.9279454400  0.1101693039  -39.8177761361
491.9623030000  -39.9298349900  0.1120557286  -39.8177792614
496.0964400000  -39.9315039700  0.1137224435  -39.8177815265
500.2305770000  -39.9329173900  0.1151345858  -39.8177828042
504.3647140000  -39.9340527500  0.1162701026  -39.8177826474
508.4988510000  -39.9349005500  0.1171181204  -39.8177824296
512.6329880000  -39.9354597200  0.1176771276  -39.8177825924
516.7671250000  -39.9357346400  0.1179534233  -39.8177812167
520.9012620000  -39.9357398200  0.1179593633  -39.8177804567
525.0353990000  -39.9354913000  0.1177116165  -39.8177796835
529.1695360000  -39.9350082700  0.1172297327  -39.8177785373
533.3036730000  -39.9343125400  0.1165351277  -39.8177774123
537.4378100000  -39.9334260700  0.1156500760  -39.8177759940
541.5719470000  -39.9323716000  0.1145970421  -39.8177745579
545.7060840000  -39.9311708700  0.1133984432  -39.8177724268
549.8402210000  -39.9298468900  0.1120759610  -39.8177709290
553.9743580000  -39.9284201900  0.1106504010  -39.8177697890
558.1084950000  -39.9269100300  0.1091417394  -39.8177682906
562.2426320000  -39.9253358200  0.1075689251  -39.8177668949
566.3767690000  -39.9237154900  0.1059499261  -39.8177655639
570.5109060000  -39.9220659700  0.1043016522  -39.8177643178
574.6450430000  -39.9204031900  0.1026399953  -39.8177631947
578.7791800000  -39.9187419700  0.1009798342  -39.8177621358
582.9133170000  -39.9170962300  0.0993350474  -39.8177611826
587.0474540000  -39.9154787900  0.0977184937  -39.8177602963
591.1815910000  -39.9139016000  0.0961419310  -39.8177596690
595.3157280000  -39.9123754200  0.0946162067  -39.8177592133
599.4498650000  -39.9109100900  0.0931512024  -39.8177588876
603.5840020000  -39.9095143100  0.0917556544  -39.8177586556
607.7181390000  -39.9081953300  0.0904372645  -39.8177580655
611.8522760000  -39.9069605700  0.0892025883  -39.8177579817
615.9864130000  -39.9058150000  0.0880570495  -39.8177579505
620.1205500000  -39.9047629700  0.0870051245  -39.8177578455
624.2546870000  -39.9038084000  0.0860501377  -39.8177582623
628.3888240000  -39.9029528100  0.0851943793  -39.8177584307
632.5229610000  -39.9021979900  0.0844393351  -39.8177586549
636.6570980000  -39.9015441000  0.0837856439  -39.8177584561
640.7912350000  -39.9009918200  0.0832331415  -39.8177586785
644.9253720000  -39.9005399100  0.0827809691  -39.8177589409
649.0595090000  -39.9001870200  0.0824277852  -39.8177592348
653.1936460000  -39.8999318900  0.0821718052  -39.8177600848
657.3277830000  -39.8997714900  0.0820109884  -39.8177605016
661.4619200000  -39.8997040700  0.0819431700  -39.8177609000
665.5960570000  -39.8997277500  0.0819661153  -39.8177616347
669.7301940000  -39.8998390000  0.0820776929  -39.8177613071
673.8643310000  -39.9000374300  0.0822758637  -39.8177615663
677.9984680000  -39.9003205600  0.0825587584  -39.8177618016
