Frequencies including rot/trans (cm^-1):
  omega(  1) =        0.016012
  omega(  2) =        0.014098
  omega(  3) =        0.007410
  omega(  4) =        0.007911
  omega(  5) =        0.014432
  omega(  6) =        0.015525
  omega(  7) =      254.811597
  omega(  8) =      254.817940
  omega(  9) =      254.825885
  omega( 10) =      254.972093
  omega( 11) =      255.084728
  omega( 12) =      332.663190
  omega( 13) =      332.669951
  omega( 14) =      333.077522
  omega( 15) =      339.543377
  omega( 16) =      339.547445
  omega( 17) =      339.712762
  omega( 18) =      340.218317
  omega( 19) =      390.816864
  omega( 20) =      391.069269
  omega( 21) =      391.196716
  omega( 22) =      391.202144
  omega( 23) =      391.326911
  omega( 24) =      415.512988
  omega( 25) =      415.523058
  omega( 26) =      415.538822
  omega( 27) =      415.614353
  omega( 28) =      416.400026
  omega( 29) =      476.733385
  omega( 30) =      476.741127
  omega( 31) =      476.820007
  omega( 32) =      477.440234
  omega( 33) =      498.778459
  omega( 34) =      498.796147
  omega( 35) =      499.288885
  omega( 36) =      526.345070
  omega( 37) =      526.451088
  omega( 38) =      526.462746
  omega( 39) =      526.704109
  omega( 40) =      527.466118
  omega( 41) =      527.523904
  omega( 42) =      534.105149
  omega( 43) =      534.565110
  omega( 44) =      534.573132
  omega( 45) =      543.979600
  omega( 46) =      544.121312
  omega( 47) =      544.427487
  omega( 48) =      549.674769
  omega( 49) =      549.863776
  omega( 50) =      549.875950
  omega( 51) =      549.960332
  omega( 52) =      623.163366
  omega( 53) =      623.173353
  omega( 54) =      623.319637
  omega( 55) =      641.724157
  omega( 56) =      642.081808
  omega( 57) =      642.134759
  omega( 58) =      642.142460
  omega( 59) =      642.322491
  omega( 60) =      664.705030
  omega( 61) =      664.710739
  omega( 62) =      664.911087
  omega( 63) =      675.159436
  omega( 64) =      675.162709
  omega( 65) =      675.169600
  omega( 66) =      675.325024
  omega( 67) =      675.437415
  omega( 68) =      702.199520
  omega( 69) =      702.205633
  omega( 70) =      702.213533
  omega( 71) =      702.228006
  omega( 72) =      702.470664
  omega( 73) =      706.391773
  omega( 74) =      706.410765
  omega( 75) =      706.482226
  omega( 76) =      706.753431
  omega( 77) =      719.969117
  omega( 78) =      720.058747
  omega( 79) =      720.201289
  omega( 80) =      720.203943
  omega( 81) =      735.327212
  omega( 82) =      735.356636
  omega( 83) =      735.576060
  omega( 84) =      735.604211
  omega( 85) =      736.880961
  omega( 86) =      737.006791
  omega( 87) =      737.143531
  omega( 88) =      755.856435
  omega( 89) =      756.049713
  omega( 90) =      756.128357
  omega( 91) =      795.054761
  omega( 92) =      795.345964
  omega( 93) =      795.353354
  omega( 94) =      815.694092
  omega( 95) =      815.703999
  omega( 96) =      815.711857
  omega( 97) =      815.819979
  omega( 98) =      815.847473
  omega( 99) =      895.936508
  omega(100) =      995.089239
  omega(101) =      995.100322
  omega(102) =      995.105908
  omega(103) =      995.183014
  omega(104) =     1012.709086
  omega(105) =     1012.792951
  omega(106) =     1012.800292
  omega(107) =     1127.810276
  omega(108) =     1127.880316
  omega(109) =     1127.886193
  omega(110) =     1127.895879
  omega(111) =     1127.910388
  omega(112) =     1129.252263
  omega(113) =     1129.404170
  omega(114) =     1129.417448
  omega(115) =     1129.437337
  omega(116) =     1217.890153
  omega(117) =     1218.054009
  omega(118) =     1218.064807
  omega(119) =     1218.077767
  omega(120) =     1218.101262
  omega(121) =     1225.847433
  omega(122) =     1225.922779
  omega(123) =     1225.932312
  omega(124) =     1228.256329
  omega(125) =     1228.339906
  omega(126) =     1228.361672
  omega(127) =     1284.648998
  omega(128) =     1284.894023
  omega(129) =     1284.907580
  omega(130) =     1284.912654
  omega(131) =     1284.942413
  omega(132) =     1286.031898
  omega(133) =     1286.075425
  omega(134) =     1286.092341
  omega(135) =     1299.452861
  omega(136) =     1299.461840
  omega(137) =     1299.463959
  omega(138) =     1299.490648
  omega(139) =     1326.729307
  omega(140) =     1326.802047
  omega(141) =     1326.805345
  omega(142) =     1326.847928
  omega(143) =     1340.236178
  omega(144) =     1340.362676
  omega(145) =     1340.373171
  omega(146) =     1340.381255
  omega(147) =     1340.399110
  omega(148) =     1346.759726
  omega(149) =     1346.832989
  omega(150) =     1346.839247
  omega(151) =     1443.339302
  omega(152) =     1443.410684
  omega(153) =     1443.461214
  omega(154) =     1443.473936
  omega(155) =     1456.228208
  omega(156) =     1456.347632
  omega(157) =     1456.356566
  omega(158) =     1456.359273
  omega(159) =     1456.363935
  omega(160) =     1482.613641
  omega(161) =     1482.631796
  omega(162) =     1482.638548
  omega(163) =     1500.177501
  omega(164) =     1500.275051
  omega(165) =     1500.328183
  omega(166) =     1500.331132
  omega(167) =     1520.168386
  omega(168) =     1532.061647
  omega(169) =     1532.169284
  omega(170) =     1532.170207
  omega(171) =     1551.526818
  omega(172) =     1551.614820
  omega(173) =     1551.630231
  omega(174) =     1551.642587
  omega(175) =     1551.648480
  omega(176) =     1561.834302
  omega(177) =     1561.932874
  omega(178) =     1561.952072
  omega(179) =     1561.957997
  omega(180) =     1561.959475

Harmonic zero-point energy (ZPE):
  ZPE_all   (Eh)   =  3.678410348812e-01
  ZPE_all   (cm^-1)=  80731.773190
  ZPE_active(Eh)   =  3.551116436961e-01
  ZPE_active(cm^-1)=  77937.994833
  ZPE_all   (kJ/mol)=  965.766504
  ZPE_all   (kcal/mol)=  230.823734

Velocities printed in: velocity.xyz
