# time rdo00 rdo01 rdo10 rdo11
0.0 1.00000000+0.00000000j 0.00000000+0.00000000j 0.00000000+0.00000000j 0.00000000+0.00000000j
1.0 0.99683584-0.00000000j 0.00786786+0.05549513j 0.00786786-0.05549513j 0.00316438+0.00000000j
2.0 0.98767876+0.00000000j 0.03025227+0.10513460j 0.03025227-0.10513460j 0.01232146+0.00000000j
3.0 0.97347393+0.00000000j 0.06384253+0.14415470j 0.06384253-0.14415470j 0.02652629-0.00000000j
4.0 0.95560610+0.00000000j 0.10398961+0.16963626j 0.10398961-0.16963626j 0.04439412-0.00000000j
5.000000000000001 0.93567113-0.00000000j 0.14563048+0.18078535j 0.14563050-0.18078536j 0.06432909+0.00000000j
6.0 0.91523940-0.00000000j 0.18417352+0.17876422j 0.18417354-0.17876421j 0.08476082+0.00000000j
7.000000000000001 0.89566296-0.00000000j 0.21612227+0.16616790j 0.21612230-0.16616786j 0.10433726+0.00000000j
8.0 0.87795076-0.00000000j 0.23937319+0.14636492j 0.23937320-0.14636486j 0.12204946+0.00000000j
9.0 0.86271791-0.00000000j 0.25320760+0.12285942j 0.25320757-0.12285935j 0.13728231+0.00000000j
10.000000000000002 0.85019997-0.00000000j 0.25806277+0.09879708j 0.25806271-0.09879700j 0.14980025+0.00000000j
11.0 0.84031236+0.00000000j 0.25519476+0.07666310j 0.25519467-0.07666305j 0.15968786-0.00000000j
12.0 0.83273337+0.00000001j 0.24632933+0.05816147j 0.24632921-0.05816145j 0.16726685-0.00000001j
13.000000000000002 0.82699261+0.00000002j 0.23336236+0.04423037j 0.23336224-0.04423038j 0.17300760-0.00000002j
14.000000000000002 0.82255257+0.00000002j 0.21813552+0.03514022j 0.21813541-0.03514027j 0.17744765-0.00000002j
15.000000000000002 0.81887659+0.00000003j 0.20228611+0.03062881j 0.20228602-0.03062888j 0.18112362-0.00000003j
16.0 0.81548106+0.00000003j 0.18715622+0.03004343j 0.18715616-0.03004353j 0.18451916-0.00000003j
17.0 0.81197178+0.00000004j 0.17374367+0.03247560j 0.17374364-0.03247570j 0.18802844-0.00000003j
18.0 0.80806582+0.00000004j 0.16268149+0.03688483j 0.16268149-0.03688493j 0.19193440-0.00000004j
19.000000000000004 0.80359987+0.00000003j 0.15424001+0.04221313j 0.15424004-0.04221323j 0.19640034-0.00000003j
20.000000000000004 0.79852615+0.00000003j 0.14835187+0.04749115j 0.14835193-0.04749125j 0.20147406-0.00000003j
21.000000000000004 0.79289690+0.00000003j 0.14466351+0.05193246j 0.14466359-0.05193254j 0.20710332-0.00000003j
