basis,converged,delta,direct_gap_gamma_eV,e_tot,e_tot_per_atom,indirect_gap_eV,lattice_length,nao,natm,natoms_requested,nelectron,nk,pseudo,status,vacuum,wall_time_s
gth-szv-molopt-sr,True,0.0864,9.116240038736057,-70.83142969419308,-35.41571484709654,9.116240038736057,6.0,18,2,2,22,1,gth-pbe,ok,20.0,5.968123435974121
gth-szv-molopt-sr,True,0.0864,8.839764892336285,-70.79658228048409,-35.398291140242044,5.0790459066586715,6.0,18,2,2,22,2,gth-pbe,ok,20.0,14.033403396606445
gth-szv-molopt-sr,True,0.0864,8.96237475466197,-70.79584977784846,-35.39792488892423,4.486236815348402,6.0,18,2,2,22,4,gth-pbe,ok,20.0,14.557330846786499
gth-szv-molopt-sr,True,0.0864,8.96190393536818,-70.79428331618874,-35.39714165809437,4.321735451449851,6.0,18,2,2,22,8,gth-pbe,ok,20.0,22.241586923599243
gth-szv-molopt-sr,True,0.0864,8.956674610377654,-70.7934373846456,-35.3967186923228,4.275265001159602,6.0,18,2,2,22,16,gth-pbe,ok,20.0,64.48645806312561
