basis,converged,delta,direct_gap_gamma_eV,e_tot,e_tot_per_atom,indirect_gap_eV,lattice_length,nao,natm,natoms_requested,nelectron,nk,pseudo,status,vacuum,wall_time_s
gth-szv-molopt-sr,True,0.0864,9.116800021210485,-70.79497306656174,-35.39748653328087,3.8124978959341926,6.0,18,2,2,22,8,gth-pbe,ok,8.0,17.084969997406006
gth-szv-molopt-sr,True,0.0864,9.01201824803938,-70.79443162609365,-35.39721581304683,4.149915654721266,6.0,18,2,2,22,8,gth-pbe,ok,12.0,18.025221347808838
gth-szv-molopt-sr,True,0.0864,8.97666140092748,-70.79442960009699,-35.397214800048495,4.272082747733555,6.0,18,2,2,22,8,gth-pbe,ok,16.0,24.262592554092407
gth-szv-molopt-sr,True,0.0864,8.961903935368216,-70.79428331618881,-35.397141658094405,4.321735451449928,6.0,18,2,2,22,8,gth-pbe,ok,20.0,26.514964818954468
gth-szv-molopt-sr,True,0.0864,8.95355422871089,-70.79410565442569,-35.397052827212846,4.346711941820858,6.0,18,2,2,22,8,gth-pbe,ok,25.0,31.369921445846558
gth-szv-molopt-sr,True,0.0864,8.949506934153233,-70.79397018300185,-35.39698509150092,4.35625003749405,6.0,18,2,2,22,8,gth-pbe,ok,30.0,45.00901746749878
