# time  poten(istate=0)  kinen  toten
305.9261380000  -40.1557993000  0.2655079208  -39.8902913792
310.0602750000  -40.1517651700  0.2614802492  -39.8902849208
314.1944120000  -40.1478566000  0.2575736080  -39.8902829920
318.3285490000  -40.1440852200  0.2538026298  -39.8902825902
322.4626860000  -40.1404533300  0.2501685072  -39.8902848228
326.5968230000  -40.1369444300  0.2466571420  -39.8902872880
330.7309600000  -40.1335294300  0.2432421727  -39.8902872573
334.8650970000  -40.1301828900  0.2398949480  -39.8902879420
338.9992340000  -40.1268815600  0.2365925411  -39.8902890189
343.1333710000  -40.1236095300  0.2333205307  -39.8902889993
347.2675080000  -40.1203621300  0.2300733752  -39.8902887548
351.4016450000  -40.1171393500  0.2268522161  -39.8902871339
355.5357820000  -40.1139498400  0.2236614400  -39.8902884000
359.6699190000  -40.1107935900  0.2205081051  -39.8902854849
363.8040560000  -40.1076857400  0.2174008560  -39.8902848840
367.9381930000  -40.1046317100  0.2143476223  -39.8902840877
372.0723300000  -40.1016398400  0.2113565176  -39.8902833224
376.2064670000  -40.0987184500  0.2084362262  -39.8902822238
380.3406040000  -40.0958775900  0.2055964034  -39.8902811866
384.4747410000  -40.0931252400  0.2028478931  -39.8902773469
388.6088780000  -40.0904835500  0.2002052323  -39.8902783177
392.7430150000  -40.0879621900  0.1976873302  -39.8902748598
396.8771520000  -40.0855894400  0.1953168174  -39.8902726226
401.0112890000  -40.0833810800  0.1930997870  -39.8902812930
405.1454260000  -40.0812216200  0.1909103074  -39.8903113126
409.2795630000  -40.0788540800  0.1885559108  -39.8902981692
413.4137000000  -40.0763374300  0.1860524581  -39.8902849719
417.5478370000  -40.0738148900  0.1835351273  -39.8902797627
421.6819740000  -40.0713435400  0.1810660234  -39.8902775166
425.8161110000  -40.0689444900  0.1786678918  -39.8902765982
429.9502480000  -40.0666260600  0.1763504930  -39.8902755670
434.0843850000  -40.0643942000  0.1741184616  -39.8902757384
438.2185220000  -40.0622509500  0.1719748902  -39.8902760598
442.3526590000  -40.0601985600  0.1699224469  -39.8902761131
446.4867960000  -40.0582396000  0.1679634201  -39.8902761799
450.6209330000  -40.0563766100  0.1661003576  -39.8902762524
454.7550700000  -40.0546124800  0.1643359523  -39.8902765277
458.8892070000  -40.0529507300  0.1626738242  -39.8902769058
463.0233440000  -40.0513957700  0.1611185558  -39.8902772142
467.1574810000  -40.0499525000  0.1596750872  -39.8902774128
471.2916180000  -40.0486266200  0.1583490798  -39.8902775402
475.4257550000  -40.0474245000  0.1571466307  -39.8902778693
479.5598920000  -40.0463531100  0.1560747457  -39.8902783643
483.6940290000  -40.0454198100  0.1551411112  -39.8902786988
487.8281660000  -40.0446322000  0.1543532575  -39.8902789425
491.9623030000  -40.0439976200  0.1537185253  -39.8902790947
496.0964400000  -40.0435229400  0.1532436688  -39.8902792712
500.2305770000  -40.0432136000  0.1529342438  -39.8902793562
504.3647140000  -40.0430735400  0.1527939825  -39.8902795575
508.4988510000  -40.0431041400  0.1528241978  -39.8902799422
512.6329880000  -40.0433037000  0.1530230703  -39.8902806297
516.7671250000  -40.0436664200  0.1533850628  -39.8902813572
520.9012620000  -40.0441822200  0.1538999076  -39.8902823124
525.0353990000  -40.0448358700  0.1545521319  -39.8902837381
529.1695360000  -40.0456066300  0.1553209656  -39.8902856644
533.3036730000  -40.0464678800  0.1561798122  -39.8902880678
537.4378100000  -40.0473870300  0.1570960418  -39.8902909882
541.5719470000  -40.0483253300  0.1580309046  -39.8902944254
545.7060840000  -40.0492379600  0.1589395677  -39.8902983923
549.8402210000  -40.0500739600  0.1597713085  -39.8903026515
553.9743580000  -40.0507779200  0.1604700562  -39.8903078638
558.1084950000  -40.0512883500  0.1609751904  -39.8903131596
562.2426320000  -40.0515411000  0.1612225727  -39.8903185273
566.3767690000  -40.0514702400  0.1611465009  -39.8903237391
570.5109060000  -40.0510112400  0.1606827288  -39.8903285112
574.6450430000  -40.0501047600  0.1597724513  -39.8903323087
578.7791800000  -40.0487031100  0.1583676557  -39.8903354543
582.9133170000  -40.0467752300  0.1564379402  -39.8903372898
587.0474540000  -40.0443151000  0.1539784845  -39.8903366155
591.1815910000  -40.0413514900  0.1510184281  -39.8903330619
595.3157280000  -40.0379549100  0.1476286914  -39.8903262186
599.4498650000  -40.0342434300  0.1439274734  -39.8903159566
603.5840020000  -40.0303834900  0.1400810027  -39.8903024873
607.7181390000  -40.0265846400  0.1362974746  -39.8902871654
611.8522760000  -40.0230837000  0.1328123438  -39.8902713562
615.9864130000  -40.0201221000  0.1298651045  -39.8902569955
620.1205500000  -40.0179164300  0.1276701960  -39.8902462340
624.2546870000  -40.0166276800  0.1263868627  -39.8902408173
628.3888240000  -40.0163362200  0.1260945595  -39.8902416605
632.5229610000  -40.0170285800  0.1267799566  -39.8902486234
636.6570980000  -40.0185993400  0.1283389249  -39.8902604151
640.7912350000  -40.0208680000  0.1305925619  -39.8902754381
644.9253720000  -40.0236056900  0.1333141178  -39.8902915722
649.0595090000  -40.0265662000  0.1362595430  -39.8903066570
653.1936460000  -40.0295143200  0.1391949463  -39.8903193737
657.3277830000  -40.0322468500  0.1419179164  -39.8903289336
661.4619200000  -40.0346051300  0.1442699867  -39.8903351433
665.5960570000  -40.0364790000  0.1461408412  -39.8903381588
669.7301940000  -40.0378046600  0.1474661549  -39.8903385051
673.8643310000  -40.0385581800  0.1482214197  -39.8903367603
677.9984680000  -40.0387473500  0.1484138569  -39.8903334931
682.1326050000  -40.0384034000  0.1480740271  -39.8903293729
686.2667420000  -40.0375729300  0.1472480789  -39.8903248511
690.4008790000  -40.0363119500  0.1459915735  -39.8903203765
694.5350160000  -40.0346805700  0.1443644784  -39.8903160916
698.6691530000  -40.0327392300  0.1424273708  -39.8903118592
702.8032900000  -40.0305467300  0.1402388295  -39.8903079005
706.9374270000  -40.0281580900  0.1378536814  -39.8903044086
711.0715640000  -40.0256236600  0.1353224930  -39.8903011670
715.2057010000  -40.0229891500  0.1326914051  -39.8902977449
719.3398380000  -40.0202969700  0.1300018531  -39.8902951169
723.4739750000  -40.0175837300  0.1272914064  -39.8902923236
727.6081120000  -40.0148859500  0.1245953983  -39.8902905517
731.7422490000  -40.0122362100  0.1219481593  -39.8902880507
735.8763860000  -40.0096698700  0.1193844122  -39.8902854578
740.0105230000  -40.0072214300  0.1169388688  -39.8902825612
744.1446600000  -40.0049234200  0.1146430368  -39.8902803832
748.2787970000  -40.0028008300  0.1125202753  -39.8902805547
752.4129340000  -40.0008631800  0.1105813023  -39.8902818777
756.5470710000  -39.9991033400  0.1088186372  -39.8902847028
760.6812080000  -39.9974913300  0.1072022732  -39.8902890568
764.8153450000  -39.9959774700  0.1056837747  -39.8902936953
768.9494820000  -39.9945107900  0.1042148513  -39.8902959387
773.0836190000  -39.9930703900  0.1027742117  -39.8902961783
777.2177560000  -39.9916694700  0.1013769776  -39.8902924924
781.3518930000  -39.9903477100  0.1000583374  -39.8902893726
785.4860300000  -39.9891381300  0.0988529162  -39.8902852138
789.6201670000  -39.9880713900  0.0977862732  -39.8902851168
793.7543040000  -39.9871596900  0.0968754710  -39.8902842190
797.8884410000  -39.9864156400  0.0961320888  -39.8902835512
802.0225780000  -39.9858475000  0.0955644706  -39.8902830294
806.1567150000  -39.9854617200  0.0951790245  -39.8902826955
810.2908520000  -39.9852633600  0.0949809443  -39.8902824157
814.4249890000  -39.9852567000  0.0949744777  -39.8902822223
818.5591260000  -39.9854450900  0.0951631344  -39.8902819556
822.6932630000  -39.9858314800  0.0955497768  -39.8902817032
826.8274000000  -39.9864181800  0.0961366964  -39.8902814836
830.9615370000  -39.9872068600  0.0969255639  -39.8902812961
835.0956740000  -39.9881985300  0.0979173846  -39.8902811454
839.2298110000  -39.9893934500  0.0991124261  -39.8902810239
843.3639480000  -39.9907911000  0.1005101351  -39.8902809649
847.4980850000  -39.9923900200  0.1021089889  -39.8902810311
851.6322220000  -39.9941876700  0.1039064683  -39.8902812017
855.7663590000  -39.9961796200  0.1058989331  -39.8902806869
859.9004960000  -39.9983621200  0.1080813039  -39.8902808161
864.0346330000  -40.0007279400  0.1104468475  -39.8902810925
868.1687700000  -40.0032700600  0.1129869245  -39.8902831355
872.3029070000  -40.0059739200  0.1156902275  -39.8902836925
876.4370440000  -40.0088260500  0.1185413774  -39.8902846726
880.5711810000  -40.0118054300  0.1215184594  -39.8902869706
884.7053180000  -40.0148779100  0.1245863756  -39.8902915344
888.8394550000  -40.0179837900  0.1276864063  -39.8902973837
892.9735920000  -40.0210419500  0.1307384760  -39.8903034740
897.1077290000  -40.0239848100  0.1336831524  -39.8903016576
901.2418660000  -40.0268164000  0.1365225484  -39.8902938516
905.3760030000  -40.0295835700  0.1392911729  -39.8902923971
909.5101400000  -40.0323008300  0.1420081589  -39.8902926711
913.6442770000  -40.0349626700  0.1446672078  -39.8902954622
917.7784140000  -40.0375419800  0.1472438817  -39.8902980983
921.9125510000  -40.0400047600  0.1497034825  -39.8903012775
926.0466880000  -40.0423092700  0.1520054654  -39.8903038046
930.1808250000  -40.0444124100  0.1541047515  -39.8903076585
934.3149620000  -40.0462628000  0.1559506801  -39.8903121199
938.4490990000  -40.0478043400  0.1574872392  -39.8903171008
942.5832360000  -40.0489791000  0.1586577636  -39.8903213364
946.7173730000  -40.0497376500  0.1594121041  -39.8903255459
950.8515100000  -40.0500414300  0.1597137760  -39.8903276540
954.9856470000  -40.0498723300  0.1595456962  -39.8903266338
959.1197840000  -40.0492397100  0.1589146069  -39.8903251031
963.2539210000  -40.0481770600  0.1578556961  -39.8903213639
967.3880580000  -40.0467520300  0.1564367100  -39.8903153200
971.5221950000  -40.0450668500  0.1547595818  -39.8903072682
975.6563320000  -40.0432565600  0.1529590814  -39.8902974786
979.7904690000  -40.0414831900  0.1511965519  -39.8902866381
983.9246060000  -40.0399238000  0.1496484795  -39.8902753205
988.0587430000  -40.0387550900  0.1484898778  -39.8902652122
992.1928800000  -40.0381322200  0.1478744857  -39.8902577343
996.3270170000  -40.0381700200  0.1479159262  -39.8902540938
1000.4611540000  -40.0389273100  0.1486717987  -39.8902555113
1004.5952910000  -40.0403971700  0.1501358451  -39.8902613249
1008.7294280000  -40.0425098100  0.1522388542  -39.8902709558
1012.8635650000  -40.0451408000  0.1548578617  -39.8902829383
1016.9977020000  -40.0481284100  0.1578330673  -39.8902953427
1021.1318390000  -40.0512943400  0.1609868792  -39.8903074608
1025.2659760000  -40.0544612000  0.1641430027  -39.8903181973
1029.4001130000  -40.0574692600  0.1671426476  -39.8903266124
1033.5342500000  -40.0601870100  0.1698544448  -39.8903325652
1037.6683870000  -40.0625157600  0.1721795380  -39.8903362220
1041.8025240000  -40.0643904700  0.1740526820  -39.8903377880
1045.9366610000  -40.0657765400  0.1754393429  -39.8903371971
1050.0707980000  -40.0666667300  0.1763310532  -39.8903356768
1054.2049350000  -40.0670731700  0.1767399731  -39.8903331969
1058.3390720000  -40.0670235100  0.1766934576  -39.8903300524
1062.4732090000  -40.0665563600  0.1762289037  -39.8903274563
1066.6073460000  -40.0657137100  0.1753902638  -39.8903234462
1070.7414830000  -40.0645448000  0.1742243598  -39.8903204402
1074.8756200000  -40.0630953800  0.1727778770  -39.8903175030
1079.0097570000  -40.0614112000  0.1710965212  -39.8903146788
1083.1438940000  -40.0595354600  0.1692237225  -39.8903117375
1087.2780310000  -40.0575084600  0.1671993620  -39.8903090980
1091.4121680000  -40.0553664400  0.1650596252  -39.8903068148
1095.5463050000  -40.0531422400  0.1628370284  -39.8903052116
1099.6804420000  -40.0508635700  0.1605605345  -39.8903030355
1103.8145790000  -40.0485580100  0.1582557726  -39.8903022374
1107.9487160000  -40.0462462000  0.1559451249  -39.8903010751
1112.0828530000  -40.0439481400  0.1536481042  -39.8903000358
1116.2169900000  -40.0416808000  0.1513816386  -39.8902991614
1120.3511270000  -40.0394588000  0.1491604001  -39.8902983999
1124.4852640000  -40.0372937100  0.1469971168  -39.8902965932
1128.6194010000  -40.0351987700  0.1449028055  -39.8902959645
1132.7535380000  -40.0331824500  0.1428870060  -39.8902954440
1136.8876750000  -40.0312530300  0.1409580230  -39.8902950070
1141.0218120000  -40.0294178300  0.1391230826  -39.8902947474
1145.1559490000  -40.0276828600  0.1373885175  -39.8902943425
1149.2900860000  -40.0260539200  0.1357599005  -39.8902940195
1153.4242230000  -40.0245358700  0.1342421216  -39.8902937484
1157.5583600000  -40.0231329800  0.1328394915  -39.8902934885
1161.6924970000  -40.0218490500  0.1315558096  -39.8902932404
1165.8266340000  -40.0206865400  0.1303944099  -39.8902921301
1169.9607710000  -40.0196510400  0.1293582456  -39.8902927944
1174.0949080000  -40.0187416300  0.1284498833  -39.8902917467
1178.2290450000  -40.0179630800  0.1276715283  -39.8902915517
1182.3631820000  -40.0173164800  0.1270250863  -39.8902913937
1186.4973190000  -40.0168033900  0.1265121319  -39.8902912581
1190.6314560000  -40.0164250500  0.1261339293  -39.8902911207
1194.7655930000  -40.0161824400  0.1258914396  -39.8902910004
1198.8997300000  -40.0160762300  0.1257853302  -39.8902908998
1203.0338670000  -40.0161067900  0.1258159763  -39.8902908137
1207.1680040000  -40.0162741500  0.1259834343  -39.8902907157
1211.3021410000  -40.0165780800  0.1262874334  -39.8902906466
1215.4362780000  -40.0170179800  0.1267273840  -39.8902905960
1219.5704150000  -40.0175929200  0.1273023516  -39.8902905684
1223.7045520000  -40.0183016000  0.1280110270  -39.8902905730
1227.8386890000  -40.0191433200  0.1288516846  -39.8902916354
1231.9728260000  -40.0201134000  0.1298221720  -39.8902912280
1236.1069630000  -40.0212115600  0.1309198020  -39.8902917580
1240.2411000000  -40.0224332000  0.1321412945  -39.8902919055
1244.3752370000  -40.0237748900  0.1334827422  -39.8902921478
1248.5093740000  -40.0252319400  0.1349394549  -39.8902924851
1252.6435110000  -40.0267987600  0.1365058485  -39.8902929115
1256.7776480000  -40.0284688100  0.1381752826  -39.8902935274
1260.9117850000  -40.0302340700  0.1399399144  -39.8902941556
1265.0459220000  -40.0320855000  0.1417905161  -39.8902949839
1269.1800590000  -40.0340122000  0.1437162290  -39.8902959710
1273.3141960000  -40.0360014800  0.1457043224  -39.8902971576
1277.4483330000  -40.0380384700  0.1477399226  -39.8902985474
