#     Step;    Sim. Time;   Iter;    t_Ener;    t_Grad;       Temp;       E_Kin;           E_Pot;           E_Tot;        Cons.Qty;   E.Drift
       131;         26.2;      7;      6.99;      0.75;     802.66;    0.007626;       -1.170709;       -1.163083;       -1.163083;      0.37
       132;         26.4;      7;      5.10;      0.77;     948.45;    0.009011;       -1.172101;       -1.163090;       -1.163090;      0.02
       133;         26.6;      7;      5.39;      0.75;    1035.21;    0.009835;       -1.172925;       -1.163090;       -1.163090;      0.01
       134;         26.8;      7;      7.13;      0.76;    1059.50;    0.010066;       -1.173151;       -1.163085;       -1.163085;      0.26
       135;         27.0;      7;      8.66;      0.75;    1026.18;    0.009749;       -1.172827;       -1.163078;       -1.163078;      0.67
       136;         27.2;      7;      5.27;      0.75;     945.47;    0.008982;       -1.172051;       -1.163069;       -1.163069;      1.14
       137;         27.4;      7;      7.28;      0.75;     830.31;    0.007888;       -1.170948;       -1.163060;       -1.163060;      1.62
       138;         27.6;      6;      5.96;      0.76;     694.36;    0.006597;       -1.169648;       -1.163051;       -1.163051;      2.08
       139;         27.8;      6;      5.76;      0.74;     550.63;    0.005231;       -1.168275;       -1.163044;       -1.163044;      2.45
       140;         28.0;      6;      5.97;      0.76;     410.14;    0.003896;       -1.166935;       -1.163039;       -1.163039;      2.72
       141;         28.2;      6;      7.32;      0.76;     281.40;    0.002673;       -1.165708;       -1.163035;       -1.163035;      2.93
       142;         28.4;      5;      4.29;      0.76;     171.10;    0.001626;       -1.164657;       -1.163031;       -1.163031;      3.11
       143;         28.6;      5;      5.65;      0.77;      84.94;    0.000807;       -1.163836;       -1.163029;       -1.163029;      3.25
       144;         28.8;      4;      3.50;      0.75;      27.40;    0.000260;       -1.163287;       -1.163027;       -1.163027;      3.34
       145;         29.0;      4;      3.67;      0.76;       1.41;    0.000013;       -1.163040;       -1.163026;       -1.163026;      3.38
       146;         29.2;      3;      4.42;      0.76;       8.26;    0.000079;       -1.163105;       -1.163026;       -1.163026;      3.37
       147;         29.4;      4;      3.86;      0.76;      47.63;    0.000452;       -1.163480;       -1.163028;       -1.163028;      3.31
       148;         29.6;      4;      4.72;      0.78;     117.52;    0.001117;       -1.164146;       -1.163030;       -1.163030;      3.20
