#     Step;    Sim. Time;   Iter;    t_Ener;    t_Grad;       Temp;       E_Kin;           E_Pot;           E_Tot;        Cons.Qty;   E.Drift
       424;         84.8;      6;      4.23;      0.77;     543.24;    0.005161;       -1.168205;       -1.163044;       -1.163044;      2.47
       425;         85.0;      6;      5.14;      0.74;     687.05;    0.006527;       -1.169578;       -1.163051;       -1.163051;      2.09
       426;         85.2;      6;      6.25;      0.76;     823.70;    0.007826;       -1.170885;       -1.163059;       -1.163059;      1.64
       427;         85.4;      7;      5.79;      0.76;     940.26;    0.008933;       -1.172001;       -1.163068;       -1.163068;      1.16
       428;         85.6;      7;      5.27;      0.87;    1023.07;    0.009720;       -1.172797;       -1.163077;       -1.163077;      0.69
       429;         85.8;      7;      7.03;      0.77;    1059.11;    0.010062;       -1.173147;       -1.163085;       -1.163085;      0.28
       430;         86.0;      7;      6.68;      0.75;    1037.96;    0.009861;       -1.172951;       -1.163090;       -1.163090;      0.01
       431;         86.2;      7;      6.49;      0.76;     954.41;    0.009067;       -1.172158;       -1.163090;       -1.163090;      0.00
       432;         86.4;      7;      6.31;      0.74;     811.41;    0.007709;       -1.170793;       -1.163084;       -1.163084;      0.34
       433;         86.6;      7;      4.77;      0.77;     622.59;    0.005915;       -1.168985;       -1.163070;       -1.163070;      1.06
       434;         86.8;      7;      4.66;      0.76;     412.98;    0.003924;       -1.166974;       -1.163051;       -1.163051;      2.10
       435;         87.0;      6;      7.05;      1.61;     216.54;    0.002057;       -1.165086;       -1.163029;       -1.163029;      3.26
       436;         87.2;      6;      6.94;      0.76;      69.72;    0.000662;       -1.163673;       -1.163010;       -1.163010;      4.22
       437;         87.4;      4;      5.66;      0.75;       2.35;    0.000022;       -1.163024;       -1.163001;       -1.163001;      4.69
       438;         87.6;      4;      3.68;      0.76;      28.81;    0.000274;       -1.163279;       -1.163005;       -1.163005;      4.50
       439;         87.8;      4;      4.45;      0.75;     143.40;    0.001362;       -1.164382;       -1.163020;       -1.163020;      3.73
       440;         88.0;      6;      5.83;      0.78;     322.21;    0.003061;       -1.166102;       -1.163041;       -1.163041;      2.61
       441;         88.2;      6;      6.50;      0.79;     530.52;    0.005040;       -1.168102;       -1.163062;       -1.163062;      1.49
       442;         88.4;      7;      6.70;      0.76;     732.25;    0.006957;       -1.170036;       -1.163079;       -1.163079;      0.61
       443;         88.6;      7;      6.23;      0.77;     897.91;    0.008530;       -1.171619;       -1.163088;       -1.163088;      0.11
       444;         88.8;      7;      6.66;      0.77;    1008.73;    0.009583;       -1.172674;       -1.163091;       -1.163091;     -0.03
       445;         89.0;      7;      5.18;      0.89;    1057.27;    0.010044;       -1.173132;       -1.163088;       -1.163088;      0.14
       446;         89.2;      7;      6.70;      0.78;    1045.49;    0.009933;       -1.173014;       -1.163081;       -1.163081;      0.49
       447;         89.4;      7;      8.15;      0.84;     981.88;    0.009328;       -1.172401;       -1.163072;       -1.163072;      0.95
       448;         89.6;      7;      6.14;      0.76;     878.58;    0.008347;       -1.171410;       -1.163063;       -1.163063;      1.43
       449;         89.8;      6;      5.68;      0.77;     749.15;    0.007117;       -1.170172;       -1.163054;       -1.163054;      1.90
       450;         90.0;      6;      6.89;      0.78;     607.02;    0.005767;       -1.168813;       -1.163047;       -1.163047;      2.31
       451;         90.2;      6;      9.47;      0.76;     464.11;    0.004409;       -1.167450;       -1.163041;       -1.163041;      2.63
       452;         90.4;      6;      6.99;      1.48;     329.90;    0.003134;       -1.166171;       -1.163036;       -1.163036;      2.84
       453;         90.6;      5;      6.39;      0.77;     211.67;    0.002011;       -1.165044;       -1.163033;       -1.163033;      3.03
       454;         90.8;      5;      7.00;      0.78;     115.45;    0.001097;       -1.164127;       -1.163030;       -1.163030;      3.19
       455;         91.0;      4;      6.76;      0.76;      46.27;    0.000440;       -1.163467;       -1.163028;       -1.163028;      3.31
       456;         91.2;      4;      3.74;      0.76;       7.70;    0.000073;       -1.163100;       -1.163026;       -1.163026;      3.37
       457;         91.4;      3;      5.19;      0.76;       1.66;    0.000016;       -1.163042;       -1.163026;       -1.163026;      3.38
       458;         91.6;      4;      3.69;      0.82;      28.45;    0.000270;       -1.163297;       -1.163027;       -1.163027;      3.33
       459;         91.8;      4;      4.09;      0.77;      86.74;    0.000824;       -1.163853;       -1.163029;       -1.163029;      3.24
       460;         92.0;      4;      6.20;      0.77;     173.56;    0.001649;       -1.164681;       -1.163032;       -1.163032;      3.10
       461;         92.2;      5;      4.31;      0.74;     284.38;    0.002702;       -1.165737;       -1.163035;       -1.163035;      2.92
       462;         92.4;      6;      5.79;      0.77;     413.49;    0.003928;       -1.166967;       -1.163039;       -1.163039;      2.71
       463;         92.6;      6;      5.29;      0.76;     554.17;    0.005265;       -1.168309;       -1.163044;       -1.163044;      2.44
       464;         92.8;      6;      4.37;      0.76;     697.86;    0.006630;       -1.169681;       -1.163051;       -1.163051;      2.06
       465;         93.0;      6;      8.93;      0.77;     833.45;    0.007918;       -1.170978;       -1.163060;       -1.163060;      1.61
       466;         93.2;      7;      6.25;      0.76;     947.92;    0.009006;       -1.172075;       -1.163069;       -1.163069;      1.12
       467;         93.4;      7;      6.70;      0.77;    1027.61;    0.009763;       -1.172841;       -1.163078;       -1.163078;      0.65
       468;         93.6;      7;      6.04;      0.77;    1059.61;    0.010067;       -1.173153;       -1.163086;       -1.163086;      0.25
       469;         93.8;      7;      5.55;      0.79;    1033.82;    0.009822;       -1.172912;       -1.163090;       -1.163090;      0.00
       470;         94.0;      7;      7.05;      0.77;     945.51;    0.008983;       -1.172073;       -1.163090;       -1.163090;      0.02
       471;         94.2;      7;      5.68;      0.78;     798.40;    0.007585;       -1.170668;       -1.163083;       -1.163083;      0.38
       472;         94.4;      7;      6.31;      0.78;     606.98;    0.005767;       -1.168836;       -1.163069;       -1.163069;      1.13
       473;         94.6;      7;      4.79;      0.76;     397.10;    0.003773;       -1.166822;       -1.163049;       -1.163049;      2.19
       474;         94.8;      6;      5.01;      0.76;     203.18;    0.001930;       -1.164957;       -1.163027;       -1.163027;      3.34
       475;         95.0;      6;      4.78;      0.80;      61.50;    0.000584;       -1.163594;       -1.163009;       -1.163009;      4.28
       476;         95.2;      4;      5.76;      0.76;       1.01;    0.000010;       -1.163011;       -1.163001;       -1.163001;      4.70
       477;         95.4;      4;      3.59;      0.76;      34.64;    0.000329;       -1.163335;       -1.163006;       -1.163006;      4.46
       478;         95.6;      4;      3.48;      0.78;     155.15;    0.001474;       -1.164495;       -1.163021;       -1.163021;      3.65
       479;         95.8;      6;      7.26;      0.78;     337.50;    0.003206;       -1.166249;       -1.163042;       -1.163042;      2.53
       480;         96.0;      6;      6.19;      0.76;     546.53;    0.005192;       -1.168256;       -1.163064;       -1.163064;      1.41
       481;         96.2;      7;      6.75;      0.78;     746.44;    0.007091;       -1.170171;       -1.163080;       -1.163080;      0.56
       482;         96.4;      7;      5.86;      0.77;     908.43;    0.008630;       -1.171719;       -1.163089;       -1.163089;      0.08
       483;         96.6;      7;      5.23;      0.81;    1014.63;    0.009639;       -1.172730;       -1.163091;       -1.163091;     -0.02
       484;         96.8;      7;      7.43;      0.92;    1058.41;    0.010055;       -1.173143;       -1.163087;       -1.163087;      0.16
       485;         97.0;      7;      6.00;      0.78;    1042.34;    0.009903;       -1.172983;       -1.163080;       -1.163080;      0.52
       486;         97.2;      7;      7.55;      0.78;     975.25;    0.009265;       -1.172337;       -1.163072;       -1.163072;      0.98
       487;         97.4;      7;      4.78;      0.86;     869.47;    0.008260;       -1.171323;       -1.163063;       -1.163063;      1.47
       488;         97.6;      6;      4.38;      0.76;     738.62;    0.007017;       -1.170071;       -1.163054;       -1.163054;      1.93
       489;         97.8;      6;      4.62;      0.78;     596.03;    0.005663;       -1.168709;       -1.163046;       -1.163046;      2.34
       490;         98.0;      6;      5.73;      0.75;     453.48;    0.004308;       -1.167349;       -1.163040;       -1.163040;      2.64
       491;         98.2;      6;      6.30;      0.77;     320.26;    0.003043;       -1.166079;       -1.163036;       -1.163036;      2.86
       492;         98.4;      5;      5.46;      0.76;     203.50;    0.001933;       -1.164966;       -1.163033;       -1.163033;      3.05
       493;         98.6;      5;      4.14;      0.76;     109.18;    0.001037;       -1.164067;       -1.163030;       -1.163030;      3.20
       494;         98.8;      4;      3.56;      0.77;      42.23;    0.000401;       -1.163429;       -1.163028;       -1.163028;      3.31
       495;         99.0;      4;      4.89;      0.80;       6.08;    0.000058;       -1.163084;       -1.163026;       -1.163026;      3.37
       496;         99.2;      3;      3.60;      0.77;       2.55;    0.000024;       -1.163051;       -1.163026;       -1.163026;      3.37
       497;         99.4;      4;      4.36;      0.77;      31.80;    0.000302;       -1.163329;       -1.163027;       -1.163027;      3.33
       498;         99.6;      4;      4.41;      0.78;      92.39;    0.000878;       -1.163907;       -1.163029;       -1.163029;      3.23
       499;         99.8;      5;      4.68;      0.76;     181.21;    0.001722;       -1.164753;       -1.163032;       -1.163032;      3.08
       500;        100.0;      5;      4.41;      0.75;     293.64;    0.002790;       -1.165825;       -1.163035;       -1.163035;      2.90
       501;        100.2;      6;      5.72;      0.77;     423.88;    0.004027;       -1.167066;       -1.163039;       -1.163039;      2.70
       502;        100.4;      6;      4.35;      1.82;     565.13;    0.005369;       -1.168414;       -1.163045;       -1.163045;      2.42
       503;        100.6;      6;      5.44;      0.76;     708.62;    0.006732;       -1.169784;       -1.163052;       -1.163052;      2.03
       504;        100.8;      6;      6.67;      0.76;     843.07;    0.008010;       -1.171070;       -1.163061;       -1.163061;      1.57
       505;        101.0;      7;      5.79;      0.76;     955.38;    0.009077;       -1.172146;       -1.163070;       -1.163070;      1.09
       506;        101.2;      7;      6.57;      0.76;    1031.87;    0.009803;       -1.172882;       -1.163079;       -1.163079;      0.62
       507;        101.4;      7;      4.79;      0.76;    1059.78;    0.010068;       -1.173155;       -1.163086;       -1.163086;      0.22
       508;        101.6;      7;      6.91;      0.77;    1029.30;    0.009779;       -1.172869;       -1.163091;       -1.163091;     -0.01
       509;        101.8;      7;      5.90;      1.08;     936.27;    0.008895;       -1.171985;       -1.163090;       -1.163090;      0.03
       510;        102.0;      7;      5.06;      0.78;     785.13;    0.007459;       -1.170541;       -1.163082;       -1.163082;      0.42
       511;        102.2;      7;      6.66;      0.75;     591.26;    0.005617;       -1.168685;       -1.163068;       -1.163068;      1.20
       512;        102.4;      6;      4.91;      0.77;     381.32;    0.003623;       -1.166670;       -1.163047;       -1.163047;      2.27
       513;        102.6;      6;      5.17;      0.76;     190.12;    0.001806;       -1.164832;       -1.163025;       -1.163025;      3.42
       514;        102.8;      6;      5.00;      0.76;      53.77;    0.000511;       -1.163519;       -1.163008;       -1.163008;      4.33
       515;        103.0;      4;      5.35;      0.78;       0.23;    0.000002;       -1.163003;       -1.163001;       -1.163001;      4.70
       516;        103.2;      4;      3.95;      0.75;      40.98;    0.000389;       -1.163396;       -1.163007;       -1.163007;      4.42
       517;        103.4;      4;      3.57;      0.75;     167.26;    0.001589;       -1.164612;       -1.163023;       -1.163023;      3.57
       518;        103.6;      6;      5.92;      0.76;     352.94;    0.003353;       -1.166397;       -1.163044;       -1.163044;      2.44
       519;        103.8;      6;      5.81;      0.77;     562.49;    0.005344;       -1.168409;       -1.163065;       -1.163065;      1.34
       520;        104.0;      7;      5.53;      0.76;     760.40;    0.007224;       -1.170305;       -1.163081;       -1.163081;      0.51
       521;        104.2;      7;      4.76;      0.75;     918.62;    0.008727;       -1.171817;       -1.163089;       -1.163089;      0.06
       522;        104.4;      7;      5.77;      0.78;    1020.18;    0.009692;       -1.172783;       -1.163091;       -1.163091;     -0.02
       523;        104.6;      7;      7.53;      0.76;    1059.21;    0.010063;       -1.173150;       -1.163087;       -1.163087;      0.18
       524;        104.8;      7;      4.91;      0.75;    1038.88;    0.009870;       -1.172950;       -1.163080;       -1.163080;      0.56
       525;        105.0;      7;      6.45;      0.77;     968.39;    0.009200;       -1.172271;       -1.163071;       -1.163071;      1.02
       526;        105.2;      7;      6.26;      0.75;     860.22;    0.008172;       -1.171234;       -1.163062;       -1.163062;      1.50
       527;        105.4;      6;      4.29;      0.76;     728.02;    0.006916;       -1.169970;       -1.163053;       -1.163053;      1.97
       528;        105.6;      6;      7.23;      0.75;     585.05;    0.005558;       -1.168604;       -1.163045;       -1.163045;      2.37
       529;        105.8;      6;      4.27;      0.77;     442.92;    0.004208;       -1.167248;       -1.163040;       -1.163040;      2.66
       530;        106.0;      6;      9.45;      0.75;     310.71;    0.002952;       -1.165988;       -1.163036;       -1.163036;      2.87
       531;        106.2;      5;      4.32;      1.17;     195.46;    0.001857;       -1.164889;       -1.163032;       -1.163032;      3.06
       532;        106.4;      5;      6.40;      0.76;     103.07;    0.000979;       -1.164009;       -1.163029;       -1.163029;      3.21
       533;        106.6;      4;      4.94;      0.77;      38.36;    0.000364;       -1.163392;       -1.163027;       -1.163027;      3.32
       534;        106.8;      4;      6.01;      0.76;       4.65;    0.000044;       -1.163071;       -1.163026;       -1.163026;      3.37
       535;        107.0;      3;      3.76;      0.77;       3.63;    0.000034;       -1.163061;       -1.163026;       -1.163026;      3.37
       536;        107.2;      4;      4.85;      0.77;      35.34;    0.000336;       -1.163363;       -1.163027;       -1.163027;      3.32
       537;        107.4;      4;      4.65;      0.76;      98.21;    0.000933;       -1.163962;       -1.163029;       -1.163029;      3.22
       538;        107.6;      5;      4.06;      0.78;     189.01;    0.001796;       -1.164828;       -1.163032;       -1.163032;      3.07
       539;        107.8;      5;      4.49;      0.79;     303.00;    0.002879;       -1.165914;       -1.163036;       -1.163036;      2.89
       540;        108.0;      6;      4.34;      0.77;     434.34;    0.004126;       -1.167166;       -1.163040;       -1.163040;      2.68
       541;        108.2;      6;      4.44;      0.77;     576.10;    0.005473;       -1.168518;       -1.163045;       -1.163045;      2.39
       542;        108.4;      6;      9.09;      0.77;     719.33;    0.006834;       -1.169886;       -1.163053;       -1.163053;      1.99
       543;        108.6;      6;      5.45;      0.77;     852.57;    0.008100;       -1.171161;       -1.163061;       -1.163061;      1.53
       544;        108.8;      7;      6.37;      0.78;     962.63;    0.009145;       -1.172216;       -1.163071;       -1.163071;      1.05
       545;        109.0;      7;      6.03;      0.77;    1035.85;    0.009841;       -1.172920;       -1.163079;       -1.163079;      0.58
       546;        109.2;      7;      5.60;      0.76;    1059.61;    0.010067;       -1.173153;       -1.163087;       -1.163087;      0.20
       547;        109.4;      7;      5.37;      0.76;    1024.42;    0.009732;       -1.172823;       -1.163091;       -1.163091;     -0.02
       548;        109.6;      7;      6.00;      0.77;     926.69;    0.008804;       -1.171893;       -1.163090;       -1.163090;      0.05
       549;        109.8;      7;      5.91;      0.80;     771.60;    0.007331;       -1.170412;       -1.163082;       -1.163082;      0.47
       550;        110.0;      7;      6.19;      0.78;     575.44;    0.005467;       -1.168533;       -1.163066;       -1.163066;      1.27
       551;        110.2;      6;      5.21;      0.77;     365.64;    0.003474;       -1.166519;       -1.163046;       -1.163046;      2.36
       552;        110.4;      6;      4.44;      0.75;     177.39;    0.001685;       -1.164709;       -1.163024;       -1.163024;      3.50
       553;        110.6;      4;      3.76;      1.14;      46.52;    0.000442;       -1.163449;       -1.163007;       -1.163007;      4.38
       554;        110.8;      4;      4.28;      0.81;       0.00;    0.000000;       -1.163001;       -1.163001;       -1.163001;      4.71
       555;        111.0;      4;      4.67;      0.77;      47.82;    0.000454;       -1.163462;       -1.163007;       -1.163007;      4.37
       556;        111.2;      4;      3.80;      0.77;     179.72;    0.001707;       -1.164732;       -1.163024;       -1.163024;      3.49
       557;        111.4;      6;      4.49;      0.77;     368.52;    0.003501;       -1.166547;       -1.163046;       -1.163046;      2.35
       558;        111.6;      6;      5.73;      0.78;     578.37;    0.005495;       -1.168561;       -1.163067;       -1.163067;      1.26
       559;        111.8;      7;      6.11;      1.96;     774.12;    0.007354;       -1.170436;       -1.163082;       -1.163082;      0.46
       560;        112.0;      7;      5.31;      0.76;     928.48;    0.008821;       -1.171911;       -1.163090;       -1.163090;      0.04
       561;        112.2;      7;      7.92;      0.80;    1025.35;    0.009741;       -1.172832;       -1.163091;       -1.163091;     -0.01
       562;        112.4;      7;      5.36;      0.78;    1059.67;    0.010067;       -1.173154;       -1.163087;       -1.163087;      0.20
       563;        112.6;      7;      5.76;      0.77;    1035.14;    0.009834;       -1.172914;       -1.163079;       -1.163079;      0.59
       564;        112.8;      7;      5.89;      0.78;     961.31;    0.009133;       -1.172203;       -1.163070;       -1.163070;      1.06
       565;        113.0;      7;      8.62;      0.77;     850.83;    0.008083;       -1.171144;       -1.163061;       -1.163061;      1.54
       566;        113.2;      6;      6.08;      0.78;     717.36;    0.006815;       -1.169868;       -1.163052;       -1.163052;      2.00
       567;        113.4;      6;      6.15;      0.78;     574.07;    0.005454;       -1.168499;       -1.163045;       -1.163045;      2.39
       568;        113.6;      6;      6.54;      0.76;     432.41;    0.004108;       -1.167148;       -1.163040;       -1.163040;      2.68
       569;        113.8;      6;      4.73;      0.77;     301.27;    0.002862;       -1.165898;       -1.163036;       -1.163036;      2.89
       570;        114.0;      5;      5.14;      0.77;     187.56;    0.001782;       -1.164814;       -1.163032;       -1.163032;      3.07
       571;        114.2;      5;      4.01;      0.78;      97.12;    0.000923;       -1.163952;       -1.163029;       -1.163029;      3.22
       572;        114.4;      4;      4.26;      0.77;      34.67;    0.000329;       -1.163357;       -1.163027;       -1.163027;      3.32
       573;        114.6;      4;      6.64;      0.79;       3.42;    0.000032;       -1.163059;       -1.163026;       -1.163026;      3.37
       574;        114.8;      3;      5.88;      0.78;       4.90;    0.000047;       -1.163073;       -1.163026;       -1.163026;      3.37
       575;        115.0;      4;      3.59;      0.77;      39.06;    0.000371;       -1.163399;       -1.163027;       -1.163027;      3.32
       576;        115.2;      4;      6.51;      0.77;     104.19;    0.000990;       -1.164019;       -1.163029;       -1.163029;      3.21
       577;        115.4;      5;      4.01;      0.76;     196.94;    0.001871;       -1.164903;       -1.163032;       -1.163032;      3.06
       578;        115.6;      5;      6.54;      0.77;     312.47;    0.002969;       -1.166004;       -1.163036;       -1.163036;      2.87
       579;        115.8;      6;      4.54;      0.78;     444.86;    0.004226;       -1.167266;       -1.163040;       -1.163040;      2.66
       580;        116.0;      6;      9.23;      0.77;     587.07;    0.005577;       -1.168623;       -1.163046;       -1.163046;      2.36
       581;        116.2;      6;      7.41;      0.76;     729.98;    0.006935;       -1.169988;       -1.163053;       -1.163053;      1.96
       582;        116.4;      6;      5.87;      0.76;     861.94;    0.008189;       -1.171251;       -1.163062;       -1.163062;      1.50
       583;        116.6;      7;      7.15;      0.83;     969.67;    0.009212;       -1.172283;       -1.163071;       -1.163071;      1.01
       584;        116.8;      7;      7.28;      0.82;    1039.54;    0.009876;       -1.172956;       -1.163080;       -1.163080;      0.55
       585;        117.0;      7;      5.27;      0.79;    1059.09;    0.010062;       -1.173149;       -1.163087;       -1.163087;      0.17
       586;        117.2;      7;      7.50;      0.77;    1019.18;    0.009683;       -1.172774;       -1.163091;       -1.163091;     -0.02
       587;        117.4;      7;      7.69;      0.77;     916.76;    0.008710;       -1.171799;       -1.163089;       -1.163089;      0.07
       588;        117.6;      7;      6.03;      0.77;     757.84;    0.007200;       -1.170280;       -1.163081;       -1.163081;      0.52
       589;        117.8;      7;      7.06;      0.79;     559.55;    0.005316;       -1.168381;       -1.163065;       -1.163065;      1.35
       590;        118.0;      6;      5.45;      0.77;     350.08;    0.003326;       -1.166370;       -1.163044;       -1.163044;      2.45
       591;        118.2;      6;      7.15;      0.87;     165.00;    0.001568;       -1.164590;       -1.163022;       -1.163022;      3.58
       592;        118.4;      4;      3.45;      0.75;      39.77;    0.000378;       -1.163384;       -1.163006;       -1.163006;      4.43
       593;        118.6;      4;      3.47;      0.77;       0.33;    0.000003;       -1.163004;       -1.163001;       -1.163001;      4.70
       594;        118.8;      4;      3.96;      0.77;      55.16;    0.000524;       -1.163532;       -1.163008;       -1.163008;      4.32
       595;        119.0;      6;      5.49;      0.79;     192.51;    0.001829;       -1.164855;       -1.163026;       -1.163026;      3.41
       596;        119.2;      6;      4.37;      0.77;     384.22;    0.003650;       -1.166698;       -1.163048;       -1.163048;      2.26
       597;        119.4;      6;      4.40;      0.76;     594.17;    0.005645;       -1.168713;       -1.163068;       -1.163068;      1.19
       598;        119.6;      7;      6.46;      0.76;     787.59;    0.007482;       -1.170565;       -1.163083;       -1.163083;      0.42
       599;        119.8;      7;      6.42;      0.77;     938.00;    0.008911;       -1.172001;       -1.163090;       -1.163090;      0.03
       600;        120.0;      7;      4.88;      0.82;    1030.16;    0.009787;       -1.172878;       -1.163091;       -1.163091;     -0.01
       601;        120.2;      7;      4.91;      0.75;    1059.77;    0.010068;       -1.173154;       -1.163086;       -1.163086;      0.23
       602;        120.4;      7;      7.91;      0.76;    1031.10;    0.009796;       -1.172875;       -1.163079;       -1.163079;      0.62
       603;        120.6;      7;      5.30;      0.77;     954.02;    0.009064;       -1.172133;       -1.163070;       -1.163070;      1.09
       604;        120.8;      7;      8.26;      0.77;     841.31;    0.007993;       -1.171053;       -1.163061;       -1.163061;      1.58
       605;        121.0;      6;      4.50;      0.77;     706.64;    0.006713;       -1.169765;       -1.163052;       -1.163052;      2.03
       606;        121.2;      6;      5.06;      0.77;     563.10;    0.005350;       -1.168394;       -1.163045;       -1.163045;      2.42
       607;        121.4;      6;      5.74;      0.75;     421.96;    0.004009;       -1.167048;       -1.163039;       -1.163039;      2.70
       608;        121.6;      6;      9.81;      0.77;     291.92;    0.002773;       -1.165809;       -1.163035;       -1.163035;      2.90
       609;        121.8;      5;      5.88;      0.75;     179.79;    0.001708;       -1.164740;       -1.163032;       -1.163032;      3.08
       610;        122.0;      5;      3.93;      4.05;      91.33;    0.000868;       -1.163897;       -1.163029;       -1.163029;      3.23
       611;        122.2;      4;      3.54;      0.77;      31.17;    0.000296;       -1.163323;       -1.163027;       -1.163027;      3.33
       612;        122.4;      4;      3.55;      0.75;       2.37;    0.000023;       -1.163049;       -1.163026;       -1.163026;      3.37
       613;        122.6;      3;      4.35;      0.76;       6.37;    0.000060;       -1.163087;       -1.163026;       -1.163026;      3.37
       614;        122.8;      4;      3.82;      0.75;      42.96;    0.000408;       -1.163436;       -1.163028;       -1.163028;      3.31
       615;        123.0;      4;      3.48;      0.76;     110.33;    0.001048;       -1.164078;       -1.163030;       -1.163030;      3.20
       616;        123.2;      5;      6.64;      0.75;     205.00;    0.001948;       -1.164980;       -1.163033;       -1.163033;      3.04
       617;        123.4;      5;      5.63;      0.75;     322.03;    0.003059;       -1.166096;       -1.163036;       -1.163036;      2.86
       618;        123.6;      6;      4.55;      0.76;     455.44;    0.004327;       -1.167367;       -1.163040;       -1.163040;      2.64
       619;        123.8;      6;      5.17;      0.82;     598.06;    0.005682;       -1.168728;       -1.163046;       -1.163046;      2.33
       620;        124.0;      6;      4.60;      0.77;     740.56;    0.007036;       -1.170090;       -1.163054;       -1.163054;      1.93
       621;        124.2;      6;      5.53;      0.77;     871.16;    0.008276;       -1.171339;       -1.163063;       -1.163063;      1.46
       622;        124.4;      7;      5.40;      0.77;     976.49;    0.009277;       -1.172349;       -1.163072;       -1.163072;      0.98
       623;        124.6;      7;      5.00;      0.78;    1042.94;    0.009908;       -1.172989;       -1.163081;       -1.163081;      0.52
       624;        124.8;      7;      4.79;      0.76;    1058.23;    0.010054;       -1.173141;       -1.163088;       -1.163088;      0.15
       625;        125.0;      7;      4.88;      0.85;    1013.57;    0.009629;       -1.172720;       -1.163091;       -1.163091;     -0.03
       626;        125.2;      7;      8.86;      0.79;     906.51;    0.008612;       -1.171701;       -1.163089;       -1.163089;      0.09
       627;        125.4;      7;      6.75;      0.76;     743.84;    0.007067;       -1.170146;       -1.163080;       -1.163080;      0.57
       628;        125.6;      7;      6.88;      0.77;     543.58;    0.005164;       -1.168228;       -1.163063;       -1.163063;      1.42
       629;        125.8;      6;      5.22;      0.77;     334.67;    0.003179;       -1.166222;       -1.163042;       -1.163042;      2.54
       630;        126.0;      6;      6.39;      0.77;     152.95;    0.001453;       -1.164474;       -1.163021;       -1.163021;      3.66
       631;        126.2;      4;      4.95;      0.77;      33.52;    0.000318;       -1.163324;       -1.163006;       -1.163006;      4.47
       632;        126.4;      4;      4.80;      0.76;       1.22;    0.000012;       -1.163013;       -1.163001;       -1.163001;      4.70
       633;        126.6;      4;      4.26;      0.76;      62.98;    0.000598;       -1.163608;       -1.163009;       -1.163009;      4.26
       634;        126.8;      6;      4.66;      0.79;     205.62;    0.001953;       -1.164981;       -1.163027;       -1.163027;      3.32
       635;        127.0;      6;      4.40;      0.77;     400.02;    0.003800;       -1.166850;       -1.163049;       -1.163049;      2.17
       636;        127.2;      7;      5.00;      0.77;     609.86;    0.005794;       -1.168863;       -1.163069;       -1.163069;      1.12
       637;        127.4;      7;      7.40;      0.77;     800.81;    0.007608;       -1.170691;       -1.163083;       -1.163083;      0.37
       638;        127.6;      7;      8.01;      0.76;     947.17;    0.008999;       -1.172089;       -1.163090;       -1.163090;      0.01
       639;        127.8;      7;      5.92;      0.78;    1034.60;    0.009829;       -1.172920;       -1.163090;       -1.163090;      0.00
       640;        128.0;      7;      7.95;      0.77;    1059.54;    0.010066;       -1.173152;       -1.163086;       -1.163086;      0.25
       641;        128.2;      7;      5.48;      0.76;    1026.79;    0.009755;       -1.172833;       -1.163078;       -1.163078;      0.66
       642;        128.4;      7;      5.32;      0.80;     946.52;    0.008992;       -1.172061;       -1.163069;       -1.163069;      1.13
       643;        128.6;      7;      4.83;      0.75;     831.66;    0.007901;       -1.170961;       -1.163060;       -1.163060;      1.61
       644;        128.8;      6;      5.30;      0.78;     695.87;    0.006611;       -1.169662;       -1.163051;       -1.163051;      2.06
       645;        129.0;      6;      4.72;      0.77;     552.15;    0.005246;       -1.168290;       -1.163044;       -1.163044;      2.44
       646;        129.2;      6;      5.69;      0.77;     411.58;    0.003910;       -1.166949;       -1.163039;       -1.163039;      2.71
       647;        129.4;      6;      7.38;      0.77;     282.68;    0.002686;       -1.165721;       -1.163035;       -1.163035;      2.92
       648;        129.6;      5;      3.94;      0.78;     172.16;    0.001636;       -1.164667;       -1.163032;       -1.163032;      3.10
       649;        129.8;      5;      4.38;      0.78;      85.71;    0.000814;       -1.163843;       -1.163029;       -1.163029;      3.24
       650;        130.0;      4;      5.25;      0.81;      27.85;    0.000265;       -1.163292;       -1.163027;       -1.163027;      3.33
       651;        130.2;      4;      4.80;      0.79;       1.51;    0.000014;       -1.163041;       -1.163026;       -1.163026;      3.37
       652;        130.4;      3;      3.75;      0.77;       8.02;    0.000076;       -1.163103;       -1.163027;       -1.163027;      3.36
       653;        130.6;      4;      4.39;      0.76;      47.04;    0.000447;       -1.163475;       -1.163028;       -1.163028;      3.30
       654;        130.8;      4;      3.50;      0.76;     116.63;    0.001108;       -1.164138;       -1.163030;       -1.163030;      3.19
       655;        131.0;      5;      4.92;      0.76;     213.19;    0.002025;       -1.165058;       -1.163033;       -1.163033;      3.03
       656;        131.2;      5;      7.30;      0.78;     331.69;    0.003151;       -1.166188;       -1.163037;       -1.163037;      2.84
       657;        131.4;      6;      6.82;      0.78;     466.07;    0.004428;       -1.167469;       -1.163041;       -1.163041;      2.62
       658;        131.6;      6;      4.53;      0.77;     609.04;    0.005786;       -1.168833;       -1.163047;       -1.163047;      2.31
       659;        131.8;      6;      5.19;      0.78;     751.08;    0.007136;       -1.170190;       -1.163055;       -1.163055;      1.89
       660;        132.0;      6;      7.10;      0.78;     880.23;    0.008363;       -1.171426;       -1.163063;       -1.163063;      1.42
       661;        132.2;      7;      6.59;      0.76;     983.08;    0.009340;       -1.172412;       -1.163073;       -1.163073;      0.94
       662;        132.4;      7;      6.07;      0.77;    1046.04;    0.009938;       -1.173019;       -1.163081;       -1.163081;      0.48
