Frequencies including rot/trans (cm^-1):
  omega(  1) =        0.008518
  omega(  2) =        0.006869
  omega(  3) =        0.004571
  omega(  4) =        1.790037
  omega(  5) =        1.963012
  omega(  6) =        1.977172
  omega(  7) =       18.881206
  omega(  8) =       21.779748
  omega(  9) =      213.368748
  omega( 10) =      214.994053
  omega( 11) =      215.258585
  omega( 12) =      255.301745
  omega( 13) =      255.328392
  omega( 14) =      255.357869
  omega( 15) =      255.383868
  omega( 16) =      255.399680
  omega( 17) =      333.114012
  omega( 18) =      333.154211
  omega( 19) =      333.162036
  omega( 20) =      339.999338
  omega( 21) =      340.009649
  omega( 22) =      340.011870
  omega( 23) =      340.017836
  omega( 24) =      391.175799
  omega( 25) =      391.213240
  omega( 26) =      391.232437
  omega( 27) =      391.303713
  omega( 28) =      391.312018
  omega( 29) =      415.862437
  omega( 30) =      415.900006
  omega( 31) =      416.088188
  omega( 32) =      416.168976
  omega( 33) =      416.205220
  omega( 34) =      477.089071
  omega( 35) =      477.099997
  omega( 36) =      477.104833
  omega( 37) =      477.173939
  omega( 38) =      498.583528
  omega( 39) =      498.697522
  omega( 40) =      498.703311
  omega( 41) =      526.829028
  omega( 42) =      526.845313
  omega( 43) =      526.877244
  omega( 44) =      526.883612
  omega( 45) =      526.894172
  omega( 46) =      527.408541
  omega( 47) =      534.591656
  omega( 48) =      534.624420
  omega( 49) =      534.633128
  omega( 50) =      543.633481
  omega( 51) =      543.911657
  omega( 52) =      543.920428
  omega( 53) =      549.895466
  omega( 54) =      549.917930
  omega( 55) =      549.944902
  omega( 56) =      550.018544
  omega( 57) =      623.361332
  omega( 58) =      623.361580
  omega( 59) =      623.448584
  omega( 60) =      642.162664
  omega( 61) =      642.178637
  omega( 62) =      642.197969
  omega( 63) =      642.231686
  omega( 64) =      642.253039
  omega( 65) =      664.519441
  omega( 66) =      664.608718
  omega( 67) =      664.642950
  omega( 68) =      674.898377
  omega( 69) =      674.943491
  omega( 70) =      674.992067
  omega( 71) =      675.134558
  omega( 72) =      675.154526
  omega( 73) =      701.978656
  omega( 74) =      702.000102
  omega( 75) =      702.116058
  omega( 76) =      702.125392
  omega( 77) =      702.157628
  omega( 78) =      706.154766
  omega( 79) =      706.206388
  omega( 80) =      706.218191
  omega( 81) =      706.238853
  omega( 82) =      720.211808
  omega( 83) =      720.236047
  omega( 84) =      720.269908
  omega( 85) =      720.356845
  omega( 86) =      734.707377
  omega( 87) =      734.869584
  omega( 88) =      735.064076
  omega( 89) =      735.708597
  omega( 90) =      736.345181
  omega( 91) =      736.540203
  omega( 92) =      737.155163
  omega( 93) =      756.139619
  omega( 94) =      756.166144
  omega( 95) =      756.253285
  omega( 96) =      795.311150
  omega( 97) =      795.313359
  omega( 98) =      795.539192
  omega( 99) =      815.494020
  omega(100) =      815.595903
  omega(101) =      815.617543
  omega(102) =      815.714212
  omega(103) =      815.744427
  omega(104) =      896.055200
  omega(105) =      995.011092
  omega(106) =      995.037088
  omega(107) =      995.070662
  omega(108) =      995.187462
  omega(109) =     1012.925213
  omega(110) =     1012.956203
  omega(111) =     1013.046805
  omega(112) =     1127.614823
  omega(113) =     1127.617449
  omega(114) =     1127.686004
  omega(115) =     1127.704606
  omega(116) =     1127.710659
  omega(117) =     1129.154644
  omega(118) =     1129.447869
  omega(119) =     1129.526362
  omega(120) =     1129.594573
  omega(121) =     1217.808400
  omega(122) =     1217.819194
  omega(123) =     1218.037542
  omega(124) =     1218.064668
  omega(125) =     1218.108645
  omega(126) =     1225.744792
  omega(127) =     1226.217665
  omega(128) =     1226.361496
  omega(129) =     1228.209144
  omega(130) =     1228.229569
  omega(131) =     1228.485237
  omega(132) =     1284.524835
  omega(133) =     1284.592078
  omega(134) =     1284.724351
  omega(135) =     1284.838744
  omega(136) =     1284.866289
  omega(137) =     1286.064445
  omega(138) =     1286.067549
  omega(139) =     1286.163806
  omega(140) =     1299.260969
  omega(141) =     1299.499001
  omega(142) =     1299.571775
  omega(143) =     1299.634054
  omega(144) =     1326.848812
  omega(145) =     1326.852211
  omega(146) =     1326.864179
  omega(147) =     1326.874519
  omega(148) =     1340.226437
  omega(149) =     1340.241190
  omega(150) =     1340.444063
  omega(151) =     1340.487481
  omega(152) =     1340.533486
  omega(153) =     1346.834292
  omega(154) =     1346.867148
  omega(155) =     1346.998221
  omega(156) =     1443.299888
  omega(157) =     1443.399976
  omega(158) =     1443.523875
  omega(159) =     1443.915468
  omega(160) =     1455.933295
  omega(161) =     1456.143125
  omega(162) =     1456.417924
  omega(163) =     1456.643124
  omega(164) =     1456.815069
  omega(165) =     1482.116519
  omega(166) =     1483.130883
  omega(167) =     1483.132770
  omega(168) =     1500.284644
  omega(169) =     1500.319814
  omega(170) =     1500.360311
  omega(171) =     1500.500655
  omega(172) =     1520.312141
  omega(173) =     1532.080534
  omega(174) =     1532.144693
  omega(175) =     1532.373983
  omega(176) =     1551.311141
  omega(177) =     1551.420199
  omega(178) =     1551.785947
  omega(179) =     1551.970319
  omega(180) =     1552.080870
  omega(181) =     1561.621307
  omega(182) =     1561.777513
  omega(183) =     1561.940742
  omega(184) =     1562.192317
  omega(185) =     1562.354571
  omega(186) =     4361.446458

Harmonic zero-point energy (ZPE):
  ZPE_all   (Eh)   =  3.793490226372e-01
  ZPE_all   (cm^-1)=  83257.484487
  ZPE_active(Eh)   =  3.650495106740e-01
  ZPE_active(cm^-1)=  80119.104462
  ZPE_all   (kJ/mol)=  995.980722
  ZPE_all   (kcal/mol)=  238.045106

Velocities printed in: velocity.xyz
