2
Step =      0  Time =       0.00000000
H       0.00018009     -0.00000121     -0.00000056
H      -0.00018009      0.00000121      0.00000056
2
Step =      1  Time =       8.26827492
H      -0.01519882      0.00010206      0.00004713
H       0.01519882     -0.00010206     -0.00004713
2
Step =      2  Time =      16.53654983
H      -0.03218248      0.00021610      0.00009979
H       0.03218248     -0.00021610     -0.00009979
2
Step =      3  Time =      24.80482475
H      -0.05015869      0.00033681      0.00015553
H       0.05015869     -0.00033681     -0.00015553
2
Step =      4  Time =      33.07309966
H      -0.06813301      0.00045750      0.00021126
H       0.06813301     -0.00045750     -0.00021126
2
Step =      5  Time =      41.34137458
H      -0.08473789      0.00056899      0.00026274
H       0.08473789     -0.00056899     -0.00026274
2
Step =      6  Time =      49.60964949
H      -0.09836561      0.00066050      0.00030500
H       0.09836561     -0.00066050     -0.00030500
2
Step =      7  Time =      57.87792441
H      -0.10744227      0.00072145      0.00033314
H       0.10744227     -0.00072145     -0.00033314
2
Step =      8  Time =      66.14619932
H      -0.11078954      0.00074392      0.00034352
H       0.11078954     -0.00074392     -0.00034352
2
Step =      9  Time =      74.41447424
H      -0.10794633      0.00072483      0.00033471
H       0.10794633     -0.00072483     -0.00033471
2
Step =     10  Time =      82.68274915
H      -0.09930521      0.00066681      0.00030791
H       0.09930521     -0.00066681     -0.00030791
2
Step =     11  Time =      90.95102407
H      -0.08599590      0.00057744      0.00026665
H       0.08599590     -0.00057744     -0.00026665
2
Step =     12  Time =      99.21929898
H      -0.06957387      0.00046717      0.00021573
H       0.06957387     -0.00046717     -0.00021573
2
Step =     13  Time =     107.48757390
H      -0.05165615      0.00034686      0.00016017
H       0.05165615     -0.00034686     -0.00016017
2
Step =     14  Time =     115.75584881
H      -0.03363707      0.00022587      0.00010430
H       0.03363707     -0.00022587     -0.00010430
2
Step =     15  Time =     124.02412373
H      -0.01654357      0.00011109      0.00005130
H       0.01654357     -0.00011109     -0.00005130
2
Step =     16  Time =     132.29239864
H      -0.00101753      0.00000683      0.00000316
H       0.00101753     -0.00000683     -0.00000316
2
Step =     17  Time =     140.56067356
H       0.01262253     -0.00008476     -0.00003914
H      -0.01262253      0.00008476      0.00003914
2
Step =     18  Time =     148.82894847
H       0.02428710     -0.00016308     -0.00007531
H      -0.02428710      0.00016308      0.00007531
2
Step =     19  Time =     157.09722339
H       0.03401726     -0.00022842     -0.00010548
H      -0.03401726      0.00022842      0.00010548
2
Step =     20  Time =     165.36549830
H       0.04190150     -0.00028136     -0.00012992
H      -0.04190150      0.00028136      0.00012992
2
Step =     21  Time =     173.63377322
H       0.04806832     -0.00032277     -0.00014904
H      -0.04806832      0.00032277      0.00014904
2
Step =     22  Time =     181.90204813
