    Step            Time                Epot                Ekin                Etot
       0      0.00000000     -1.179790713656      0.009988597903     -1.169802115753
       1      8.26827492     -1.179506480826      0.009700021374     -1.169806459452
       2     16.53654983     -1.178623019095      0.008817338417     -1.169805680678
       3     24.80482475     -1.177181615770      0.007383528950     -1.169798086820
       4     33.07309966     -1.175329425405      0.005546242297     -1.169783183108
       5     41.34137458     -1.173323212312      0.003560553840     -1.169762658472
       6     49.60964949     -1.171499795136      0.001758979277     -1.169740815860
       7     57.87792441     -1.170208218894      0.000484506018     -1.169723712876
       8     66.14619932     -1.169717657319      0.000000774013     -1.169716883306
       9     74.41447424     -1.170134822809      0.000412120296     -1.169722702512
      10     82.68274915     -1.171368815346      0.001629674475     -1.169739140871
      11     90.95102407     -1.173161147176      0.003400314411     -1.169760832764
      12     99.21929898     -1.175165739756      0.005384077345     -1.169781662410
      13    107.48757390     -1.177041718751      0.007244590347     -1.169797128404
      14    115.75584881     -1.178524076547      0.008718747125     -1.169805329422
      15    124.02412373     -1.179456396115      0.009649781116     -1.169806614999
      16    132.29239864     -1.179789375382      0.009986757979     -1.169802617403
      17    140.56067356     -1.179558740397      0.009763423734     -1.169795316663
      18    148.82894847     -1.178856344058      0.009069900079     -1.169786443979
      19    157.09722339     -1.177803666527      0.008026426087     -1.169777240440
      20    165.36549830     -1.176531760164      0.006763252315     -1.169768507849
      21    173.63377322     -1.175167215196      0.005406231616     -1.169760983580
      22    181.90204813     -1.173820224380      0.004064755387     -1.169755468993
      23    190.17032305     -1.172575703688      0.002824187183     -1.169751516505
      24    198.43859796     -1.171498620052      0.001750566853     -1.169748053199
      25    206.70687288     -1.170644471647      0.000899270918     -1.169745200729
      26    214.97514779     -1.170058275452      0.000314978249     -1.169743297203
      27    223.24342271     -1.169770309528      0.000027911700     -1.169742397827
      28    231.51169762     -1.169794992917      0.000052519088     -1.169742473830
      29    239.77997254     -1.170131104045      0.000387575251     -1.169743528794
      30    248.04824745     -1.170761744398      0.001016154389     -1.169745590009
      31    256.31652237     -1.171654177849      0.001905609484     -1.169748568365
      32    264.58479729     -1.172761398309      0.003009307937     -1.169752090372
      33    272.85307220     -1.174026636098      0.004270439852     -1.169756196246
      34    281.12134712     -1.175382672013      0.005620626696     -1.169762045318
      35    289.38962203     -1.176740531825      0.006970713357     -1.169769818468
      36    297.65789695     -1.177986669399      0.008208000870     -1.169778668529
      37    305.92617186     -1.178993003978      0.009205122672     -1.169787881306
      38    314.19444678     -1.179628937089      0.009832334744     -1.169796602345
      39    322.46272169     -1.179776129237      0.009972619540     -1.169803509698
      40    330.73099661     -1.179349647486      0.009542838363     -1.169806809123
      41    338.99927152     -1.178325231850      0.008520706062     -1.169804525787
      42    347.26754644     -1.176767876018      0.006972715432     -1.169795160585
      43    355.53582135     -1.174851671184      0.005073011535     -1.169778659648
