# t_fs P_donor rate_au
2.999856453906572540e+01 0.000000000000000000e+00 -5.926130716334105486e+00
3.099851669036791435e+01 0.000000000000000000e+00 -1.800735183193053501e+01
3.199846884167010330e+01 0.000000000000000000e+00 -1.193778456113073005e+01
3.299842099297229225e+01 0.000000000000000000e+00 9.338116982703388302e+00
3.399837314427448831e+01 0.000000000000000000e+00 3.631054357103555930e+01
3.499832529557667726e+01 0.000000000000000000e+00 5.619079508129143363e+01
3.599827744687886621e+01 0.000000000000000000e+00 5.823168387441119620e+01
3.699822959818105517e+01 0.000000000000000000e+00 4.103327858254172611e+01
3.799818174948325122e+01 0.000000000000000000e+00 1.285059847597166183e+01
3.899813390078544018e+01 0.000000000000000000e+00 -1.258895409177474534e+01
3.999808605208762913e+01 0.000000000000000000e+00 -2.098441028766510641e+01
4.099803820338982518e+01 0.000000000000000000e+00 -7.091655325186068559e+00
4.199799035469201414e+01 0.000000000000000000e+00 2.207840153375417813e+01
4.299794250599420309e+01 0.000000000000000000e+00 5.309473604769533495e+01
4.399789465729639204e+01 0.000000000000000000e+00 7.095119829500899300e+01
4.499784680859858099e+01 0.000000000000000000e+00 6.610293829475982363e+01
4.599779895990076994e+01 0.000000000000000000e+00 4.098868893712261752e+01
4.699775111120296600e+01 0.000000000000000000e+00 7.337045944775698381e+00
4.799770326250515495e+01 0.000000000000000000e+00 -1.824641277876192191e+01
4.899765541380735101e+01 0.000000000000000000e+00 -2.103122650957281081e+01
4.999760756510953286e+01 0.000000000000000000e+00 1.073527738848964352e+00
5.099755971641172181e+01 0.000000000000000000e+00 3.666589938386574943e+01
5.199751186771391787e+01 0.000000000000000000e+00 6.901007766704587709e+01
5.299746401901610682e+01 0.000000000000000000e+00 8.232880660030558317e+01
5.399741617031830287e+01 0.000000000000000000e+00 6.995209552698268851e+01
5.499736832162049893e+01 0.000000000000000000e+00 3.787148535725381038e+01
5.599732047292268788e+01 0.000000000000000000e+00 8.955116269097992410e-01
5.699727262422487684e+01 0.000000000000000000e+00 -2.220432855083807766e+01
5.799722477552706579e+01 0.000000000000000000e+00 -1.767780258943433225e+01
5.899717692682925474e+01 0.000000000000000000e+00 1.242990740228024471e+01
5.999712907813145080e+01 0.000000000000000000e+00 5.262249575358047338e+01
6.099708122943363975e+01 0.000000000000000000e+00 8.370372175002908932e+01
6.199703338073582870e+01 0.000000000000000000e+00 9.080564449438753627e+01
6.299698553203801765e+01 0.000000000000000000e+00 7.088165250849353072e+01
6.399693768334020660e+01 0.000000000000000000e+00 3.335606456505440320e+01
6.499688983464240266e+01 0.000000000000000000e+00 -4.620879542475472057e+00
6.599684198594458451e+01 0.000000000000000000e+00 -2.307734033138986263e+01
6.699679413724678056e+01 0.000000000000000000e+00 -1.056466443709680902e+01
6.799674628854897662e+01 0.000000000000000000e+00 2.629173181168490103e+01
6.899669843985115847e+01 0.000000000000000000e+00 6.835548179821854831e+01
6.999665059115335453e+01 0.000000000000000000e+00 9.538381825312445983e+01
7.099660274245553637e+01 0.000000000000000000e+00 9.519080469019419866e+01
7.199655489375773243e+01 0.000000000000000000e+00 6.854305385713878707e+01
7.299650704505991428e+01 0.000000000000000000e+00 2.747253525992659817e+01
7.399645919636211033e+01 0.000000000000000000e+00 -8.980448883852103492e+00
7.499641134766430639e+01 0.000000000000000000e+00 -2.087386856172212291e+01
7.599636349896650245e+01 0.000000000000000000e+00 -2.528572663810546572e-01
7.699631565026869850e+01 0.000000000000000000e+00 4.152616491228594953e+01
7.799626780157088035e+01 0.000000000000000000e+00 8.268681026930192957e+01
7.899621995287307641e+01 0.000000000000000000e+00 1.038189054934152296e+02
7.999617210417525826e+01 0.000000000000000000e+00 9.630365575210630880e+01
8.099612425547745431e+01 0.000000000000000000e+00 6.443778559753850743e+01
8.199607640677965037e+01 0.000000000000000000e+00 2.215851729747789278e+01
8.299602855808183222e+01 0.000000000000000000e+00 -1.038057776424236245e+01
8.399598070938402827e+01 0.000000000000000000e+00 -1.452940659418217884e+01
8.499593286068621012e+01 0.000000000000000000e+00 1.318279134136166064e+01
8.599588501198840618e+01 0.000000000000000000e+00 5.722490317975638874e+01
8.699583716329060223e+01 0.000000000000000000e+00 9.459908553476172699e+01
8.799578931459278408e+01 0.000000000000000000e+00 1.083719903510899343e+02
8.899574146589498014e+01 0.000000000000000000e+00 9.412765699653385809e+01
8.999569361719716198e+01 0.000000000000000000e+00 5.888017174495469419e+01
9.099564576849935804e+01 0.000000000000000000e+00 1.779493001651501416e+01
9.199559791980153989e+01 0.000000000000000000e+00 -8.763421430352110519e+00
9.299555007110373595e+01 0.000000000000000000e+00 -4.806302423537448298e+00
9.399550222240593200e+01 0.000000000000000000e+00 2.826934927824119370e+01
9.499545437370811385e+01 0.000000000000000000e+00 7.161463689260379795e+01
9.599540652501030991e+01 0.000000000000000000e+00 1.028099750480341896e+02
9.699535867631250596e+01 0.000000000000000000e+00 1.088621593213887166e+02
9.799531082761470202e+01 0.000000000000000000e+00 8.940913950780691266e+01
9.899526297891688387e+01 0.000000000000000000e+00 5.327192310759764382e+01
9.999521513021906571e+01 0.000000000000000000e+00 1.606565774099403043e+01
1.009951672815212760e+02 0.000000000000000000e+00 -2.906745678756956330e+00
1.019951194328234436e+02 0.000000000000000000e+00 8.574850025677793752e+00
1.029950715841256539e+02 0.000000000000000000e+00 4.439974891624113695e+01
1.039950237354278357e+02 0.000000000000000000e+00 8.391610258208358175e+01
1.049949758867300318e+02 0.000000000000000000e+00 1.072431610364709229e+02
1.059949280380322136e+02 0.000000000000000000e+00 1.060292974443888454e+02
1.069948801893344097e+02 0.000000000000000000e+00 8.334482508633661269e+01
1.079948323406366057e+02 0.000000000000000000e+00 4.877228619435417301e+01
1.089947844919387876e+02 0.000000000000000000e+00 1.755671439524423150e+01
1.099947366432409979e+02 0.000000000000000000e+00 6.819609490070114965e+00
1.109946887945431655e+02 0.000000000000000000e+00 2.419818085428599730e+01
1.119946409458453758e+02 0.000000000000000000e+00 5.963872937107316829e+01
1.129945930971475576e+02 0.000000000000000000e+00 9.251228248131613441e+01
1.139945452484497537e+02 0.000000000000000000e+00 1.070705125172137429e+02
1.149944973997519355e+02 0.000000000000000000e+00 9.996847424415260264e+01
1.159944495510541316e+02 0.000000000000000000e+00 7.650165047979095334e+01
1.169944017023563134e+02 0.000000000000000000e+00 4.629292889302619329e+01
1.179943538536585095e+02 0.000000000000000000e+00 2.308874367874909694e+01
1.189943060049606913e+02 0.000000000000000000e+00 2.051076074621734335e+01
1.199942581562629016e+02 0.000000000000000000e+00 4.138617906757726672e+01
1.209942103075650692e+02 0.000000000000000000e+00 7.304928985003739683e+01
1.219941624588672795e+02 0.000000000000000000e+00 9.711520466302836496e+01
1.229941146101694613e+02 0.000000000000000000e+00 1.031862458266142681e+02
1.239940667614716574e+02 0.000000000000000000e+00 9.231481496122093233e+01
1.249940189127738392e+02 0.000000000000000000e+00 7.087808028165305529e+01
1.259939710640760353e+02 0.000000000000000000e+00 4.747347948742468304e+01
1.269939232153782172e+02 0.000000000000000000e+00 3.322815219126955810e+01
1.279938753666804132e+02 0.000000000000000000e+00 3.740991874873625278e+01
1.289938275179826235e+02 0.000000000000000000e+00 5.845338500279749638e+01
1.299937796692848053e+02 0.000000000000000000e+00 8.300401540370670261e+01
1.309937318205869872e+02 0.000000000000000000e+00 9.684363514340577694e+01
1.319936839718891690e+02 0.000000000000000000e+00 9.548787444663642532e+01
1.329936361231913793e+02 0.000000000000000000e+00 8.331101504893184995e+01
1.339935882744935611e+02 0.000000000000000000e+00 6.679473119450868523e+01
1.349935404257957714e+02 0.000000000000000000e+00 5.242701006425814114e+01
1.359934925770979532e+02 0.000000000000000000e+00 4.753737207862739211e+01
1.369934447284001351e+02 0.000000000000000000e+00 5.634486800616436852e+01
