t_fs P_1 P_2 Z
1.800000000000000000e+01 1.909281065673651689e-01 8.090718934326348588e-01 1.000007647399937083e+00
1.850000000000000000e+01 2.087706275507081044e-01 7.912293724492918123e-01 1.000007257512425252e+00
1.900000000000000000e+01 2.246170860807746583e-01 7.753829139192252029e-01 1.000006370793951049e+00
1.950000000000000000e+01 2.375327203306498713e-01 7.624672796693500176e-01 1.000005727875346029e+00
2.000000000000000000e+01 2.470432205258100977e-01 7.529567794741899300e-01 1.000005790345029011e+00
2.050000000000000000e+01 2.565615576282735399e-01 7.434384423717264045e-01 9.999979999013733911e-01
2.100000000000000000e+01 2.697499137665952396e-01 7.302500862334047049e-01 9.999956280862940527e-01
2.150000000000000000e+01 2.864386615174407957e-01 7.135613384825592043e-01 9.999950805279340660e-01
2.200000000000000000e+01 3.057763476765146260e-01 6.942236523234853740e-01 9.999930264619486531e-01
2.250000000000000000e+01 3.263327175754354159e-01 6.736672824245646396e-01 9.999891697158260762e-01
2.300000000000000000e+01 3.465149215963677087e-01 6.534850784036323468e-01 9.999863170091694009e-01
2.350000000000000000e+01 3.651058185438685322e-01 6.348941814561315233e-01 9.999880763603535838e-01
2.400000000000000000e+01 3.816221357125341163e-01 6.183778642874658837e-01 9.999964083481059918e-01
2.450000000000000000e+01 3.963100331373118901e-01 6.036899668626879434e-01 1.000010744137258101e+00
2.500000000000000000e+01 4.098356362540905296e-01 5.901643637459096370e-01 1.000028691113646673e+00
2.550000000000000000e+01 4.267100507396697218e-01 5.732899492603301672e-01 1.000032915082867291e+00
2.600000000000000000e+01 4.513801540448148519e-01 5.486198459551853146e-01 1.000036535499519097e+00
2.650000000000000000e+01 4.829779464934595423e-01 5.170220535065404022e-01 1.000038822446301712e+00
2.700000000000000000e+01 5.190347715390009053e-01 4.809652284609992057e-01 1.000039288673962634e+00
2.750000000000000000e+01 5.562148199555706496e-01 4.437851800444293504e-01 1.000037645782458018e+00
2.800000000000000000e+01 5.911316155550496720e-01 4.088683844449503835e-01 1.000034013673267941e+00
2.850000000000000000e+01 6.210309057904881413e-01 3.789690942095118587e-01 1.000029060047280982e+00
2.900000000000000000e+01 6.442264636943051404e-01 3.557735363056949707e-01 1.000023855016744623e+00
2.950000000000000000e+01 6.602374949737586096e-01 3.397625050262413904e-01 1.000019545717023783e+00
3.000000000000000000e+01 6.696353972486281947e-01 3.303646027513716943e-01 1.000017030189137568e+00
3.050000000000000000e+01 6.745877383987393117e-01 3.254122616012607438e-01 1.000016138604694627e+00
3.100000000000000000e+01 6.775504570174656349e-01 3.224495429825344206e-01 1.000017233020112029e+00
3.150000000000000000e+01 6.798743483977394142e-01 3.201256516022605303e-01 1.000020127488660204e+00
3.200000000000000000e+01 6.824501646814904454e-01 3.175498353185094991e-01 1.000024518331492640e+00
3.250000000000000000e+01 6.856493388080775464e-01 3.143506611919223981e-01 1.000030537129687813e+00
3.300000000000000000e+01 6.893839645271061523e-01 3.106160354728939588e-01 1.000038895084484070e+00
3.350000000000000000e+01 6.932533761908028502e-01 3.067466238091971498e-01 1.000050450378276556e+00
3.400000000000000000e+01 6.967385747077864400e-01 3.032614252922135600e-01 1.000065529976549961e+00
3.450000000000000000e+01 6.994002909464746010e-01 3.005997090535252880e-01 1.000083528855770565e+00
3.500000000000000000e+01 7.010345900153115428e-01 2.989654099846885127e-01 1.000103041384412750e+00
3.550000000000000000e+01 7.027903363327671071e-01 2.972096636672330039e-01 1.000122369007200085e+00
3.600000000000000000e+01 7.058556829196843685e-01 2.941443170803155760e-01 1.000139568188227912e+00
3.650000000000000000e+01 7.101490814643824923e-01 2.898509185356174522e-01 1.000152078897382335e+00
3.700000000000000000e+01 7.153772542021201719e-01 2.846227457978797171e-01 1.000156215626519796e+00
3.750000000000000000e+01 7.210931495775597666e-01 2.789068504224401779e-01 1.000147354018721568e+00
3.800000000000000000e+01 7.267951704317101580e-01 2.732048295682899530e-01 1.000120979517748143e+00
3.850000000000000000e+01 7.320379701770046710e-01 2.679620298229953845e-01 1.000073946973807359e+00
3.900000000000000000e+01 7.365207121307245641e-01 2.634792878692754914e-01 1.000005202144141903e+00
3.950000000000000000e+01 7.401263113259217707e-01 2.598736886740783403e-01 9.999159352660147437e-01
4.000000000000000000e+01 7.429029368814948908e-01 2.570970631185049982e-01 9.998097145946465147e-01
4.050000000000000000e+01 7.458295940903576504e-01 2.541704059096424051e-01 9.996896349647904634e-01
4.100000000000000000e+01 7.496989486165296368e-01 2.503010513834703077e-01 9.995678150721087896e-01
4.150000000000000000e+01 7.542527969341796812e-01 2.457472030658203188e-01 9.994543976515293249e-01
4.200000000000000000e+01 7.591515929429959453e-01 2.408484070570040547e-01 9.993586495330419872e-01
4.250000000000000000e+01 7.640570151081178540e-01 2.359429848918821182e-01 9.992870932950845830e-01
4.300000000000000000e+01 7.686925586833138757e-01 2.313074413166861798e-01 9.992423624038984098e-01
4.350000000000000000e+01 7.728701408671471151e-01 2.271298591328529126e-01 9.992229158384781096e-01
4.400000000000000000e+01 7.764829159915992429e-01 2.235170840084007571e-01 9.992235631067428736e-01
4.450000000000000000e+01 7.794773848540574868e-01 2.205226151459425132e-01 9.992368189587256255e-01
4.500000000000000000e+01 7.818247040114411073e-01 2.181752959885588650e-01 9.992549532971514159e-01
4.550000000000000000e+01 7.842083441226798124e-01 2.157916558773201876e-01 9.992659405877432066e-01
4.600000000000000000e+01 7.872319390112204607e-01 2.127680609887795393e-01 9.992748241769252582e-01
4.650000000000000000e+01 7.907086923381535515e-01 2.092913076618464763e-01 9.992825733471690786e-01
4.700000000000000000e+01 7.944322527158176328e-01 2.055677472841823394e-01 9.992930861022889522e-01
4.750000000000000000e+01 7.982073847800096322e-01 2.017926152199903678e-01 9.993118859482776895e-01
4.800000000000000000e+01 8.018611511541472447e-01 1.981388488458527553e-01 9.993447312878291910e-01
4.850000000000000000e+01 8.052379931134518998e-01 1.947620068865481835e-01 9.993960778965159664e-01
