t_fs P_1 P_2 Z
4.900000000000000000e+01 5.596310507736813600e-01 4.403689492263185845e-01 1.000397953474673196e+00
4.950000000000000000e+01 5.615865672736307657e-01 4.384134327263693454e-01 1.000386755316313048e+00
5.000000000000000000e+01 5.622876016319016124e-01 4.377123983680983876e-01 1.000373524737394160e+00
5.050000000000000000e+01 5.629045839090325298e-01 4.370954160909675812e-01 1.000358668555146879e+00
5.100000000000000000e+01 5.647654071725356495e-01 4.352345928274643505e-01 1.000340191207993668e+00
5.150000000000000000e+01 5.679799228432491631e-01 4.320200771567507814e-01 1.000317221161080461e+00
5.200000000000000000e+01 5.721703626934422360e-01 4.278296373065578750e-01 1.000289053031417019e+00
5.250000000000000000e+01 5.766004696357674986e-01 4.233995303642326125e-01 1.000255113015259045e+00
5.300000000000000000e+01 5.804222689365909904e-01 4.195777310634089541e-01 1.000214873965799223e+00
5.350000000000000000e+01 5.829409059094730061e-01 4.170590940905270494e-01 1.000167842132290374e+00
5.400000000000000000e+01 5.838089739650497156e-01 4.161910260349503399e-01 1.000113696379167472e+00
5.450000000000000000e+01 5.830994286837110074e-01 4.169005713162889371e-01 1.000052554791068138e+00
5.500000000000000000e+01 5.812523462155634313e-01 4.187476537844365132e-01 9.999852465933003476e-01
5.550000000000000000e+01 5.789863335702063463e-01 4.210136664297935982e-01 9.999136075501708909e-01
5.600000000000000000e+01 5.770204262874868428e-01 4.229795737125131017e-01 9.998398223284166164e-01
5.650000000000000000e+01 5.758223358575264017e-01 4.241776641424735983e-01 9.997667537035086482e-01
5.700000000000000000e+01 5.755487300447481580e-01 4.244512699552517310e-01 9.996973760818528287e-01
5.750000000000000000e+01 5.760065443819973874e-01 4.239934556180025571e-01 9.996345104776299673e-01
5.800000000000000000e+01 5.767400112984941707e-01 4.232599887015058848e-01 9.995805778406432474e-01
5.850000000000000000e+01 5.772569629762331900e-01 4.227430370237668100e-01 9.995372998430507305e-01
5.900000000000000000e+01 5.773093103340164456e-01 4.226906896659836099e-01 9.995054461100580934e-01
5.950000000000000000e+01 5.770476025695625566e-01 4.229523974304374434e-01 9.994848131556571813e-01
6.000000000000000000e+01 5.769030082726797071e-01 4.230969917273202929e-01 9.994744470406538017e-01
6.050000000000000000e+01 5.773165417691168422e-01 4.226834582308831578e-01 9.994728063627820180e-01
6.100000000000000000e+01 5.782787852260626860e-01 4.217212147739373140e-01 9.994785261520964248e-01
6.150000000000000000e+01 5.791815374119565485e-01 4.208184625880433960e-01 9.994901893057674958e-01
6.200000000000000000e+01 5.792190993869397175e-01 4.207809006130603935e-01 9.995065996098682071e-01
6.250000000000000000e+01 5.778976891170811703e-01 4.221023108829188852e-01 9.995266704323174656e-01
6.300000000000000000e+01 5.754590756469075696e-01 4.245409243530924304e-01 9.995493121159730876e-01
6.350000000000000000e+01 5.729628238187205458e-01 4.270371761812794542e-01 9.995735488444017491e-01
6.400000000000000000e+01 5.718886432539697084e-01 4.281113567460302360e-01 9.995987183133250298e-01
6.450000000000000000e+01 5.733377108828218160e-01 4.266622891171781284e-01 9.996244409368051365e-01
6.500000000000000000e+01 5.772011139083949027e-01 4.227988860916050973e-01 9.996504008657969287e-01
6.550000000000000000e+01 5.819171735807870949e-01 4.180828264192127941e-01 9.996758576503610438e-01
6.600000000000000000e+01 5.849115466845771216e-01 4.150884533154228784e-01 9.997010269043499209e-01
6.650000000000000000e+01 5.837901976113599734e-01 4.162098023886401377e-01 9.997258587364563631e-01
6.700000000000000000e+01 5.778191533673793234e-01 4.221808466326206211e-01 9.997503594361850654e-01
6.750000000000000000e+01 5.685826845659328610e-01 4.314173154340671390e-01 9.997744377994195464e-01
6.800000000000000000e+01 5.594688647192395115e-01 4.405311352807604885e-01 9.997978060717276350e-01
6.850000000000000000e+01 5.542156448894834941e-01 4.457843551105166169e-01 9.998198938867544072e-01
6.900000000000000000e+01 5.552629201107133206e-01 4.447370798892866794e-01 9.998397483721094270e-01
6.950000000000000000e+01 5.627264778698073400e-01 4.372735221301926600e-01 9.998560154424027679e-01
7.000000000000000000e+01 5.744235918411875197e-01 4.255764081588124803e-01 9.998670920826137065e-01
7.050000000000000000e+01 5.872974251428914050e-01 4.127025748571087060e-01 9.998697639571341167e-01
7.100000000000000000e+01 5.981464168115919744e-01 4.018535831884080811e-01 9.998649506903856121e-01
7.150000000000000000e+01 6.040056727239805356e-01 3.959943272760193533e-01 9.998518779247458355e-01
7.200000000000000000e+01 6.031651673141290582e-01 3.968348326858709418e-01 9.998303723743825477e-01
7.250000000000000000e+01 5.952419841252886146e-01 4.047580158747114409e-01 9.998009789998840713e-01
7.300000000000000000e+01 5.809416355012231303e-01 4.190583644987767586e-01 9.997650214333799745e-01
7.350000000000000000e+01 5.616939098012357912e-01 4.383060901987642644e-01 9.997245692800527106e-01
7.400000000000000000e+01 5.392654140439095967e-01 4.607345859560904588e-01 9.996822640288558492e-01
7.450000000000000000e+01 5.153960121786111959e-01 4.846039878213888596e-01 9.996409781275454876e-01
7.500000000000000000e+01 4.915119187315592497e-01 5.084880812684406948e-01 9.996033465148705943e-01
7.550000000000000000e+01 4.694161361262512711e-01 5.305838638737487845e-01 9.995951668875995288e-01
7.600000000000000000e+01 4.503306930705559541e-01 5.496693069294440459e-01 9.995682495043634042e-01
7.650000000000000000e+01 4.341147522877922271e-01 5.658852477122077174e-01 9.995479183281771318e-01
7.700000000000000000e+01 4.202257352438951710e-01 5.797742647561048290e-01 9.995331762719655844e-01
7.750000000000000000e+01 4.079412444097405555e-01 5.920587555902593335e-01 9.995225872420465674e-01
7.800000000000000000e+01 3.965295983542542202e-01 6.034704016457457243e-01 9.995147295079012117e-01
7.850000000000000000e+01 3.853848429839282774e-01 6.146151570160718336e-01 9.995085408482167200e-01
7.900000000000000000e+01 3.741317365677846452e-01 6.258682634322153548e-01 9.995034641393856223e-01
7.950000000000000000e+01 3.626905415040533320e-01 6.373094584959466680e-01 9.994993827176830159e-01
