# w J_total  J_DrudeLorentz  J_BrownianOscillator
8.604302151075538063e+01 4.596096474939353271e+01 4.162735576345263411e+01 4.333608985940899494e+00
8.804402201100550940e+01 4.700709434208608428e+01 4.256562367259451207e+01 4.441470669491574874e+00
9.004502251125563816e+01 4.805171779299370627e+01 4.350187983488447685e+01 4.549837958109230307e+00
9.204602301150575272e+01 4.909480780934058686e+01 4.443608344177177827e+01 4.658724367568807700e+00
9.404702351175588149e+01 5.013633755952458415e+01 4.536819400032357663e+01 4.768143559201009296e+00
9.604802401200601025e+01 5.117628068274752451e+01 4.629817133856860067e+01 4.878109344178924722e+00
9.804902451225613902e+01 5.221461129862132822e+01 4.722597561073999373e+01 4.988635687881332714e+00
1.000500250125062678e+02 5.325130401675126279e+01 4.815156730241604777e+01 5.099736714335213250e+00
1.020510255127563823e+02 5.428633394629778053e+01 4.907490723555777379e+01 5.211426710740009405e+00
1.040520260130065111e+02 5.531967670551847505e+01 4.999595657344215738e+01 5.323720132076317668e+00
1.060530265132566399e+02 5.635130843129152822e+01 5.091467682548983475e+01 5.436631605801693468e+00
1.080540270135067544e+02 5.738120578862273646e+01 5.183102985198637214e+01 5.550175936636360774e+00
1.100550275137568832e+02 5.840934598013791401e+01 5.274497786869624605e+01 5.664368111441668852e+00
1.120560280140070120e+02 5.943570675556246385e+01 5.365648345136822428e+01 5.779223304194236910e+00
1.140570285142571407e+02 6.046026642119056760e+01 5.456550954013179933e+01 5.894756881058771825e+00
1.160580290145072695e+02 6.148300384934602647e+01 5.547201944378336691e+01 6.010984405562661337e+00
1.180590295147573840e+02 6.250389848783736824e+01 5.637597684396185826e+01 6.127921643875507307e+00
1.200600300150075128e+02 6.352293036940966431e+01 5.727734579921282432e+01 6.245584570196836438e+00
1.220610305152576416e+02 6.454008012119570026e+01 5.817609074894034649e+01 6.363989372255359989e+00
1.240620310155077561e+02 6.555532897416954086e+01 5.907217651724635488e+01 6.483152456923182427e+00
1.260630315157578849e+02 6.656865877260528919e+01 5.996556831665674281e+01 6.603090455948541937e+00
1.280640320160080137e+02 6.758005198354430831e+01 6.085623175173365951e+01 6.723820231810650583e+00
1.300650325162581282e+02 6.858949170627423086e+01 6.174413282257381752e+01 6.845358883700415120e+00
1.320660330165082712e+02 6.959696168182304632e+01 6.262923792819217539e+01 6.967723753630867378e+00
1.340670335167583858e+02 7.060244630247210296e+01 6.351151386979088187e+01 7.090932432681221087e+00
1.360680340170085287e+02 7.160593062129186137e+01 6.439092785391319751e+01 7.215002767378670079e+00
1.380690345172586433e+02 7.260740036170396650e+01 6.526744749548190327e+01 7.339952866222062333e+00
1.400700350175087578e+02 7.360684192707434192e+01 6.614104082072256574e+01 7.465801106351770855e+00
1.420710355177589008e+02 7.460424241034111503e+01 6.701167626997091986e+01 7.592566140370198724e+00
1.440720360180090154e+02 7.559958960368237513e+01 6.787932270036493776e+01 7.720266903317433815e+00
1.460730365182591299e+02 7.659287200822785735e+01 6.874394938842105773e+01 7.848922619806798728e+00
1.480740370185092729e+02 7.758407884382006614e+01 6.960552603249496428e+01 7.978552811325108962e+00
1.500750375187593875e+02 7.857320005882931468e+01 7.046402275512676283e+01 8.109177303702555406e+00
1.520760380190095020e+02 7.956022634002854943e+01 7.131941010527108915e+01 8.240816234757463832e+00
1.540770385192596450e+02 8.054514912253283399e+01 7.217165906041175560e+01 8.373490062121081934e+00
1.560780390195097596e+02 8.152796059980950361e+01 7.302074102856161630e+01 8.507219571247887302e+00
1.580790395197599025e+02 8.250865373376515777e+01 7.386662785014809174e+01 8.642025883617060700e+00
1.600800400200100171e+02 8.348722226491469200e+01 7.470929179978388390e+01 8.777930465130813431e+00
1.620810405202601316e+02 8.446366072264012814e+01 7.554870558792453039e+01 8.914955134715590646e+00
1.640820410205102746e+02 8.543796443554406039e+01 7.638484236241177427e+01 9.053122073132284342e+00
1.660830415207603892e+02 8.641012954190615858e+01 7.721767570990446927e+01 9.192453832001689307e+00
1.680840420210105322e+02 8.738015300024879650e+01 7.804717965719687811e+01 9.332973343051923720e+00
1.700850425212606467e+02 8.834803260001926617e+01 7.887332867242500356e+01 9.474703927594264385e+00
1.720860430215107613e+02 8.931376697239639384e+01 7.969609766616179058e+01 9.617669306234610360e+00
1.740870435217609042e+02 9.027735560122903280e+01 8.051546199240148383e+01 9.761893608827550750e+00
1.760880440220110188e+02 9.123879883411467517e+01 8.133139744943424887e+01 9.907401384680422751e+00
1.780890445222611334e+02 9.219809789362659558e+01 8.214388028061148361e+01 1.005421761301511729e+01
1.800900450225112763e+02 9.315525488869792525e+01 8.295288717500261555e+01 1.020236771369531148e+01
1.820910455227613909e+02 9.411027282617163792e+01 8.375839526794430867e+01 1.035187755822732392e+01
1.840920460230115054e+02 9.506315562252589757e+01 8.456038214148293264e+01 1.050277348104297026e+01
1.860930465232616484e+02 9.601390811578389162e+01 8.535882582471091951e+01 1.065508229107297566e+01
1.880940470235117630e+02 9.696253607761826743e+01 8.615370479399832959e+01 1.080883128361993251e+01
1.900950475237619059e+02 9.790904622566020521e+01 8.694499797312023759e+01 1.096404825253996407e+01
1.920960480240120205e+02 9.885344623602351533e+01 8.773268473328094785e+01 1.112076150274256392e+01
1.940970485242621351e+02 9.979574475605490136e+01 8.851674489303644577e+01 1.127899986301845914e+01
1.960980490245122780e+02 1.007359514173211039e+02 8.929715871811551153e+01 1.143879269920558528e+01
1.980990495247623926e+02 1.016740768488445923e+02 9.007390692114094577e+01 1.160016992770364652e+01
2.001000500250125356e+02 1.026101326906004232e+02 9.084697066125241349e+01 1.176316202934800970e+01
2.021010505252626501e+02 1.035441316072848821e+02 9.161633154363073572e+01 1.192780006365414280e+01
2.041020510255127647e+02 1.044760873023706296e+02 9.238197161892659892e+01 1.209411568344403420e+01
2.061030515257629077e+02 1.054060145324598778e+02 9.314387338259331273e+01 1.226214114986656689e+01
2.081040520260130222e+02 1.063339291219496374e+02 9.390201977412557710e+01 1.243190934782406387e+01
2.101050525262631368e+02 1.072598479780232736e+02 9.465639417620558049e+01 1.260345380181769492e+01
2.121060530265132797e+02 1.081837891059821288e+02 9.540698041375718219e+01 1.277680869222494309e+01
2.141070535267633943e+02 1.091057716249326290e+02 9.615376275291006891e+01 1.295200887202256368e+01
2.161080540270135089e+02 1.100258157838438109e+02 9.689672589987470985e+01 1.312908988396910281e+01
2.181090545272636518e+02 1.109439429779911848e+02 9.763585499972971604e+01 1.330808797826147405e+01
2.201100550275137664e+02 1.118601757658032199e+02 9.837113563512279768e+01 1.348904013068042218e+01
2.221110555277639094e+02 1.127745378861274048e+02 9.910255382488692533e+01 1.367198406124047594e+01
2.241120560280140239e+02 1.136870542759328941e+02 9.983009602257261861e+01 1.385695825336027376e+01
2.261130565282641385e+02 1.145977510884683710e+02 1.005537491148985936e+02 1.404400197356978275e+01
2.281140570285142815e+02 1.155066557118924919e+02 1.012735004201209534e+02 1.423315529177153493e+01
2.301150575287643960e+02 1.164137967883971356e+02 1.019893376863236938e+02 1.442445910207344717e+01
2.321160580290145390e+02 1.173192042338426688e+02 1.027012490896311334e+02 1.461795514421152831e+01
2.341170585292646535e+02 1.182229092579249254e+02 1.034092232323436207e+02 1.481368602558130299e+01
2.361180590295147681e+02 1.191249443848965086e+02 1.041132491409989882e+02 1.501169524389751331e+01
2.381190595297649111e+02 1.200253434748620833e+02 1.048133162643598979e+02 1.521202721050218898e+01
2.401200600300150256e+02 1.209241417456715340e+02 1.055094144713295776e+02 1.541472727434196166e+01
2.421210605302651402e+02 1.218213757954333545e+02 1.062015340487970718e+02 1.561984174663628089e+01
2.441220610305152832e+02 1.227170836256722311e+02 1.068896656994135697e+02 1.582741792625866317e+01
2.461230615307653977e+02 1.236113046651553304e+02 1.075738005393011036e+02 1.603750412585423035e+01
2.481240620310155123e+02 1.245040797944130020e+02 1.082539300956957504e+02 1.625014969871725157e+01
2.501250625312656553e+02 1.253954513709794583e+02 1.089300463045260159e+02 1.646540506645343882e+01
2.521260630315157698e+02 1.262854632553811740e+02 1.096021415079286925e+02 1.668332174745248153e+01
2.541270635317659128e+02 1.271741608379006436e+02 1.102702084517033967e+02 1.690395238619725404e+01
2.561280640320160273e+02 1.280615910661440751e+02 1.109342402827070799e+02 1.712735078343698447e+01
2.581290645322661703e+02 1.289478024734435166e+02 1.115942305461909427e+02 1.735357192725257747e+01
2.601300650325162565e+02 1.298328452081231603e+02 1.122501731830797240e+02 1.758267202504342563e+01
2.621310655327663994e+02 1.307167710636626907e+02 1.129020625271968612e+02 1.781470853646581887e+01
2.641320660330165424e+02 1.315996335097897258e+02 1.135498933024354358e+02 1.804974020735427587e+01
2.661330665332666285e+02 1.324814877245353273e+02 1.141936606198772495e+02 1.828782710465807426e+01
2.681340670335167715e+02 1.333623906272880788e+02 1.148333599748615086e+02 1.852903065242656311e+01
2.701350675337669145e+02 1.342424009128820330e+02 1.154689872440043814e+02 1.877341366887765517e+01
2.721360680340170575e+02 1.351215790867567250e+02 1.161005386821712193e+02 1.902104040458551637e+01
2.741370685342671436e+02 1.359999875012271104e+02 1.167280109194028341e+02 1.927197658182427631e+01
2.761380690345172866e+02 1.368776903929037019e+02 1.173514009577974804e+02 1.952628943510621795e+01
2.781390695347674296e+02 1.377547539213038306e+02 1.179707061683498637e+02 1.978404775295397400e+01
2.801400700350175157e+02 1.386312462086964388e+02 1.185859242877487674e+02 2.004532192094765719e+01
2.821410705352676587e+02 1.395072373812245985e+02 1.191970534151351444e+02 2.031018396608946119e+01
2.841420710355178016e+02 1.403827996113508902e+02 1.198040920088215273e+02 2.057870760252934872e+01
2.861430715357678878e+02 1.412580071616719124e+02 1.204070388829745610e+02 2.085096827869734071e+01
2.881440720360180308e+02 1.421329364301517444e+02 1.210058932042626054e+02 2.112704322588913541e+01
2.901450725362681737e+02 1.430076659968224817e+02 1.216006544884688907e+02 2.140701150835359101e+01
2.921460730365182599e+02 1.438822766720045934e+02 1.221913225970724568e+02 2.169095407493212591e+01
2.941470735367684028e+02 1.447568515461002505e+02 1.227778977337983122e+02 2.197895381230192768e+01
2.961480740370185458e+02 1.456314760410141105e+02 1.233603804411376785e+02 2.227109559987643905e+01
2.981490745372686320e+02 1.465062379632586271e+02 1.239387715968401835e+02 2.256746636641845072e+01
3.001500750375187749e+02 1.473812275588028342e+02 1.245130724103796496e+02 2.286815514842318464e+01
3.021510755377689179e+02 1.482565375697243724e+02 1.250832844193941895e+02 2.317325315033018995e+01
3.041520760380190040e+02 1.491322632927279415e+02 1.256494094861024848e+02 2.348285380662546729e+01
