# w  J_DrudeLorentz  J_BrownianOscillator  J_total
1.040520260130065111e+02 5.629511987521995309e+01 4.999595657344215738e+01 6.299163301777795709e+00
1.060530265132566399e+02 5.734952501419806481e+01 5.091467682548983475e+01 6.434848188708230943e+00
1.080540270135067544e+02 5.840244382751036056e+01 5.183102985198637214e+01 6.571413975523990203e+00
1.100550275137568832e+02 5.945386005509044480e+01 5.274497786869624605e+01 6.708882186394202307e+00
1.120560280140070120e+02 6.050375810189631665e+01 5.365648345136822428e+01 6.847274650528093254e+00
1.140570285142571407e+02 6.155212305094602243e+01 5.456550954013179933e+01 6.986613510814223993e+00
1.160580290145072695e+02 6.259894067643552518e+01 5.547201944378336691e+01 7.126921232652155602e+00
1.180590295147573840e+02 6.364419745694470265e+01 5.637597684396185826e+01 7.268220612982847051e+00
1.200600300150075128e+02 6.468788058873704472e+01 5.727734579921282432e+01 7.410534789524215959e+00
1.220610305152576416e+02 6.572997799915891903e+01 5.817609074894034649e+01 7.553887250218575211e+00
1.240620310155077561e+02 6.677047836014513393e+01 5.907217651724635488e+01 7.698301842898780833e+00
1.260630315157578849e+02 6.780937110183690208e+01 5.996556831665674281e+01 7.843802785180159276e+00
1.280640320160080137e+02 6.884664642631915399e+01 6.085623175173365951e+01 7.990414674585492705e+00
1.300650325162581282e+02 6.988229532148440626e+01 6.174413282257381752e+01 8.138162498910595843e+00
1.320660330165082712e+02 7.091630957503036825e+01 6.262923792819217539e+01 8.287071646838185757e+00
1.340670335167583858e+02 7.194868178859888985e+01 6.351151386979088187e+01 8.437167918808007983e+00
1.360680340170085287e+02 7.297940539206469168e+01 6.439092785391319751e+01 8.588477538151499502e+00
1.380690345172586433e+02 7.400847465798128155e+01 6.526744749548190327e+01 8.741027162499380054e+00
1.400700350175087578e+02 7.503588471619355005e+01 6.614104082072256574e+01 8.894843895470978978e+00
1.420710355177589008e+02 7.606163156862520225e+01 6.701167626997091986e+01 9.049955298654284164e+00
1.440720360180090154e+02 7.708571210425090214e+01 6.787932270036493776e+01 9.206389403885966161e+00
1.460730365182591299e+02 7.810812411426215363e+01 6.874394938842105773e+01 9.364174725841095892e+00
1.480740370185092729e+02 7.912886630743727778e+01 6.960552603249496428e+01 9.523340274942306394e+00
1.500750375187593875e+02 8.014793832572546251e+01 7.046402275512676283e+01 9.683915570598696121e+00
1.520760380190095020e+02 8.116534076005612519e+01 7.131941010527108915e+01 9.845930654785032488e+00
1.540770385192596450e+02 8.218107516638382037e+01 7.217165906041175560e+01 1.000941610597207010e+01
1.560780390195097596e+02 8.319514408198087096e+01 7.302074102856161630e+01 1.017440305341925999e+01
1.580790395197599025e+02 8.420755104198954655e+01 7.386662785014809174e+01 1.034092319184145836e+01
1.600800400200100171e+02 8.521830059624547005e+01 7.470929179978388390e+01 1.050900879646158614e+01
1.620810405202601316e+02 8.622739832638612256e+01 7.554870558792453039e+01 1.067869273846159039e+01
1.640820410205102746e+02 8.723485086325635507e+01 7.638484236241177427e+01 1.085000850084458257e+01
1.660830415207603892e+02 8.824066590462558679e+01 7.721767570990446927e+01 1.102299019472112285e+01
1.680840420210105322e+02 8.924485223323048899e+01 7.804717965719687811e+01 1.119767257603361088e+01
1.700850425212606467e+02 9.024741973515752136e+01 7.887332867242500356e+01 1.137409106273251425e+01
1.720860430215107613e+02 9.124837941858100976e+01 7.969609766616179058e+01 1.155228175241921740e+01
1.740870435217609042e+02 9.224774343287194256e+01 8.051546199240148383e+01 1.173228144047045163e+01
1.760880440220110188e+02 9.324552508809401274e+01 8.133139744943424887e+01 1.191412763865976565e+01
1.780890445222611334e+02 9.424173887490368884e+01 8.214388028061148361e+01 1.209785859429221055e+01
1.800900450225112763e+02 9.523640048487135346e+01 8.295288717500261555e+01 1.228351330986874501e+01
1.820910455227613909e+02 9.622952683124178463e+01 8.375839526794430867e+01 1.247113156329747952e+01
1.840920460230115054e+02 9.722113607015252512e+01 8.456038214148293264e+01 1.266075392866959071e+01
1.860930465232616484e+02 9.821124762232904004e+01 8.535882582471091951e+01 1.285242179761811698e+01
1.880940470235117630e+02 9.919988219527691342e+01 8.615370479399832959e+01 1.304617740127858028e+01
1.900950475237619059e+02 1.001870618059913625e+02 8.694499797312023759e+01 1.324206383287112665e+01
1.920960480240120205e+02 1.011728098042052153e+02 8.773268473328094785e+01 1.344012507092426567e+01
1.940970485242621351e+02 1.021571508961976775e+02 8.851674489303644577e+01 1.364040600316122998e+01
1.960980490245122780e+02 1.031401111691861416e+02 8.929715871811551153e+01 1.384295245107062478e+01
1.980990495247623926e+02 1.041217181163245868e+02 9.007390692114094577e+01 1.404781119518364108e+01
2.001000500250125356e+02 1.051020006623334808e+02 9.084697066125241349e+01 1.425503000108106555e+01
2.021010505252626501e+02 1.060809891897847308e+02 9.161633154363073572e+01 1.446465764615398975e+01
2.041020510255127647e+02 1.070587155660695231e+02 9.238197161892659892e+01 1.467674394714291886e+01
2.061030515257629077e+02 1.080352131710743180e+02 9.314387338259331273e+01 1.489133978848099993e+01
2.081040520260130222e+02 1.090105169255932651e+02 9.390201977412557710e+01 1.510849715146768624e+01
