# w  J_DrudeLorentz  J_BrownianOscillator  J_total
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.001000500250125214e+00 9.920822443423144010e-01 9.826966853973381211e-01 9.385558944976279960e-03
4.002001000500250427e+00 1.984116515143198978e+00 1.965345192118676199e+00 1.877132302452276871e-02
6.003001500750375641e+00 2.976054846745614046e+00 2.947897349361212616e+00 2.815749738440146213e-02
8.004002001000500854e+00 3.967849289258602585e+00 3.930305002065843656e+00 3.754428719275904047e-02
1.000500250125062607e+01 4.959451916433578411e+00 4.912520018782256415e+00 4.693189765132213531e-02
1.200600300150075128e+01 5.950814833532521497e+00 5.894494299525925740e+00 5.632053400659579184e-02
1.400700350175087650e+01 6.941890185185389583e+00 6.876179783624322361e+00 6.571040156106687513e-02
1.600800400200100171e+01 7.932630163234051679e+00 7.857528457549639356e+00 7.510170568441260075e-02
1.800900450225112692e+01 8.922987014560082031e+00 8.838492362735365759e+00 8.449465182471656288e-02
2.001000500250125214e+01 9.912913048893729595e+00 9.819023603374036568e+00 9.388944551969222174e-02
2.201100550275137735e+01 1.090236064660142468e+01 1.079907435419350925e+01 1.032862924079156891e-01
2.401200600300150256e+01 1.189128226644916531e+01 1.177859686820909602e+01 1.126853982400689014e-01
2.601300650325162778e+01 1.287963045333915701e+01 1.275754348444896280e+01 1.220869688901940059e-01
2.801400700350175299e+01 1.386735784601709831e+01 1.373586663565013843e+01 1.314912103669602095e-01
3.001500750375187820e+01 1.485441718474751660e+01 1.471351885592257247e+01 1.408983288249449628e-01
3.201600800400200342e+01 1.584076131895454864e+01 1.569045278837861979e+01 1.503085305759291335e-01
3.401700850425213218e+01 1.682634321482566264e+01 1.666662119272545439e+01 1.597220221002089435e-01
3.601800900450225384e+01 1.781111596287570364e+01 1.764197695281777811e+01 1.691390100579243938e-01
3.801900950475237551e+01 1.879503278546886236e+01 1.861647308416845448e+01 1.785597013004067979e-01
4.002001000500250427e+01 1.977804704429598459e+01 1.959006274141443882e+01 1.879843028815450512e-01
4.202101050525263304e+01 2.076011224780473796e+01 2.056269922573556386e+01 1.974130220691732440e-01
4.402201100550275470e+01 2.174118205858033903e+01 2.153433599222385908e+01 2.068460663564795909e-01
4.602301150575287636e+01 2.272121030067429004e+01 2.250492665720085128e+01 2.162836434734384250e-01
4.802401200600300513e+01 2.370015096687882661e+01 2.347442500548055833e+01 2.257259613982671165e-01
5.002501250625313389e+01 2.467795822594467836e+01 2.444278499757577094e+01 2.351732283689070835e-01
5.202601300650325555e+01 2.565458642973987935e+01 2.540996077684534882e+01 2.446256528945321973e-01
5.402701350675337721e+01 2.662999012034736523e+01 2.637590667658027854e+01 2.540834437670851931e-01
5.602801400700350598e+01 2.760412403709896978e+01 2.734057722702612736e+01 2.635468100728422525e-01
5.802901450725363475e+01 2.857694312354384536e+01 2.830392716233983919e+01 2.730159612040078954e-01
6.003001500750375641e+01 2.954840253434889163e+01 2.926591142747854946e+01 2.824911068703420125e-01
6.203101550775387807e+01 3.051845764212927747e+01 3.022648518501846127e+01 2.919724571108175959e-01
6.403201600800400684e+01 3.148706404420679661e+01 3.118560382190148061e+01 3.014602223053156060e-01
6.603301650825413560e+01 3.245417756929407460e+01 3.214322295610772784e+01 3.109546131863500373e-01
6.803401700850426437e+01 3.341975428410263760e+01 3.309929844325180426e+01 3.204558408508340617e-01
7.003501750875437892e+01 3.438375049987285337e+01 3.405378638310097017e+01 3.299641167718798673e-01
7.203601800900450769e+01 3.534612277882376219e+01 3.500664312601312389e+01 3.394796528106399092e-01
7.403701850925463646e+01 3.630682794052105322e+01 3.595782527929286942e+01 3.490026612281860730e-01
7.603801900950475101e+01 3.726582306816115420e+01 3.690728971346372589e+01 3.585333546974309726e-01
7.803901950975487978e+01 3.822306551476994230e+01 3.785499356845485153e+01 3.680719463150916027e-01
8.004002001000500854e+01 3.917851290931387354e+01 3.880089425970017913e+01 3.776186496136967330e-01
8.204102051025513731e+01 4.013212316272242930e+01 3.974494948414879048e+01 3.871736785736392128e-01
8.404202101050526608e+01 4.108385447381966316e+01 4.068711722618439097e+01 3.967372476352741262e-01
8.604302151075538063e+01 4.203366533516369685e+01 4.162735576345263411e+01 4.063095717110650762e-01
8.804402201100550940e+01 4.298151453879228967e+01 4.256562367259451207e+01 4.158908661977791521e-01
9.004502251125563816e+01 4.392736118187320926e+01 4.350187983488447685e+01 4.254813469887324673e-01
9.204602301150575272e+01 4.487116467225786209e+01 4.443608344177177827e+01 4.350812304860846580e-01
9.404702351175588149e+01 4.581288473393676952e+01 4.536819400032357663e+01 4.446907336131906141e-01
9.604802401200601025e+01 4.675248141239560340e+01 4.629817133856860067e+01 4.543100738270030026e-01
9.804902451225613902e+01 4.768991507987052358e+01 4.722597561073999373e+01 4.639394691305296359e-01
1.000500250125062678e+02 4.862514644050139623e+01 4.815156730241604777e+01 4.735791380853512367e-01
1.020510255127563823e+02 4.955813653538196917e+01 4.907490723555777379e+01 4.832292998241932702e-01
1.040520260130065111e+02 5.048884674750571833e+01 4.999595657344215738e+01 4.928901740635612816e-01
1.060530265132566399e+02 5.141723880660626378e+01 5.091467682548983475e+01 5.025619811164325768e-01
1.080540270135067544e+02 5.234327479389138915e+01 5.183102985198637214e+01 5.122449419050143504e-01
1.100550275137568832e+02 5.326691714666981170e+01 5.274497786869624605e+01 5.219392779735633203e-01
1.120560280140070120e+02 5.418812866286949514e+01 5.365648345136822428e+01 5.316452115012708646e-01
1.140570285142571407e+02 5.510687250544701499e+01 5.456550954013179933e+01 5.413629653152143284e-01
1.160580290145072695e+02 5.602311220668674707e+01 5.547201944378336691e+01 5.510927629033766095e-01
1.180590295147573840e+02 5.693681167238959517e+01 5.637597684396185826e+01 5.608348284277362428e-01
1.200600300150075128e+02 5.784793518595024864e+01 5.727734579921282432e+01 5.705893867374258743e-01
1.220610305152576416e+02 5.875644741232230928e+01 5.817609074894034649e+01 5.803566633819646770e-01
1.240620310155077561e+02 5.966231340187091803e+01 5.907217651724635488e+01 5.901368846245644839e-01
1.260630315157578849e+02 6.056549859411225611e+01 5.996556831665674281e+01 5.999302774555108630e-01
1.280640320160080137e+02 6.146596882133928119e+01 6.085623175173365951e+01 6.097370696056206851e-01
1.300650325162581282e+02 6.236369031213359904e+01 6.174413282257381752e+01 6.195574895597786291e-01
1.320660330165082712e+02 6.325862969476273179e+01 6.262923792819217539e+01 6.293917665705532904e-01
