# w  J_DrudeLorentz  J_BrownianOscillator  J_total
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.001000500250125214e+00 9.851328914918953128e-01 9.826966853973381211e-01 2.436206094557208206e-03
4.002001000500250427e+00 1.970217673563761318e+00 1.965345192118676199e+00 4.872481445085038824e-03
6.003001500750375641e+00 2.955206244673688420e+00 2.947897349361212616e+00 7.308895312475775438e-03
8.004002001000500854e+00 3.940050519033309495e+00 3.930305002065843656e+00 9.745516967465686631e-03
1.000500250125062607e+01 4.924702434477815416e+00 4.912520018782256415e+00 1.218241569555864219e-02
1.200600300150075128e+01 5.909113960327877280e+00 5.894494299525925740e+00 1.461966080195170256e-02
1.400700350175087650e+01 6.893237105240785922e+00 6.876179783624322361e+00 1.705732161646330083e-02
1.600800400200100171e+01 7.877023925048104225e+00 7.857528457549639356e+00 1.949546749846471985e-02
1.800900450225112692e+01 8.860426530577180770e+00 8.838492362735365759e+00 2.193416784181546550e-02
2.001000500250125214e+01 9.843397095453839896e+00 9.819023603374036568e+00 2.437349207980323701e-02
2.201100550275137735e+01 1.082588786388359914e+01 1.079907435419350925e+01 2.681350969008910318e-02
2.401200600300150256e+01 1.180785115840875399e+01 1.177859686820909602e+01 2.925429019965862520e-02
2.601300650325162778e+01 1.278923938763874268e+01 1.275754348444896280e+01 3.169590318977945353e-02
2.801400700350175299e+01 1.377000505395110430e+01 1.373586663565013843e+01 3.413841830096621399e-02
3.001500750375187820e+01 1.475010076116052637e+01 1.471351885592257247e+01 3.658190523795319671e-02
3.201600800400200342e+01 1.572947922215329619e+01 1.569045278837861979e+01 3.902643377467569091e-02
3.401700850425213218e+01 1.670809326648471327e+01 1.666662119272545439e+01 4.147207375926036110e-02
3.601800900450225384e+01 1.768589584793680203e+01 1.764197695281777811e+01 4.391889511902561521e-02
3.801900950475237551e+01 1.866284005203394614e+01 1.861647308416845448e+01 4.636696786549252686e-02
4.002001000500250427e+01 1.963887910351384747e+01 1.959006274141443882e+01 4.881636209940688753e-02
4.202101050525263304e+01 2.061396637375133878e+01 2.056269922573556386e+01 5.126714801577318681e-02
4.402201100550275470e+01 2.158805538813275859e+01 2.153433599222385908e+01 5.371939590890111721e-02
4.602301150575287636e+01 2.256109983337831792e+01 2.250492665720085128e+01 5.617317617746540870e-02
4.802401200600300513e+01 2.353305356481013888e+01 2.347442500548055833e+01 5.862855932957956873e-02
5.002501250625313389e+01 2.450387061356365592e+01 2.444278499757577094e+01 6.108561598788409680e-02
5.202601300650325555e+01 2.547350519373999944e+01 2.540996077684534882e+01 6.354441689465013809e-02
5.402701350675337721e+01 2.644191170949717673e+01 2.637590667658027854e+01 6.600503291689920060e-02
5.602801400700350598e+01 2.740904476207766649e+01 2.734057722702612736e+01 6.846753505153932440e-02
5.802901450725363475e+01 2.837485915677035919e+01 2.830392716233983919e+01 7.093199443051877162e-02
6.003001500750375641e+01 2.933930990980454823e+01 2.926591142747854946e+01 7.339848232599785471e-02
6.203101550775387807e+01 3.030235225517400011e+01 3.022648518501846127e+01 7.586707015553950662e-02
6.403201600800400684e+01 3.126394165138880155e+01 3.118560382190148061e+01 7.833782948731927986e-02
6.603301650825413560e+01 3.222403378815308628e+01 3.214322295610772784e+01 8.081083204535564890e-02
6.803401700850426437e+01 3.318258459296656326e+01 3.309929844325180426e+01 8.328614971476130946e-02
7.003501750875437892e+01 3.413955023764798824e+01 3.405378638310097017e+01 8.576385454701600242e-02
7.203601800900450769e+01 3.509488714477838300e+01 3.500664312601312389e+01 8.824401876526183353e-02
7.403701850925463646e+01 3.604855199406249255e+01 3.595782527929286942e+01 9.072671476962157477e-02
7.603801900950475101e+01 3.700050172860626674e+01 3.690728971346372589e+01 9.321201514254105758e-02
7.803901950975487978e+01 3.795069356110900571e+01 3.785499356845485153e+01 9.569999265415600476e-02
8.004002001000500854e+01 3.889908497996785997e+01 3.880089425970017913e+01 9.819072026768425887e-02
8.204102051025513731e+01 3.984563375529363327e+01 3.974494948414879048e+01 1.006842711448440592e-01
8.404202101050526608e+01 4.079029794483569304e+01 4.068711722618439097e+01 1.031807186512993801e-01
8.604302151075538063e+01 4.173303589981476591e+01 4.162735576345263411e+01 1.056801363621325401e-01
8.804402201100550940e+01 4.267380627066185639e+01 4.256562367259451207e+01 1.081825980673456894e-01
9.004502251125563816e+01 4.361256801266186756e+01 4.350187983488447685e+01 1.106881777773911779e-01
9.204602301150575272e+01 4.454928039150050978e+01 4.443608344177177827e+01 1.131969497287318022e-01
9.404702351175588149e+01 4.548390298871301241e+01 4.536819400032357663e+01 1.157089883894322352e-01
9.604802401200601025e+01 4.641639570703338080e+01 4.629817133856860067e+01 1.182243684647814319e-01
9.804902451225613902e+01 4.734671877564294107e+01 4.722597561073999373e+01 1.207431649029479803e-01
1.000500250125062678e+02 4.827483275531671580e+01 4.815156730241604777e+01 1.232654529006681765e-01
1.020510255127563823e+02 4.920069854346674276e+01 4.907490723555777379e+01 1.257913079089684194e-01
1.040520260130065111e+02 5.012427737908107872e+01 4.999595657344215738e+01 1.283208056389221752e-01
1.060530265132566399e+02 5.104553084755728065e+01 5.091467682548983475e+01 1.308540220674427879e-01
1.080540270135067544e+02 5.196442088542948312e+01 5.183102985198637214e+01 1.333910334431125944e-01
1.100550275137568832e+02 5.288090978498829742e+01 5.274497786869624605e+01 1.359319162920497592e-01
1.120560280140070120e+02 5.379496019879204027e+01 5.365648345136822428e+01 1.384767474238125518e-01
1.140570285142571407e+02 5.470653514406914297e+01 5.456550954013179933e+01 1.410256039373438686e-01
1.160580290145072695e+02 5.561559800701031975e+01 5.547201944378336691e+01 1.435785632269546142e-01
1.180590295147573840e+02 5.652211254695020415e+01 5.637597684396185826e+01 1.461357029883482150e-01
1.200600300150075128e+02 5.742604290043751547e+01 5.727734579921282432e+01 1.486971012246876556e-01
1.220610305152576416e+02 5.832735358519305180e+01 5.817609074894034649e+01 1.512628362527038139e-01
1.240620310155077561e+02 5.922600950395520414e+01 5.907217651724635488e+01 1.538329867088482905e-01
1.260630315157578849e+02 6.012197594821223134e+01 5.996556831665674281e+01 1.564076315554905339e-01
1.280640320160080137e+02 6.101521860182081980e+01 6.085623175173365951e+01 1.589868500871601253e-01
1.300650325162581282e+02 6.190570354451065072e+01 6.174413282257381752e+01 1.615707219368357761e-01
1.320660330165082712e+02 6.279339725527445637e+01 6.262923792819217539e+01 1.641593270822810369e-01
1.340670335167583858e+02 6.367826661564330948e+01 6.351151386979088187e+01 1.667527458524291628e-01
1.360680340170085287e+02 6.456027891284701070e+01 6.439092785391319751e+01 1.693510589338162453e-01
1.380690345172586433e+02 6.543940184285897033e+01 6.526744749548190327e+01 1.719543473770652753e-01
1.400700350175087578e+02 6.631560351332598202e+01 6.614104082072256574e+01 1.745626926034212212e-01
1.420710355177589008e+02 6.718885244638225629e+01 6.701167626997091986e+01 1.771761764113382043e-01
1.440720360180090154e+02 6.805911758134806178e+01 6.787932270036493776e+01 1.797948809831201311e-01
1.460730365182591299e+02 6.892636827731267601e+01 6.874394938842105773e+01 1.824188888916155604e-01
1.480740370185092729e+02 6.979057431560192981e+01 6.960552603249496428e+01 1.850482831069676648e-01
1.500750375187593875e+02 7.065170590213018897e+01 7.046402275512676283e+01 1.876831470034212024e-01
1.520760380190095020e+02 7.150973366963727074e+01 7.131941010527108915e+01 1.903235643661861654e-01
1.540770385192596450e+02 7.236462867981011016e+01 7.217165906041175560e+01 1.929696193983606312e-01
1.560780390195097596e+02 7.321636242528953176e+01 7.302074102856161630e+01 1.956213967279130661e-01
1.580790395197599025e+02 7.406490683156282273e+01 7.386662785014809174e+01 1.982789814147252194e-01
1.600800400200100171e+02 7.491023425874158193e+01 7.470929179978388390e+01 2.009424589576971898e-01
1.620810405202601316e+02 7.575231750322645041e+01 7.554870558792453039e+01 2.036119153019152195e-01
1.640820410205102746e+02 7.659112979925765785e+01 7.638484236241177427e+01 2.062874368458841035e-01
1.660830415207603892e+02 7.742664482035328888e+01 7.721767570990446927e+01 2.089691104488247686e-01
1.680840420210105322e+02 7.825883668063491427e+01 7.804717965719687811e+01 2.116570234380380500e-01
1.700850425212606467e+02 7.908767993604134006e+01 7.887332867242500356e+01 2.143512636163366902e-01
1.720860430215107613e+02 7.991314958543134139e+01 7.969609766616179058e+01 2.170519192695465893e-01
1.740870435217609042e+02 8.073522107157556604e+01 8.051546199240148383e+01 2.197590791740773319e-01
1.760880440220110188e+02 8.155387028203881528e+01 8.133139744943424887e+01 2.224728326045648796e-01
1.780890445222611334e+02 8.236907354995307173e+01 8.214388028061148361e+01 2.251932693415871767e-01
1.800900450225112763e+02 8.318080765468207005e+01 8.295288717500261555e+01 2.279204796794527810e-01
1.820910455227613909e+02 8.398904982237837658e+01 8.375839526794430867e+01 2.306545544340660447e-01
1.840920460230115054e+02 8.479377772643380240e+01 8.456038214148293264e+01 2.333955849508682345e-01
1.860930465232616484e+02 8.559496948782377501e+01 8.535882582471091951e+01 2.361436631128566166e-01
1.880940470235117630e+02 8.639260367534701857e+01 8.615370479399832959e+01 2.388988813486833118e-01
1.900950475237619059e+02 8.718665930576106859e+01 8.694499797312023759e+01 2.416613326408345863e-01
1.920960480240120205e+02 8.797711584381484329e+01 8.773268473328094785e+01 2.444311105338920764e-01
1.940970485242621351e+02 8.876395320217932294e+01 8.851674489303644577e+01 2.472083091428780577e-01
1.960980490245122780e+02 8.954715174127719024e+01 8.929715871811551153e+01 2.499930231616855625e-01
1.980990495247623926e+02 9.032669226901253978e+01 9.007390692114094577e+01 2.527853478715944568e-01
2.001000500250125356e+02 9.110255604040229116e+01 9.084697066125241349e+01 2.555853791498762240e-01
2.021010505252626501e+02 9.187472475710922026e+01 9.161633154363073572e+01 2.583932134784872603e-01
2.041020510255127647e+02 9.264318056687945102e+01 9.238197161892659892e+01 2.612089479528543201e-01
2.061030515257629077e+02 9.340790606288406650e+01 9.314387338259331273e+01 2.640326802907511650e-01
2.081040520260130222e+02 9.416888428296684310e+01 9.390201977412557710e+01 2.668645088412702204e-01
2.101050525262631368e+02 9.492609870879947209e+01 9.465639417620558049e+01 2.697045325938897120e-01
2.121060530265132797e+02 9.567953326494482269e+01 9.540698041375718219e+01 2.725528511876376125e-01
2.141070535267633943e+02 9.642917231783042098e+01 9.615376275291006891e+01 2.754095649203548990e-01
2.161080540270135089e+02 9.717500067463276991e+01 9.689672589987470985e+01 2.782747747580597286e-01
2.181090545272636518e+02 9.791700358207413046e+01 9.763585499972971604e+01 2.811485823444133114e-01
2.201100550275137664e+02 9.865516672513308549e+01 9.837113563512279768e+01 2.840310900102898106e-01
2.221110555277639094e+02 9.938947622567037854e+01 9.910255382488692533e+01 2.869224007834525469e-01
2.241120560280140239e+02 1.001199186409709512e+02 9.983009602257261861e+01 2.898226183983369508e-01
2.261130565282641385e+02 1.008464809622045379e+02 1.005537491148985936e+02 2.927318473059437598e-01
2.281140570285142815e+02 1.015691506128047905e+02 1.012735004201209534e+02 2.956501926838427385e-01
2.301150575287643960e+02 1.022879154467699863e+02 1.019893376863236938e+02 2.985777604462887536e-01
2.321160580290145390e+02 1.030027637468855914e+02 1.027012490896311334e+02 3.015146572544548098e-01
2.341170585292646535e+02 1.037136842228703983e+02 1.034092232323436207e+02 3.044609905267792183e-01
2.361180590295147681e+02 1.044206660094484249e+02 1.041132491409989882e+02 3.074168684494339998e-01
2.381190595297649111e+02 1.051236986643468043e+02 1.048133162643598979e+02 3.103823999869119721e-01
2.401200600300150256e+02 1.058227721662223217e+02 1.055094144713295776e+02 3.133576948927379036e-01
