   0.0000000000000000        0.0000000000000000        7.2009170844584665E-013  -1.6853225456360882E-016
   4.8339013868847564E-005   3.0372298170429325E-004 -0.12281250794036602        1.2488898140009941E-002
   9.6678027737695128E-005   6.0744596340858649E-004 -0.10320549722864419        2.8142444783093905E-002
   1.4501704160654270E-004   9.1116894511287985E-004  -9.5856610453415605E-002   6.2063092623722976E-003
   1.9335605547539026E-004   1.2148919268171730E-003 -0.10235969255277087        1.3800533280170548E-002
   2.4169506934423784E-004   1.5186149085214663E-003  -9.5729750227634358E-002   1.2255590827328421E-002
   2.9003408321308540E-004   1.8223378902257597E-003 -0.10204145380110276       -2.2147203877005122E-002
   3.3837309708193298E-004   2.1260608719300528E-003 -0.10933066186850465       -2.9500392180143299E-003
   3.8671211095078051E-004   2.4297838536343460E-003  -4.0518353333405116E-002  -1.3612059463435513E-002
   4.3505112481962810E-004   2.7335068353386395E-003 -0.10021344651774640        6.4679028300574856E-003
   4.8339013868847568E-004   3.0372298170429327E-003  -8.9765482123151219E-002   1.2245507751187998E-002
   5.3172915255732321E-004   3.3409527987472258E-003  -5.6508067154178020E-002   1.4246171802751722E-003
   5.8006816642617079E-004   3.6446757804515194E-003 -0.13436177554731971        5.5654716455377375E-002
   6.2840718029501838E-004   3.9483987621558130E-003 -0.12750956029442445       -5.1641600539154052E-003
   6.7674619416386596E-004   4.2521217438601057E-003 -0.12960992838512397       -1.8214678516379815E-002
   7.2508520803271344E-004   4.5558447255643984E-003 -0.11485590036310611       -6.9276485057100708E-003
   7.7342422190156102E-004   4.8595677072686919E-003 -0.12974500637920003       -9.4199300713172385E-003
   8.2176323577040861E-004   5.1632906889729855E-003  -9.5223014281315521E-002  -1.8345598483745805E-002
   8.7010224963925619E-004   5.4670136706772791E-003 -0.14139310473169608       -2.0679618979724507E-002
   9.1844126350810378E-004   5.7707366523815726E-003 -0.10658417075023938       -4.1756213919879298E-002
   9.6678027737695136E-004   6.0744596340858653E-003 -0.10797703995850287        1.1070046746964820E-002
   1.0151192912457988E-003   6.3781826157901580E-003 -0.10882305185723114       -6.7100117462918132E-003
   1.0634583051146464E-003   6.6819055974944516E-003 -0.11008573960289517       -3.9846429781805880E-002
   1.1117973189834940E-003   6.9856285791987452E-003 -0.16157845679997984        3.1789830875966853E-002
   1.1601363328523416E-003   7.2893515609030388E-003 -0.15654522036343313       -3.7146167676183769E-002
   1.2084753467211892E-003   7.5930745426073323E-003 -0.17422426029713325       -2.7722088099594384E-002
   1.2568143605900368E-003   7.8967975243116259E-003 -0.17637542008148405       -9.6250274901011883E-003
   1.3051533744588843E-003   8.2005205060159195E-003 -0.19050701839648673       -1.1831482174530129E-002
   1.3534923883277319E-003   8.5042434877202113E-003 -0.16855920815450814       -1.6782750155860567E-002
   1.4018314021965795E-003   8.8079664694245049E-003 -0.19227746312823407       -2.8341492721173159E-002
