# time  poten(istate=1)  kinen  toten
1463.4844980000  -39.9360700200  0.0878398696  -39.8482301504
1467.6186350000  -39.9360053300  0.0877738849  -39.8482314451
1471.7527720000  -39.9357105700  0.0873455511  -39.8483650189
1475.8869090000  -39.9349064700  0.0865528070  -39.8483536630
1480.0210460000  -39.9341018900  0.0857487048  -39.8483531852
1484.1551830000  -39.9333066200  0.0849538884  -39.8483527316
1488.2893200000  -39.9325231200  0.0841707842  -39.8483523358
1492.4234570000  -39.9317534000  0.0834014478  -39.8483519522
1496.5575940000  -39.9309988400  0.0826477830  -39.8483510570
1500.6917310000  -39.9302623600  0.0819116041  -39.8483507559
1504.8258680000  -39.9295460400  0.0811948678  -39.8483511722
1508.9600050000  -39.9288497200  0.0804994152  -39.8483503048
1513.0941420000  -39.9281776800  0.0798269644  -39.8483507156
1517.2282790000  -39.9275296500  0.0791792977  -39.8483503523
1521.3624160000  -39.9269081000  0.0785580491  -39.8483500509
1525.4965530000  -39.9263145100  0.0779647888  -39.8483497212
1529.6306900000  -39.9257504700  0.0774010681  -39.8483494019
1533.7648270000  -39.9252174800  0.0768683766  -39.8483491034
1537.8989640000  -39.9247169700  0.0763681357  -39.8483488343
1542.0331010000  -39.9242502600  0.0759016905  -39.8483485695
1546.1672380000  -39.9238186600  0.0754703070  -39.8483483530
1550.3013750000  -39.9234232500  0.0750751497  -39.8483481003
1554.4355120000  -39.9230652600  0.0747173137  -39.8483479463
1558.5696490000  -39.9227456300  0.0743978129  -39.8483478171
1562.7037860000  -39.9224653400  0.0741175282  -39.8483478118
1566.8379230000  -39.9222249900  0.0738772565  -39.8483477335
1570.9720600000  -39.9220253900  0.0736777051  -39.8483476849
1575.1061970000  -39.9218671000  0.0735194557  -39.8483476443
1579.2403340000  -39.9217505900  0.0734029795  -39.8483476105
1583.3744710000  -39.9216762300  0.0733286351  -39.8483475949
1587.5086080000  -39.9216442700  0.0732966660  -39.8483476040
1591.6427450000  -39.9216548300  0.0733072022  -39.8483476278
1595.7768820000  -39.9217079300  0.0733602577  -39.8483476723
