Best_individual,Fitness_values,Time (hours)
"(-9.166259033513976, 0.4)",0.7418118069591628,0.00017605682214101156
"(-9.210340371976182, 0.5)",0.7409275055072115,0.00018149322933620876
"(-9.210340371976182, 0.5)",0.7409275055072115,0.00018930554389953613
"(-9.210340371976182, 0.5)",0.7409275055072115,0.0001905088292227851
"(-9.210340371976182, 0.5)",0.7409275055072115,0.00020274453692966038
"(-9.210340371976182, 0.5)",0.7409275055072115,0.00021785477797190347
"(-9.210340371976182, 0.5)",0.7409275055072115,0.00020041498872968886
"(-9.210340371976182, 0.5)",0.7409275055072115,0.00018828014532725016
"(-9.210340371976182, 0.5)",0.7409275055072115,0.00020019590854644775
"(-9.210340371976182, 0.5)",0.7409275055072115,0.0002020305395126343
