hyperparameters,Accuracy_score
"('linear', 1.0)",-0.08932149992508731
"('linear', 6.2105263157894735)",0.3321391624658923
"('rbf', 11.421052631578947)",-0.1390395732809548
"('poly', 16.63157894736842)",-0.07574077408444138
"('linear', 21.842105263157894)",0.40019200067979627
"('rbf', 27.052631578947366)",-0.13852228660901694
"('poly', 32.26315789473684)",-0.040610088245221665
"('rbf', 37.473684210526315)",-0.14785989920259415
"('poly', 42.68421052631579)",-0.028666217454781318
"('poly', 47.89473684210526)",-0.02675530899728093
"('poly', 53.10526315789473)",-0.024512487226488716
"('poly', 58.315789473684205)",-0.022158851685279424
"('rbf', 63.526315789473685)",-0.130318315274398
"('poly', 68.73684210526315)",-0.015859071729604435
"('linear', 73.94736842105263)",0.39179378407473686
"('rbf', 79.1578947368421)",-0.08172310776766031
"('linear', 84.36842105263158)",0.39179378407473686
"('rbf', 89.57894736842105)",-0.05325958907340092
"('poly', 94.78947368421052)",0.0013584600738646702
"('poly', 100.0)",0.0044200730155742884
"('poly', 12.985447628643193)",-0.09648127068594997
"('poly', 13.587998879738223)",-0.09284655988017246
"('poly', 42.501298076215775)",-0.028838866262163726
"('linear', 60.764505252470286)",0.39179378407473686
"('rbf', 97.92100838315288)",-0.03482282289144578
"('linear', 6.096248130709956)",0.3288754021351997
"('poly', 67.21365352824192)",-0.016853531052559073
"('linear', 68.80614730904553)",0.39179378407473686
"('linear', 93.61539154877988)",0.39179378407473686
"('poly', 90.0350726523154)",-0.0016172119817592367
"('rbf', 77.2200646551707)",-0.08742790437442371
"('rbf', 67.48459403800085)",-0.11872522907212182
"('linear', 73.59325196166638)",0.39179378407473686
"('linear', 94.94782833918855)",0.39179378407473686
"('poly', 77.2200646551707)",-0.012687768872715388
"('linear', 56.884117644850036)",0.39179378407473686
"('poly', 72.11989223456618)",-0.014544083582305745
"('rbf', 73.94736842105263)",-0.0980469442759668
"('linear', 57.78489825289674)",0.39179378407473686
"('linear', 57.846829958127124)",0.39179378407473686
"('poly', 74.13249176628074)",-0.01429104217555563
"('poly', 81.31801560781003)",-0.00911669613874383
"('linear', 61.63816556818483)",0.39179378407473686
"('linear', 74.7439200964108)",0.39179378407473686
"('poly', 34.36560311254971)",-0.04081161499601757
"('poly', 4.301187075637252)",-0.14195375207257266
"('poly', 73.6895937846172)",-0.014347867246647245
"('linear', 35.46275757536924)",0.39179378407473686
"('linear', 19.688561424945668)",0.40266962943699236
"('poly', 73.94736842105263)",-0.01431474064866331
