Best_individual,Fitness_values,Time (hours)
"('linear', 21.842105263157894)",0.40019200067979627,3.800630569458008e-05
"('linear', 21.842105263157894)",0.40019200067979627,4.338363806406657e-05
"('linear', 21.842105263157894)",0.40019200067979627,4.4673548804389104e-05
"('linear', 21.842105263157894)",0.40019200067979627,3.863447242312961e-05
"('linear', 21.842105263157894)",0.40019200067979627,4.0269758966233994e-05
"('linear', 21.842105263157894)",0.40019200067979627,4.345622327592638e-05
"('linear', 21.842105263157894)",0.40019200067979627,3.771854771508111e-05
"('linear', 21.842105263157894)",0.40019200067979627,5.170775784386529e-05
"('linear', 21.842105263157894)",0.40019200067979627,4.031750890943739e-05
"('linear', 21.842105263157894)",0.40019200067979627,4.291123814053006e-05
