hyperparameters,Accuracy_score
"(-9.210340371976182, 'eigen')",0.7390489954682684
"(-8.846774304661333, 'eigen')",0.735371021692099
"(-8.483208237346483, 'svd')",0.7395396870359671
"(-8.119642170031634, 'eigen')",0.7356941836039582
"(-7.756076102716785, 'svd')",0.7259595035434163
"(-7.392510035401935, 'svd')",0.7171644344215524
"(-7.028943968087086, 'svd')",0.7042716503970178
"(-6.665377900772237, 'eigen')",0.6984924807420421
"(-6.301811833457387, 'eigen')",0.6914759732498718
"(-5.938245766142538, 'eigen')",0.6797262868147762
"(-5.574679698827689, 'eigen')",0.6628731667760888
"(-5.2111136315128395, 'auto')",0.6398700169773425
"(-4.84754756419799, 'auto')",0.6286688635061037
"(-4.483981496883141, 'eigen')",0.6136444578683008
"(-4.1204154295682915, 'eigen')",0.6027727886699468
"(-3.7568493622534422, 'svd')",0.5898909281949964
"(-3.393283294938593, 'svd')",0.5808059197557194
"(-3.0297172276237436, 'svd')",0.5694465365691287
"(-2.6661511603088943, 'auto')",0.5489169134742334
"(-2.3025850929940455, 'eigen')",0.5220332717471915
"(-7.635436677342424, 'auto')",0.7235234873650942
"(-3.443817453016978, 'eigen')",0.5819350174123388
"(-7.907603524660746, 'auto')",0.7297303291125721
"(-7.266445877637036, 'eigen')",0.7125682081329762
"(-7.81980886576004, 'svd')",0.7274695294253603
"(-8.09783367594424, 'svd')",0.7348764757237816
"(-7.459036521425686, 'svd')",0.7192473276552882
"(-7.445524339659193, 'eigen')",0.7188464897104813
"(-8.699976512140735, 'auto')",0.7346878534016228
"(-8.98456751896826, 'eigen')",0.7367067378938355
"(-8.038380911787282, 'auto')",0.7328527587145379
"(-7.721875963411434, 'eigen')",0.725241512674462
"(-8.358788041501358, 'svd')",0.740053922762959
"(-7.574446822997008, 'eigen')",0.7223097323501168
"(-8.483208237346483, 'auto')",0.7395396870359671
"(-7.87505478391855, 'eigen')",0.7288580600186765
"(-7.716852266274417, 'eigen')",0.7251363056148961
"(-7.787136822753177, 'eigen')",0.726700173357913
"(-8.363293565560195, 'svd')",0.7400570898718088
"(-8.254418230196618, 'svd')",0.738981592760721
"(-8.942773740714964, 'svd')",0.7363725874142377
"(-8.282000578339385, 'eigen')",0.739383344248688
"(-8.369080020368802, 'auto')",0.7400587422473006
"(-8.377843007811668, 'svd')",0.7400621751754282
"(-8.362928194100665, 'svd')",0.7400569986534771
"(-8.360523209961888, 'eigen')",0.7400556657318249
"(-8.209520303132694, 'svd')",0.7381906290528796
"(-8.56657953286671, 'svd')",0.7384404458112406
"(-8.458438032459739, 'eigen')",0.739743922438657
"(-8.428621000145865, 'eigen')",0.7399351237504135
