Best_individual,Fitness_values,Time (hours)
"('friedman_mse', 'best', 42, 21, -8.119642170031634)",0.6131077228781036,0.0003943899605009291
"('friedman_mse', 'best', 42, 21, -8.119642170031634)",0.6131077228781036,0.0002672985527250502
"('friedman_mse', 'best', 42, 21, -8.119642170031634)",0.6131077228781036,7.060448328653971e-05
"('friedman_mse', 'best', 42, 21, -8.119642170031634)",0.6131077228781036,9.205758571624756e-05
"('friedman_mse', 'best', 42, 21, -8.119642170031634)",0.6131077228781036,7.133364677429199e-05
"('friedman_mse', 'best', 42, 21, -8.119642170031634)",0.6131077228781036,0.00015560991234249538
"('friedman_mse', 'best', 42, 21, -8.119642170031634)",0.6131077228781036,0.00013810965749952529
"('friedman_mse', 'best', 42, 21, -8.119642170031634)",0.6131077228781036,0.0001331957181294759
"('friedman_mse', 'best', 42, 21, -8.119642170031634)",0.6131077228781036,0.00010310510794321696
"('friedman_mse', 'best', 42, 21, -8.119642170031634)",0.6131077228781036,0.00019514017634921602
