Best_individual,Fitness_values,Time (hours)
"(-8.369080020368802, 'auto')",0.7400587422473006,0.0001876369449827406
"(-8.369080020368802, 'auto')",0.7400587422473006,0.00019405742486317953
"(-8.363293565560195, 'svd')",0.7400570898718088,0.00018158144421047634
"(-8.358788041501358, 'svd')",0.740053922762959,0.00018506719006432427
"(-8.358788041501358, 'svd')",0.740053922762959,0.00019212742646535237
"(-8.483208237346483, 'svd')",0.7395396870359671,0.00012597130404578316
"(-8.483208237346483, 'svd')",0.7395396870359671,0.00016067008177439373
"(-8.483208237346483, 'svd')",0.7395396870359671,0.00018076943026648626
"(-8.483208237346483, 'svd')",0.7395396870359671,0.0001860025856229994
"(-8.483208237346483, 'svd')",0.7395396870359671,0.00019476877318488228
