latt/delta, 0.0, 0.01, 0.02, 0.03, 0.04, 0.05, 0.06, 0.07, 0.08, 0.09, 0.10, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.20
5.2    6.730521578939300852e-16,3.846584509898984261e-02,7.712498590199365345e-02,1.157841267049986023e-01,1.544432675080027739e-01,1.931024083110069733e-01,2.313749577059798224e-01,2.700340985089851320e-01,3.086932393119878326e-01,3.473523801149936974e-01,3.860115209179967866e-01,4.242840703129713287e-01,4.629432111159758612e-01,5.016023519189787283e-01,5.402614927219835383e-01,5.789206335249882374e-01,6.175797743279926033e-01,6.558523237229658687e-01,6.945114645259702346e-01,7.331706053289748226e-01,7.718297461319788555e-01
5.3    1.485516104524843773e-16,3.923902791504950416e-02,7.867135153411466963e-02,1.181036751531783363e-01,1.571494073642123457e-01,1.965817309832775250e-01,2.360140546023410113e-01,2.754463782214050527e-01,3.144921104324392425e-01,3.539244340515033116e-01,3.933567576705677138e-01,4.327890812896330597e-01,4.718348135006663058e-01,5.112671371197311521e-01,5.506994607387957208e-01,5.899384886538449058e-01,6.291775165688936466e-01,6.686098401879579933e-01,7.080421638070218959e-01,7.470878960180556971e-01,7.865202196371204879e-01
5.4    1.888169221391511258e-16,4.001221073110972776e-02,8.021771716623436743e-02,1.202299278973439078e-01,1.602421386284525184e-01,2.004476450635771512e-01,2.404598557946867055e-01,2.804720665257956491e-01,3.206775729609201431e-01,3.604964879880135920e-01,4.007019944231388076e-01,4.409075008582636346e-01,4.807264158853573610e-01,5.209319223204814664e-01,5.611374287556064600e-01,6.009563437827003529e-01,6.411618502178245693e-01,6.813673566529484527e-01,7.211862716800429007e-01,7.613917781151683384e-01,8.015972845502922217e-01
5.5    0.000000000000000000e+00,4.078539354717071463e-02,8.176408279835463422e-02,1.223561806415089243e-01,1.633348698926928577e-01,2.039269677358471478e-01,2.449056569870325661e-01,2.856910505342017959e-01,3.264764440813703872e-01,3.674551333325562497e-01,4.080472311757097348e-01,4.490259204268942650e-01,4.898113139740630784e-01,5.305967075212332240e-01,5.713821010684028145e-01,6.121674946155716279e-01,6.531461838667561581e-01,6.937382817099102539e-01,7.347169709610943400e-01,7.755023645082645967e-01,8.162877580554337431e-01
5.6    1.888169221391511258e-16,4.155857636322923820e-02,8.311715272645885111e-02,1.246757290896882836e-01,1.662343054529192288e-01,2.077928818161486613e-01,2.493514581793778995e-01,2.909100345426067769e-01,3.324686109058365702e-01,3.740271872690659749e-01,4.155857636322946580e-01,4.571443399955250064e-01,4.987029163587550218e-01,5.402614927219840935e-01,5.818200690852136647e-01,6.233786454484425699e-01,6.649372218116721411e-01,7.064957981749008242e-01,7.480543745381321719e-01,7.896129509013605219e-01,8.311715272645903152e-01
5.7    3.776338442783022516e-16,4.233175917928946874e-02,8.466351835857968688e-02,1.269952775378687670e-01,1.691337410131439067e-01,2.114655001924327926e-01,2.537972593717235936e-01,2.961290185510130346e-01,3.384607777303021425e-01,3.805992412055772545e-01,4.229310003848659738e-01,4.652627595641558034e-01,5.075945187434456329e-01,5.499262779227352960e-01,5.922580371020247370e-01,6.343965005772991272e-01,6.767282597565892344e-01,7.190600189358785643e-01,7.613917781151682274e-01,8.037235372944572243e-01,8.460552964737463322e-01
5.8    0.000000000000000000e+00,4.310494199535139237e-02,8.601658828668484746e-02,1.291215302820345467e-01,1.722264722773842460e-01,2.151381185687186448e-01,2.582430605640688714e-01,3.013480025594184042e-01,3.442596488507528307e-01,3.873645908461021414e-01,4.304695328414520072e-01,4.733811791327873220e-01,5.164861211281365216e-01,5.595910631234857213e-01,6.025027094148210915e-01,6.456076514101704023e-01,6.887125934055198240e-01,7.316242396968549722e-01,7.747291816922037277e-01,8.178341236875538156e-01,8.607457699788879646e-01
5.9    0.000000000000000000e+00,4.368482910739519137e-02,8.756295391880454526e-02,1.314410787302144612e-01,1.751259078376092848e-01,2.188107369450041084e-01,2.626888617564127060e-01,3.065669865678233852e-01,3.502518156752181810e-01,3.939366447826131989e-01,4.378147695940229345e-01,4.816928944054322814e-01,5.253777235128272993e-01,5.690625526202222062e-01,6.129406774316316087e-01,6.568188022430415662e-01,7.005036313504361400e-01,7.441884604578309359e-01,7.880665852692404494e-01,8.319447100806506290e-01,8.756295391880450918e-01
6.0    0.000000000000000000e+00,4.445801192345504721e-02,8.891602384691009442e-02,1.335673314743804352e-01,1.782186391018496241e-01,2.226766510253039288e-01,2.671346629487595381e-01,3.115926748722139816e-01,3.562439824996835869e-01,4.007019944231384190e-01,4.453533020506081352e-01,4.898113139740639110e-01,5.342693258975181880e-01,5.787273378209730756e-01,6.233786454484424588e-01,6.678366573718976795e-01,7.124879649993669517e-01,7.569459769228221724e-01,8.014039888462768380e-01,8.458620007697313925e-01,8.905133083972013308e-01
6.1    1.888169221391511258e-16,4.523119473951489611e-02,9.046238947903111061e-02,1.356935842185446883e-01,1.809247789580601395e-01,2.263492694015893925e-01,2.715804641411044829e-01,3.170049545846337358e-01,3.622361493241491037e-01,4.074673440636640831e-01,4.526985388031793400e-01,4.979297335426945414e-01,5.431609282822084106e-01,5.883921230217243892e-01,6.336233177612390355e-01,6.788545125007534597e-01,7.242790029442832678e-01,7.695101976837985802e-01,8.149346881273284993e-01,8.601658828668432566e-01,9.053970776063583470e-01
