flavor,kinf,kinf_err,A,A_err,max_abs_residual
k_all_points,2.4509584243746096,0.01306738163898911,0.3827120522803212,0.0010039892910857723,0.030327227667367396
k_largest4,3.090215607927062,0.03278180185497771,0.27120027456005724,0.0025186819223369282,0.07863977472781869
k_quadratic,3.4172280865294526,0.05993172685783012,0.2327309044777082,0.004604657091859887,0.12967553409729327
