lattice_length,delta,gap_old_eV,gap_new_eV
5.8,0.037688,0.16220937812800007,0.5028490721968002
5.9,0.062842,0.275135661346,0.8529205501725998
6.0,0.086419,0.3847736839799998,1.1927984203379993
6.1,0.107853,0.4882103018310001,1.5134519356761
6.2,0.127447,0.5863624907980002,1.8177237214738002
6.3,0.145561,0.6805036430010001,2.1095612933031003
6.4,0.162456,0.771543833088,2.3917858825727993
6.5,0.178341,0.8602197881549999,2.6666813432804997
