delta,indirect_gap_eV,converged,wall_time_s
0.0,3.429217312102224,True,8.491257429122925
0.01,3.558014225287283,True,8.581326246261597
0.02,3.6846438545654263,True,8.812445402145386
0.03,3.809024503702443,True,8.668901681900024
0.05,4.050705137843061,True,8.901014566421509
0.0864,4.465592941196658,True,8.525022268295288
