# vmf_atol: 1e-07 | ps2_atol: 1e-07 | ps2_ratio: 2.0 | ode_method: dopri5 | ode_atol: 1e-09 | ode_rtol: 1e-05 | vmf_reg_method: extend | vmf_reg_type: ip | cache_svd_info: True
# frame = {Node('[H]0'): [End('[H]i'), End('[H]j'), Node('[H]1')], Node('[H]1'): [Node('[H]0'), End('[H]0-0'), Node('[H]2')], Node('[H]2'): [Node('[H]1'), End('[H]0-1'), Node('[H]3')], Node('[H]3'): [Node('[H]2'), End('[H]0-2'), Node('[H]4')], Node('[H]4'): [Node('[H]3'), End('[H]0-3'), Node('[H]5')], Node('[H]5'): [Node('[H]4'), End('[H]0-4'), Node('[H]6')], Node('[H]6'): [Node('[H]5'), End('[H]0-5'), Node('[H]7')], Node('[H]7'): [Node('[H]6'), End('[H]0-6'), End('[H]0-7')]}
# time ode_steps max_rank tr norm
# # ([H]0)-([H]1) ([H]1)-([H]2) ([H]2)-([H]3) ([H]3)-([H]4) ([H]4)-([H]5) ([H]5)-([H]6) ([H]6)-([H]7)
0.0 0 10 1.0 0.7071067811865476
# 10 10 10 10 10 10 10
0.10000000000000002 520 10 1.0000000033150926 0.7076777591141952
# 10 10 10 10 10 10 10
0.20000000000000004 436 10 1.0000000384491519 0.7093700976829953
# 10 10 10 10 10 10 10
0.3000000000000001 448 10 1.0000001113327945 0.712157326500567
# 10 10 10 10 10 10 10
0.4000000000000001 460 10 1.000000207261362 0.7160184753675793
# 10 10 10 10 10 10 10
0.5000000000000001 460 10 1.000000260817723 0.7209376474807409
# 10 10 10 10 10 10 10
0.6000000000000002 460 10 1.0000002252979616 0.726903648153231
# 10 10 10 10 10 10 10
0.7000000000000002 460 10 1.0000002119488602 0.7339096633902864
# 10 10 10 10 10 10 10
0.8000000000000002 466 10 1.0000001912628456 0.7419529818066998
# 10 10 10 10 10 10 10
0.9000000000000001 502 10 1.0000002082630226 0.751034754197625
# 10 10 10 10 10 10 10
1.0000000000000002 496 10 1.0000002317116845 0.7611597856790877
# 10 10 10 10 10 10 10
1.1000000000000003 520 10 1.000000229225923 0.7723363557683914
# 10 10 10 10 10 10 10
1.2000000000000004 514 10 1.0000001907562321 0.7845760626436834
# 10 10 10 10 10 10 10
1.3000000000000003 538 10 1.0000001758605368 0.7978936875349765
# 10 10 10 10 10 10 10
1.4000000000000004 538 10 1.000000148093254 0.8123070763587356
# 10 10 10 10 10 10 10
1.5000000000000004 550 10 1.0000000982830421 0.8278370351067036
# 10 10 10 10 10 10 10
1.6000000000000003 532 10 1.0000000796155473 0.8445072376516232
# 10 10 10 10 10 10 10
1.7000000000000004 568 10 1.0000000853480882 0.8623441400301455
# 10 10 10 10 10 10 10
1.8000000000000003 580 10 1.000000082201282 0.8813769055488963
# 10 10 10 10 10 10 10
1.9000000000000004 568 10 1.0000000723821576 0.9016373325327101
# 10 10 10 10 10 10 10
