# time  poten(istate=0)  kinen  toten
1694.9961700000  -39.9362627200  0.0857743720  -39.8504883480
1699.1303070000  -39.9356658500  0.0851796367  -39.8504862133
1703.2644440000  -39.9350491200  0.0845690205  -39.8504800995
1707.3985810000  -39.9344974100  0.0840373063  -39.8504601037
1711.5327180000  -39.9341962200  0.0837286349  -39.8504675851
1715.6668550000  -39.9341078100  0.0836257777  -39.8504820323
1719.8009920000  -39.9340778100  0.0835924241  -39.8504853859
1723.9351290000  -39.9340588200  0.0835722904  -39.8504865296
1728.0692660000  -39.9340396300  0.0835526281  -39.8504870019
1732.2034030000  -39.9340182200  0.0835309705  -39.8504872495
1736.3375400000  -39.9339951900  0.0835077793  -39.8504874107
1740.4716770000  -39.9339720100  0.0834844768  -39.8504875332
1744.6058140000  -39.9339504100  0.0834627776  -39.8504876324
1748.7399510000  -39.9339321700  0.0834444457  -39.8504877243
1752.8740880000  -39.9339189900  0.0834311814  -39.8504878086
1757.0082250000  -39.9339124600  0.0834245762  -39.8504878838
1761.1423620000  -39.9339140300  0.0834260975  -39.8504879325
1765.2764990000  -39.9339251000  0.0834370839  -39.8504880161
1769.4106360000  -39.9339468500  0.0834587479  -39.8504881021
1773.5447730000  -39.9339803600  0.0834921774  -39.8504881826
1777.6789100000  -39.9340266800  0.0835383526  -39.8504883274
1781.8130470000  -39.9340865500  0.0835981510  -39.8504883990
1785.9471840000  -39.9341608300  0.0836723516  -39.8504884784
1790.0813210000  -39.9342502500  0.0837616482  -39.8504886018
1794.2154580000  -39.9343553700  0.0838666670  -39.8504887030
1798.3495950000  -39.9344767800  0.0839879715  -39.8504888085
1802.4837320000  -39.9346153900  0.0841260922  -39.8504892978
1806.6178690000  -39.9347709000  0.0842814921  -39.8504894079
1810.7520060000  -39.9349441200  0.0844545751  -39.8504895449
1814.8861430000  -39.9351356000  0.0846457478  -39.8504898522
1819.0202800000  -39.9353454500  0.0848553900  -39.8504900600
1823.1544170000  -39.9355740800  0.0850838429  -39.8504902371
1827.2885540000  -39.9358218500  0.0853314282  -39.8504904218
1831.4226910000  -39.9360891300  0.0855984609  -39.8504906691
1835.5568280000  -39.9363755100  0.0858852014  -39.8504903086
1839.6909650000  -39.9366826400  0.0861919261  -39.8504907139
1843.8251020000  -39.9370100000  0.0865189196  -39.8504910804
1847.9592390000  -39.9373578700  0.0868663467  -39.8504915233
1852.0933760000  -39.9377264900  0.0872345213  -39.8504919687
1856.2275130000  -39.9381159700  0.0876236342  -39.8504923358
1860.3616500000  -39.9385263500  0.0880336166  -39.8504927334
1864.4957870000  -39.9389575500  0.0884644198  -39.8504931302
1868.6299240000  -39.9394092200  0.0889160370  -39.8504931830
1872.7640610000  -39.9398816100  0.0893882546  -39.8504933554
1876.8981980000  -39.9403741300  0.0898805015  -39.8504936285
1881.0323350000  -39.9408856400  0.0903921481  -39.8504934919
1885.1664720000  -39.9414158000  0.0909223358  -39.8504934642
1889.3006090000  -39.9419634800  0.0914699819  -39.8504934981
1893.4347460000  -39.9425273100  0.0920337762  -39.8504935338
1897.5688830000  -39.9431058800  0.0926119428  -39.8504939372
1901.7030200000  -39.9436966600  0.0932024694  -39.8504941906
1905.8371570000  -39.9442975900  0.0938030952  -39.8504944948
1909.9712940000  -39.9449057800  0.0944111579  -39.8504946221
1914.1054310000  -39.9455184900  0.0950235544  -39.8504949356
1918.2395680000  -39.9461318300  0.0956366639  -39.8504951661
1922.3737050000  -39.9467421000  0.0962462672  -39.8504958328
1926.5078420000  -39.9473444400  0.0968479906  -39.8504964494
1930.6419790000  -39.9479343400  0.0974369241  -39.8504974159
1934.7761160000  -39.9485063500  0.0980077496  -39.8504986004
1938.9102530000  -39.9490554900  0.0985553158  -39.8505001742
1943.0443900000  -39.9495753200  0.0990738672  -39.8505014528
1947.1785270000  -39.9500600200  0.0995572970  -39.8505027230
1951.3126640000  -39.9505035000  0.0999995150  -39.8505039850
1955.4468010000  -39.9508996600  0.1003944620  -39.8505051980
1959.5809380000  -39.9512419000  0.1007362058  -39.8505056942
1963.7150750000  -39.9515266300  0.1010190117  -39.8505076183
1967.8492120000  -39.9517470100  0.1012379238  -39.8505090862
1971.9833490000  -39.9518992100  0.1013890617  -39.8505101483
1976.1174860000  -39.9519799700  0.1014690873  -39.8505108827
1980.2516230000  -39.9519870000  0.1014756256  -39.8505113744
1984.3857600000  -39.9519189300  0.1014077982  -39.8505111318
1988.5198970000  -39.9517772300  0.1012662752  -39.8505109548
1992.6540340000  -39.9515639700  0.1010534652  -39.8505105048
