5.199999999999999  0.0  -1.2724022310962706 1.1102230246251565e-16
5.199999999999999  0.01  -1.2686761852855337 0.004415262723949237
5.199999999999999  0.019999999999999997  -1.2515862099329667 0.008806131731191588
5.199999999999999  0.03  -1.2170913262864147 0.013197000738433884
5.199999999999999  0.04  -1.1629930192647713 0.01758786974567622
5.199999999999999  0.049999999999999996  -1.087441732656501 0.021978738752918586
5.199999999999999  0.060000000000000005  -0.9887224966129207 0.026369607760160993
5.199999999999999  0.07  -0.8651353863519464 0.030760476767403205
5.199999999999999  0.08  -0.7149261354888665 0.03515134577464567
5.199999999999999  0.09000000000000001  -0.5371172270204774 0.03956660849859486
5.199999999999999  0.1  -0.32791094801823917 0.04395747750583716
5.199999999999999  0.11  -0.08242090535147995 0.04837274022978631
5.199999999999999  0.12000000000000001  0.19474897840747118 0.05276360923702868
5.199999999999999  0.13  0.5095095666540175 0.057154478244270945
5.199999999999999  0.13999999999999999  0.8646936711438045 0.06154534725151345
5.199999999999999  0.15  1.2634169480844477 0.06593621625875572
5.199999999999999  0.16  1.709110927173203 0.07032708526599803
5.199999999999999  0.16999999999999998  2.2055592774201678 0.07471795427324036
5.199999999999999  0.18  2.7569380035224818 0.07910882328048273
5.199999999999999  0.19  3.3673563289347044 0.08352408600443192
5.199999999999999  0.19999999999999998  4.051316949663635 0.08793934872838126
5.3  0.0  -1.7193479803015048 9.561900023617933e-18
5.3  0.01  -1.7191185540814438 0.004488443874069936
5.3  0.019999999999999997  -1.707688287427187 0.008976887748139942
5.3  0.03  -1.6811120761708125 0.013440937905502895
5.3  0.04  -1.6391485323181794 0.017929381779572873
5.3  0.049999999999999996  -1.5804821982678998 0.02239343193693588
5.3  0.060000000000000005  -1.5002064089847131 0.026881875811005873
5.3  0.07  -1.398153978366702 0.031370319685075726
5.3  0.08  -1.2726126870071681 0.03585876355914572
5.3  0.09000000000000001  -1.1210702238141401 0.040322813716508754
5.3  0.1  -0.9431150014558796 0.04481125759057872
