6.628900000009707583e-04 7.697300000018003630e-04 1.103264999997577434e-03 1.685809999997900377e-03 2.530215000007274284e-03 3.650480000004563408e-03 5.064739999994571917e-03 6.795499999995513463e-03 8.869814999997061022e-03 1.131940499999473104e-02 1.418126999999458349e-02 1.749766999999735617e-02 2.131665500000679003e-02 2.569286499999634543e-02 3.068754000000240012e-02 3.636927499999842439e-02 4.281469500000412154e-02 5.010964500000625321e-02 5.834964999999669999e-02 6.764073499999767591e-02 7.810064999999610791e-02
0.000000000000000000e+00 8.022999999468538590e-05 3.344050000038123471e-04 7.847400000002835441e-04 1.443030000004341673e-03 2.321780000002604538e-03 3.437279999999987012e-03 4.809495000003494170e-03 6.462575000000470027e-03 8.424829999995608887e-03 1.072928000000672455e-02 1.341376499999569205e-02 1.652144999999904940e-02 2.010122999999452986e-02 2.420818500000621043e-02 2.890417499999387019e-02 3.425825499999746171e-02 4.034768500000041058e-02 4.725880499999846052e-02 5.508770000000140499e-02 6.394095500000673837e-02
1.800950000045986599e-04 2.370699999971748184e-04 4.226900000077193909e-04 7.590200000038294093e-04 1.256729999994377067e-03 1.927120000004833855e-03 2.784794999996620390e-03 3.847815000000309738e-03 5.137829999995346952e-03 6.680105000000935433e-03 8.504049999999097054e-03 1.064352000000212684e-02 1.313706499999511834e-02 1.602847499999882075e-02 1.936722499999632419e-02 2.320873000000744923e-02 2.761529500000392545e-02 3.265634500000658136e-02 3.840961500000616979e-02 4.496227500000316013e-02 5.241069000000209144e-02
1.027805000006765113e-03 1.064674999994963400e-03 1.190590000007318849e-03 1.428075000006856499e-03 1.786885000001348089e-03 2.277230000004237809e-03 2.912370000004216308e-03 3.708529999997267623e-03 4.685315000003242858e-03 5.865319999998064304e-03 7.275074999995467806e-03 8.944569999997042942e-03 1.090831000000491713e-02 1.320532500000126674e-02 1.587985499999433614e-02 1.898172500000328000e-02 2.256672000000037315e-02 2.669734500000231492e-02 3.144358000000124775e-02 3.688388499999462056e-02 4.310551500000769920e-02
2.399730000007593844e-03 2.418934999994348800e-03 2.493079999993597085e-03 2.644579999994789432e-03 2.882845000002021152e-03 3.217190000000869077e-03 3.659749999997075065e-03 4.225465000004646754e-03 4.931880000000887776e-03 5.799585000005436086e-03 6.852069999993659621e-03 8.116330000007110357e-03 9.623105000002851739e-03 1.140714500000683529e-02 1.350804000000493943e-02 1.597031500000412052e-02 1.884383499999842115e-02 2.218446999999912350e-02 2.605520000000183245e-02 3.052671500000769811e-02 3.567792500000166456e-02
4.175730000000044129e-03 4.179785000005153961e-03 4.209064999997735868e-03 4.286340000007271556e-03 4.420175000007020572e-03 4.619425000001342596e-03 4.895550000000525870e-03 5.262104999999905885e-03 5.735139999998750682e-03 6.333100000006197661e-03 7.077374999994390237e-03 7.992064999996273400e-03 9.104649999997604937e-03 1.044611500000769411e-02 1.205154999999535903e-02 1.396076999999706914e-02 1.621833000000094671e-02 1.887437000000602438e-02 2.198548500000185868e-02 2.561484500000688058e-02 2.983355000000642576e-02
6.260960000005866277e-03 6.251575000007392191e-03 6.241819999999620450e-03 6.254749999996533916e-03 6.298540000003072237e-03 6.381340000004342983e-03 6.513604999994981881e-03 6.708250000002635716e-03 6.979839999999626343e-03 7.345275000005813126e-03 7.823584999997024170e-03 8.436549999998987914e-03 9.208790000002409215e-03 1.016801999999472628e-02 1.134562000000016724e-02 1.277690000000575310e-02 1.450169999999673109e-02 1.656472000000519529e-02 1.901641999999981181e-02 2.191376000000389013e-02 2.532065500000157954e-02
8.575974999999402826e-03 8.555185000005849361e-03 8.511964999996735060e-03 8.469575000006557275e-03 8.435605000002510678e-03 8.417949999994789323e-03 8.426464999999438987e-03 8.472920000002659435e-03 8.570800000001099761e-03 8.735549999997260784e-03 8.984350000005747461e-03 9.336840000003121531e-03 9.814985000005549409e-03 1.044406500000150118e-02 1.125184999999362390e-02 1.226998500000320291e-02 1.353372500000205036e-02 1.508316500000717042e-02 1.696343999999783136e-02 1.922542500000190557e-02 2.192646500000705601e-02
1.106079999999565189e-02 1.103000000000520231e-02 1.095789999999396969e-02 1.086773999999479656e-02 1.076677000000358930e-02 1.066253000000472184e-02 1.056450999999469786e-02 1.048339000000453325e-02 1.043168500000035692e-02 1.042320999999901687e-02 1.047404999999912434e-02 1.060191999999915424e-02 1.082652499999881002e-02 1.117021000000306685e-02 1.165813500000467684e-02 1.231850499999609383e-02 1.318321499999797197e-02 1.428802499999903830e-02 1.567310000000077252e-02 1.738387999999702060e-02 1.947178999999721327e-02
1.366342500000428117e-02 1.362413500000059230e-02 1.352703999999960160e-02 1.339579499999388190e-02 1.323729499999615200e-02 1.305865000000494547e-02 1.286879500000281951e-02 1.267776500000650231e-02 1.249706999999489199e-02 1.233958999999629214e-02 1.221965000000579948e-02 1.215338500000484601e-02 1.215876999999920827e-02 1.225607000000650260e-02 1.246769499999800246e-02 1.281898499999556407e-02 1.333857500000590335e-02 1.405841000000407348e-02 1.501463499999999840e-02 1.624779499999817745e-02 1.780356000000438144e-02
1.634236499999985881e-02 1.629545000000121036e-02 1.617698500000130934e-02 1.601033000000029460e-02 1.580228500000657732e-02 1.555967999999552376e-02 1.529094999999358606e-02 1.500543000000220673e-02 1.471390999999755422e-02 1.442805499999622043e-02 1.416111999999714044e-02 1.392769999999643460e-02 1.374414500000398220e-02 1.362867000000278495e-02 1.360163500000055592e-02 1.368596500000762717e-02 1.390710500000125194e-02 1.429389499999444979e-02 1.487849500000493208e-02 1.569721500000298420e-02 1.679099499999381351e-02
