#
# Scaled Hessian eigenvectors (au) (rot and trasl at end):
#
 7.07087427145320e-01 -4.74834377919242e-03 -2.19627055853275e-03 -7.07087427347246e-01  4.74831906102639e-03  2.19625898908479e-03
-3.23621643616949e-03 -7.06727136362190e-01  2.29408285699990e-02  6.11293825532722e-03  7.06707818560135e-01 -2.29497535686032e-02
-1.58122873610344e-03 -2.29337786629464e-02 -7.06733005823755e-01  3.11703112083917e-03  2.29234543908899e-02  7.06728235849554e-01
 5.69835578865758e-03  7.04510018365427e-01 -6.03024535516554e-02  5.69829280141232e-03  7.04505243282248e-01 -6.03047967136264e-02
-1.61901167610804e-03 -6.02904154886493e-02 -7.04528780275658e-01 -1.61903120502259e-03 -6.02944350211294e-02 -7.04530767396380e-01
-7.07092147131032e-01  4.35311151289586e-03  4.06347659008343e-04 -7.07068026704246e-01  7.27813054026987e-03  1.84802482810423e-03


# sqrt(|eigenvalues|) of scaled Hessian (au) (rot and trasl at end):
 2.01334889941013e-02  5.85516862798674e-05  5.71282356637832e-05  7.30674509651179e-10  3.24590863848591e-10  1.34297444720775e-07


# eigenvalues of scaled Hessian (au) (rot and trasl at end):
 4.05357379075597e-04 -3.42829996621602e-09 -3.26363531005675e-09 -5.33885239053991e-19  1.05359228893974e-19  1.80358036585295e-14
