time_fs,experiment_digitized,hybrid_mean,hybrid_sem,hybrid_ci95_low,hybrid_ci95_high,coherent_mean,coherent_sem,active_surface_diagonal_mean,coherent_offdiagonal_mean
0.0,0.0,0.0013908333014493954,0.00043941051684645165,0.00039681765333177284,0.002384848949567018,0.0014380594926732405,0.00015019661953779464,0.25158518282176334,-0.2501943495203139
0.5,0.013180894000000002,0.001449896641724111,0.0005368024718535438,0.00023556508498283075,0.002664228198465391,0.0018347435896198193,0.0001586714005166931,0.24320376660419254,-0.24175386996246848
1.0,0.026361788000000004,0.002571054230213477,0.0005821778824925836,0.0012540763632776467,0.0038880320971493073,0.002912310373734372,0.00022622060108281995,0.2472870832305941,-0.2447160290003807
1.5,0.03954268200000001,0.0037384778004308393,0.0005685372468717707,0.002452357195070514,0.0050245984057911645,0.004408280703458276,0.0003637756502310858,0.2279911416208633,-0.22425266382043244
2.0,0.05272357600000001,0.005332439649673331,0.0005705855025334242,0.00404168556809664,0.006623193731250023,0.006037704092929883,0.0005326386598319424,0.21356081357034212,-0.2082283739206688
2.5,0.06590447,0.007017091668446174,0.000534326003109703,0.005808362273212357,0.00822582106367999,0.007638543794572489,0.0007215357894717984,0.20778483173464926,-0.20076774006620307
3.0,0.07908536400000002,0.008798347971305565,0.0007864632626333738,0.007019244468417874,0.010577451474193256,0.0092401456283079,0.0009413858031322619,0.19071497308372798,-0.1819166251124224
3.5,0.09226625800000002,0.01056765495029139,0.0010126576831503272,0.00827686411883364,0.01285844578174914,0.011028526082623835,0.0012051503003182834,0.17954660080772655,-0.16897894585743517
4.0,0.10544715200000002,0.012807089349407077,0.0013860419852584067,0.009671644544438257,0.0159425341543759,0.013241181049611545,0.0015207043237747,0.1799742749174059,-0.16716718556799884
4.5,0.11862804600000001,0.015678452741174388,0.001733792895006305,0.01175634072483033,0.019600564757518445,0.016042797384652967,0.0018955667834444558,0.18171123048119758,-0.16603277774002317
5.0,0.13180894,0.01921175588891614,0.002202295262792997,0.014229817885469311,0.024193693892362967,0.01944895238601807,0.002336313036025579,0.1833752775857011,-0.164163521696785
5.5,0.13442072900000002,0.023139584346360847,0.0027235622743619174,0.016978458438933836,0.02930071025378786,0.0233296632310837,0.0028392356950754354,0.18345902980928447,-0.16031944546292365
6.0,0.13703251800000002,0.02728918495580186,0.003166138759037387,0.020126881483455445,0.03445148842814827,0.027473516703288632,0.003394260061432319,0.18143685714304592,-0.15414767218724407
6.5,0.139644307,0.0315071972876368,0.0038695980082564985,0.022753558435893405,0.04026083613938019,0.03167461527591906,0.0039960810274136975,0.1779504631105185,-0.1464432658228817
7.0,0.142256096,0.035275278130012785,0.004545326849334901,0.024993034440276785,0.045557521819748786,0.035793639631850095,0.004654100833749838,0.1728488298155184,-0.1375735516855056
