time_fs,experiment_digitized,plain_mean,plain_sem,plain_ci95_low,plain_ci95_high,boltzmann_mean,boltzmann_sem,boltzmann_ci95_low,boltzmann_ci95_high,boltzmann_minus_plain
0.0,0.0,0.0013908333014493954,0.00043941051684645165,0.00039681765333177284,0.002384848949567018,0.0013908333014493954,0.00043941051684645165,0.00039681765333177284,0.002384848949567018,0.0
0.5,0.013180894000000002,0.001449896641724111,0.0005368024718535438,0.00023556508498283075,0.002664228198465391,0.010924199121929441,0.003899863948746286,0.0021020939561165585,0.019746304287742322,0.00947430248020533
1.0,0.026361788000000004,0.002571054230213477,0.0005821778824925836,0.0012540763632776467,0.0038880320971493073,0.022333003934834342,0.009036832160211632,0.001890269334101316,0.04277573853556737,0.019761949704620866
1.5,0.03954268200000001,0.0037384778004308393,0.0005685372468717707,0.002452357195070514,0.0050245984057911645,0.03398516102164312,0.013477417948975803,0.0034971234715891024,0.06447319857169713,0.030246683221212278
2.0,0.05272357600000001,0.005332439649673331,0.0005705855025334242,0.00404168556809664,0.006623193731250023,0.0439744189035868,0.016569806902142666,0.0064909115327954695,0.08145792627437812,0.03864197925391347
2.5,0.06590447,0.007017091668446174,0.000534326003109703,0.005808362273212357,0.00822582106367999,0.0514636301309591,0.01854618521222213,0.009509244409512042,0.09341801585240617,0.044446538462512925
3.0,0.07908536400000002,0.008798347971305565,0.0007864632626333738,0.007019244468417874,0.010577451474193256,0.059789666124884365,0.019905336059540535,0.014760667578776754,0.10481866467099198,0.050991318153578796
3.5,0.09226625800000002,0.01056765495029139,0.0010126576831503272,0.00827686411883364,0.01285844578174914,0.06524112133218721,0.020791166838785357,0.018208234343734295,0.11227400832064012,0.05467346638189582
4.0,0.10544715200000002,0.012807089349407077,0.0013860419852584067,0.009671644544438257,0.0159425341543759,0.06951521951591906,0.021269843284430757,0.021399491177259866,0.11763094785457825,0.05670813016651198
4.5,0.11862804600000001,0.015678452741174388,0.001733792895006305,0.01175634072483033,0.019600564757518445,0.07542159307484872,0.021485331061051466,0.026818397518799483,0.12402478863089796,0.05974314033367433
5.0,0.13180894,0.01921175588891614,0.002202295262792997,0.014229817885469311,0.024193693892362967,0.08306110253717199,0.021538455714065315,0.03433773066678333,0.13178447440756064,0.06384934664825584
5.5,0.13442072900000002,0.023139584346360847,0.0027235622743619174,0.016978458438933836,0.02930071025378786,0.09229210638694388,0.021747086061603565,0.04309677988148283,0.14148743289240492,0.06915252204058303
6.0,0.13703251800000002,0.02728918495580186,0.003166138759037387,0.020126881483455445,0.03445148842814827,0.10291676368543493,0.02230698837057752,0.052454850161229895,0.15337867720963996,0.07562757872963306
6.5,0.139644307,0.0315071972876368,0.0038695980082564985,0.022753558435893405,0.04026083613938019,0.11531042244589969,0.02354436377613946,0.062049371284863215,0.16857147360693617,0.08380322515826288
7.0,0.142256096,0.035275278130012785,0.004545326849334901,0.024993034440276785,0.045557521819748786,0.1279726028481323,0.024791952321711743,0.07188931032243477,0.18405589537382983,0.09269732471811952
7.5,0.144867885,0.039510562856537874,0.005244612745313726,0.027646424568330528,0.051374701144745225,0.14168338670853334,0.025315543870765473,0.08441564780973404,0.19895112560733264,0.10217282385199547
8.0,0.147479674,0.04367541815473557,0.0060849046808427705,0.029910407445682664,0.05744042886378848,0.15740415144660805,0.02612235242758405,0.09831128479194962,0.21649701810126648,0.11372873329187247
8.5,0.150091463,0.04740089846797527,0.006912834149203887,0.03176298118173128,0.06303881575421927,0.17382992056250043,0.029459195835565704,0.10718858969115383,0.24047125143384704,0.12642902209452517
9.0,0.15270325199999998,0.0509959765431655,0.007832805674681361,0.03327693908094082,0.06871501400539018,0.18778534136426858,0.034409843621463924,0.10994486714328452,0.26562581558525267,0.1367893648211031
9.5,0.155315041,0.054442800549990275,0.008813623400603007,0.034504999243617676,0.07438060185636287,0.19806489977158195,0.03903136627043304,0.10976981498693995,0.28635998455622397,0.1436220992215917
10.0,0.15792683,0.05765739931544835,0.00958195252656531,0.03598151677335071,0.079333281857546,0.2060052190664215,0.042660930148676564,0.10949949035657441,0.3025109477762686,0.14834781975097314
10.5,0.16074187099999998,0.060622471311741435,0.010279729768349736,0.03736810698406457,0.0838768356394183,0.2123457448111828,0.04518184071735343,0.11013732020148874,0.31455416942087683,0.15172327349944137
11.0,0.163556912,0.06406897120462753,0.010942412685952497,0.03931551396819452,0.08882242844106053,0.2187755553784771,0.04661389108546297,0.1133276077709962,0.324223502985958,0.15470658417384958
11.5,0.166371953,0.06713800924115461,0.011557030746371365,0.04099418935692557,0.09328182912538364,0.22619387327974466,0.047208824162563924,0.119400093550481,0.33298765300900834,0.15905586403859007
12.0,0.169186994,0.07043159405092923,0.012235675985787233,0.04275257197731876,0.09811061612453971,0.23686639465246837,0.047115578231974584,0.1302835518729944,0.34344923743194233,0.16643480060153915
12.5,0.172002035,0.07395219684854643,0.01305047992081793,0.044429960216984546,0.1034744334801083,0.2507804845198653,0.047289939795704665,0.14380320848007286,0.3577577605596577,0.17682828767131886
13.0,0.17481707600000002,0.07736912731106564,0.013988533070615447,0.045724867027551463,0.10901338759457982,0.26688599370003885,0.049125628141166576,0.15575610212079197,0.37801588527928576,0.1895168663889732
13.5,0.177632117,0.08089920906032286,0.015138980989498648,0.046652454776616455,0.11514596334402927,0.28303625363482904,0.05228048739935898,0.16476957458686564,0.40130293268279243,0.20213704457450618
14.0,0.180447158,0.0841720674507307,0.01642731825837493,0.047010891786063935,0.12133324311539748,0.2978618539096713,0.0553637093663472,0.17262044220441639,0.42310326561492617,0.2136897864589406
14.5,0.18326219900000001,0.08710689796002338,0.017710932431387567,0.04704198529953503,0.12717181062051175,0.31288123940836166,0.05701610385567963,0.18390185167320275,0.4418606271435206,0.22577434144833827
15.0,0.18607724,0.08995421393460634,0.01885202035012478,0.04730798106530033,0.13260044680391236,0.3311817430986249,0.05701614748185705,0.20220225667419628,0.46016122952305355,0.24122752916401857
15.5,0.188485776,0.09221115882166603,0.01989018195935092,0.04721644123184896,0.1372058764114831,0.35099576234067414,0.05848544273739451,0.21869249912958388,0.4832990255517644,0.2587846035190081
16.0,0.190894312,0.09367745240296702,0.020687364636538502,0.046879382309846854,0.1404755224960872,0.35425992151622426,0.05959683809591022,0.2194425073341049,0.48907733569834366,0.2605824691132572
16.5,0.193302848,0.09476725804128047,0.021360369595267378,0.046446744960135455,0.1430877711224255,0.3476476692830648,0.06070711391151388,0.21031863671193393,0.4849767018541956,0.2528804112417843
17.0,0.19571138400000002,0.09528139175871517,0.021900009075368758,0.04574012936229995,0.14482265415513038,0.3433712150166382,0.062361630272833285,0.20229940640768934,0.48444302362558705,0.24808982325792303
17.5,0.19811992,0.09549610813202966,0.02228117408390521,0.045092590581324365,0.14589962568273496,0.3417151801348788,0.06342065269150965,0.19824769637589812,0.48518266389385944,0.24621907200284912
18.0,0.200528456,0.09549796184936898,0.02271439498990903,0.04411443052304901,0.14688149317568897,0.34304806660958687,0.06368968034495029,0.19897200001736962,0.48712413320180414,0.24755010476021788
18.5,0.202936992,0.09576169992272361,0.023033082656398893,0.04365724700894033,0.1478661528365069,0.3466813075515106,0.06344564051691354,0.20315729740430838,0.49020531769871284,0.250919607628787
19.0,0.205345528,0.09628573756355575,0.02342076947761509,0.04330427613021411,0.1492671989968974,0.3556456647663607,0.06247935186031173,0.21430755142507496,0.4969837781076465,0.259359927202805
19.5,0.20775406400000002,0.09700058251937872,0.02382760525133958,0.04309879462640094,0.1509023704123565,0.3735429834575884,0.06218360354811329,0.23287389927914434,0.5142120676360324,0.2765424009382097
20.0,0.2101626,0.09811511425475629,0.024307349642010593,0.043128069152083,0.15310215935742957,0.3891831169453118,0.0624140436952423,0.24799274093743073,0.5303734929531929,0.29106800269055555
20.5,0.21271510700000001,0.09909404617300678,0.024821170448773917,0.042944657651890365,0.1552434346941232,0.4001338104624456,0.060761046736845174,0.2626827733641786,0.5375848475607126,0.30103976428943885
21.0,0.215267614,0.10005807343692778,0.025407999126849528,0.04258118621833442,0.15753496065552114,0.38216379667972866,0.06191838433773828,0.24209468003776094,0.5222329133216964,0.28210572324280087
21.5,0.217820121,0.10070887546861833,0.026076544546423636,0.0417196334404421,0.15969811749679455,0.3671191479240544,0.06610816139540157,0.2175720971003319,0.516666198747777,0.2664102724554361
22.0,0.220372628,0.10106041830615645,0.026414855927792275,0.04130586276334209,0.1608149738489708,0.36768549881950374,0.06630628865034141,0.21769025300686246,0.517680744632145,0.2666250805133473
