delta,extrap_gap_all_points,extrap_gap_largest4,extrap_gap_quadratic,k_all_points,k_largest4,k_quadratic,label,lattice_length,n_points,pbe_gap_eV
0.037688,2.04933872548984,1.6651440879877875,1.5462969718306852,12.621536736765528,10.255345793810788,9.52338615044975,point1,5.8,6,0.1623684
0.062842,2.341773348176805,2.042301888136297,1.9747934293003173,8.510699181181339,7.422331038406873,7.176985268379427,point2,5.9,6,0.2751564
0.086419,2.6411569852586823,2.4123946152908307,2.3846974669639893,6.864514558114193,6.269948378308255,6.197961942451157,point3,6.0,6,0.3847551
0.107853,2.930805775341558,2.7582693382320134,2.759386487937482,6.002491220117518,5.649124764512078,5.651412763722074,point4,6.1,6,0.4882649
0.127447,3.2067595922953633,3.0786609752002825,3.100454331059178,5.469804979747009,5.251305764723583,5.288478930647461,point5,6.2,6,0.5862658
0.145561,3.4679078849058125,3.3746049101814304,3.410676857967377,5.096136862397729,4.95902689735689,5.0120351054498915,point6,6.3,6,0.6804974
0.162456,3.7137178145090033,3.6476753611675283,3.693421327354127,4.813384629683399,4.727786384017427,4.787078161559685,point7,6.4,6,0.7715398
0.178341,3.9441443107836394,3.898933208037984,3.950781144171046,4.584814666908127,4.5322596611471475,4.592529559837681,point8,6.5,6,0.86026254
