binding_energy_eV,converged,delta,e_tot,koopmans_gap_eV,lattice_length,nao,natoms,optical_gap_eV,status,wall_time_s
4.837900362352966,True,0.0864,-70.7891442843233,7.101098759676695,6.0,18,2,2.2631983973237295,ok,0.12888002395629883
3.982393636692092,True,0.0864,-141.58111621037853,5.67199696469206,6.0,36,4,1.6896033279999676,ok,0.7216520309448242
3.515265925634016,True,0.0864,-212.37274279855035,5.131145110336585,6.0,54,6,1.6158791847025693,ok,2.730458974838257
3.3409131670866907,True,0.0864,-283.16425774563083,4.86379940027889,6.0,72,8,1.5228862331921997,ok,7.182255983352661
3.262156242745255,True,0.0864,-353.9557236970329,4.711926158471571,6.0,90,10,1.4497699157263157,ok,15.855652809143066
3.2206244455901096,True,0.0864,-424.74716652503196,4.617419058914711,6.0,108,12,1.3967946133246016,ok,28.572179079055786
3.1962711045952554,True,0.0864,-495.53859749965284,4.554603412413123,6.0,126,14,1.358332307817868,ok,46.13311982154846
3.180880293730393,True,0.0864,-566.3300220207225,4.510681255275146,6.0,144,16,1.3298009615447526,ok,79.346764087677
3.163446243560516,True,0.0864,-707.9128615400457,4.454763372162523,6.0,180,20,1.2913171286020064,ok,200.77435278892517
3.15446367273385,True,0.0864,-849.4956954278671,4.4217399943394025,6.0,216,24,1.2672763216055523,ok,476.3560109138489
