pair,weight,hole_5s_character,electron_5s_character
0,0.6966791081589649,9.755464612893268e-28,0.5536088367831151
1,0.19119240424819828,3.3641600828667277e-28,0.439961623556224
2,0.07444358990632464,2.6903687345514255e-28,0.23338906055710157
