# time  poten(istate=1)  kinen  toten
0.0000000000  -39.9061177900  0.0168553395  -39.8892624505
4.1341370000  -39.9066095600  0.0173468921  -39.8892626679
8.2682740000  -39.9071253500  0.0178628755  -39.8892624745
12.4024110000  -39.9076640900  0.0184017524  -39.8892623376
16.5365480000  -39.9082240800  0.0189618518  -39.8892622282
20.6706850000  -39.9088035400  0.0195413882  -39.8892621518
24.8048220000  -39.9094005700  0.0201384506  -39.8892621194
28.9389590000  -39.9100130600  0.0207509908  -39.8892620692
33.0730960000  -39.9106389600  0.0213767899  -39.8892621701
37.2072330000  -39.9112757700  0.0220134525  -39.8892623175
41.3413700000  -39.9119210500  0.0226584042  -39.8892626458
45.4755070000  -39.9125716900  0.0233088562  -39.8892628338
49.6096440000  -39.9132247400  0.0239618151  -39.8892629249
53.7437810000  -39.9138772500  0.0246140825  -39.8892631675
57.8779180000  -39.9145256700  0.0252622417  -39.8892634283
62.0120550000  -39.9151663700  0.0259026709  -39.8892636991
66.1461920000  -39.9157955600  0.0265315575  -39.8892640025
70.2803290000  -39.9164092700  0.0271449257  -39.8892643443
74.4144660000  -39.9170034100  0.0277386797  -39.8892647303
78.5486030000  -39.9175737900  0.0283086495  -39.8892651405
82.6827400000  -39.9181162300  0.0288506522  -39.8892655778
86.8168770000  -39.9186265900  0.0293605717  -39.8892660183
90.9510140000  -39.9191010500  0.0298344437  -39.8892666063
95.0851510000  -39.9195355400  0.0302685404  -39.8892669996
99.2192880000  -39.9199265700  0.0306594596  -39.8892671104
103.3534250000  -39.9202724100  0.0310044156  -39.8892679944
107.4875620000  -39.9205692600  0.0313012232  -39.8892680368
111.6216990000  -39.9208168500  0.0315484305  -39.8892684195
115.7558360000  -39.9210141600  0.0317456289  -39.8892685311
119.8899730000  -39.9211620300  0.0318934113  -39.8892686187
124.0241100000  -39.9212621000  0.0319935984  -39.8892685016
128.1582470000  -39.9213176600  0.0320493403  -39.8892683197
132.2923840000  -39.9213333000  0.0320651294  -39.8892681706
136.4265210000  -39.9213150300  0.0320471172  -39.8892679128
140.5606580000  -39.9212706400  0.0320030711  -39.8892675689
144.6947950000  -39.9212092800  0.0319421596  -39.8892671204
148.8289320000  -39.9211415400  0.0318749950  -39.8892665450
152.9630690000  -39.9210793400  0.0318134721  -39.8892658679
157.0972060000  -39.9210355600  0.0317705003  -39.8892650597
161.2313430000  -39.9210238600  0.0317597233  -39.8892641367
165.3654800000  -39.9210583200  0.0317951398  -39.8892631802
169.4996170000  -39.9211528600  0.0318906608  -39.8892621992
173.6337540000  -39.9213208700  0.0320596916  -39.8892611784
177.7678910000  -39.9215748100  0.0323145856  -39.8892602244
181.9020280000  -39.9219262200  0.0326661514  -39.8892600686
186.0361650000  -39.9223817500  0.0331231139  -39.8892586361
190.1703020000  -39.9229505600  0.0336917733  -39.8892587867
194.3044390000  -39.9236340700  0.0343756301  -39.8892584399
198.4385760000  -39.9244334200  0.0351751237  -39.8892582963
202.5727130000  -39.9253460100  0.0360875259  -39.8892584841
206.7068500000  -39.9263655800  0.0371068811  -39.8892586989
210.8409870000  -39.9274832800  0.0382241292  -39.8892591508
214.9751240000  -39.9286871400  0.0394274067  -39.8892597333
219.1092610000  -39.9299628400  0.0407023930  -39.8892604470
223.2433980000  -39.9312940200  0.0420327558  -39.8892612642
227.3775350000  -39.9326628400  0.0434006841  -39.8892621559
231.5116720000  -39.9340496500  0.0447875076  -39.8892621424
235.6458090000  -39.9354370800  0.0461741562  -39.8892629238
239.7799460000  -39.9368053800  0.0475416990  -39.8892636810
243.9140830000  -39.9381363500  0.0488719777  -39.8892643723
248.0482200000  -39.9394129900  0.0501479950  -39.8892649950
252.1823570000  -39.9406198000  0.0513542790  -39.8892655210
256.3164940000  -39.9417431200  0.0524771686  -39.8892659514
260.4506310000  -39.9427712600  0.0535050010  -39.8892662590
264.5847680000  -39.9436950700  0.0544282589  -39.8892668111
268.7189050000  -39.9445064400  0.0552395616  -39.8892668784
272.8530420000  -39.9452004300  0.0559336084  -39.8892668216
276.9871790000  -39.9457738000  0.0565071520  -39.8892666480
281.1213160000  -39.9462251900  0.0569588381  -39.8892663519
285.2554530000  -39.9465549600  0.0572890430  -39.8892659170
289.3895900000  -39.9467650500  0.0574996766  -39.8892653734
293.5237270000  -39.9468587000  0.0575939869  -39.8892647131
297.6578640000  -39.9468404400  0.0575764435  -39.8892639965
301.7920010000  -39.9467161700  0.0574524790  -39.8892636910
305.9261380000  -39.9464912000  0.0572284088  -39.8892627912
310.0602750000  -39.9461729600  0.0569112971  -39.8892616629
314.1944120000  -39.9457693100  0.0565087120  -39.8892605980
318.3285490000  -39.9452883000  0.0560287683  -39.8892595317
322.4626860000  -39.9447386900  0.0554801507  -39.8892585393
326.5968230000  -39.9441291900  0.0548716581  -39.8892575319
330.7309600000  -39.9434692500  0.0542125632  -39.8892566868
334.8650970000  -39.9427678400  0.0535123537  -39.8892554863
338.9992340000  -39.9420353200  0.0527803521  -39.8892549679
343.1333710000  -39.9412794800  0.0520258599  -39.8892536201
347.2675080000  -39.9405096500  0.0512564468  -39.8892532032
351.4016450000  -39.9397270400  0.0504733804  -39.8892536596
355.5357820000  -39.9388890400  0.0495792115  -39.8893098285
359.6699190000  -39.9414896500  0.0490019392  -39.8924877108
363.8040560000  -39.9413507500  0.0488638126  -39.8924869374
367.9381930000  -39.9412688200  0.0487788585  -39.8924899615
372.0723300000  -39.9412468500  0.0487597372  -39.8924871128
376.2064670000  -39.9413058700  0.0488189105  -39.8924869595
380.3406040000  -39.9414544200  0.0489675963  -39.8924868237
384.4747410000  -39.9417025800  0.0492160555  -39.8924865245
388.6088780000  -39.9420598000  0.0495732472  -39.8924865528
392.7430150000  -39.9425349500  0.0500469080  -39.8924880420
396.8771520000  -39.9431317300  0.0506438414  -39.8924878886
401.0112890000  -39.9438569500  0.0513699311  -39.8924870189
405.1454260000  -39.9447178300  0.0522299422  -39.8924878878
