    Step            Time                Epot                Ekin                Etot
      39    322.46272169    -76.446670954796      0.004432277284    -76.442238677512
      40    330.73099661    -76.449542599757      0.007278206448    -76.442264393309
      41    338.99927152    -76.452789019988      0.010498679046    -76.442290340942
      42    347.26754644    -76.455988392073      0.013676735462    -76.442311656611
      43    355.53582135    -76.458782937219      0.016457294982    -76.442325642237
      44    363.80409627    -76.460923060828      0.018591286891    -76.442331773937
      45    372.07237118    -76.462278519096      0.019947432086    -76.442331087010
      46    380.34064610    -76.462825327423      0.020499905577    -76.442325421846
      47    388.60892101    -76.462620047669      0.020303292113    -76.442316755556
      48    396.87719593    -76.461771284285      0.019464549347    -76.442306734938
      49    405.14547084    -76.460414614894      0.018118092293    -76.442296522601
      50    413.41374576    -76.458693577460      0.016406696824    -76.442286880637
      51    421.68202067    -76.456746836921      0.014468565153    -76.442278271769
      52    429.95029559    -76.454700559641      0.012429655424    -76.442270904217
      53    438.21857050    -76.452664739842      0.010399945771    -76.442264794071
      54    446.48684542    -76.450732188460      0.008472337945    -76.442259850515
      55    454.75512033    -76.448979089419      0.006723146935    -76.442255942485
      56    463.02339525    -76.447466343203      0.005213406724    -76.442252936479
      57    471.29167016    -76.446241183296      0.003990469046    -76.442250714250
      58    479.55994508    -76.445338739285      0.003089558306    -76.442249180978
      59    487.82821999    -76.444783344429      0.002535074133    -76.442248270296
      60    496.09649491    -76.444589463389      0.002341515070    -76.442247948319
      61    504.36476982    -76.444762164451      0.002513948058    -76.442248216393
      62    512.63304474    -76.445297094306      0.003047981427    -76.442249112879
      63    520.90131966    -76.446179931795      0.003929218229    -76.442250713565
      64    529.16959457    -76.447385324834      0.005132194293    -76.442253130541
      65    537.43786949    -76.448875341213      0.006618831982    -76.442256509230
      66    545.70614440    -76.450597515354      0.008336495550    -76.442261019804
      67    553.97441932    -76.452482657806      0.010215814395    -76.442266843411
      68    562.24269423    -76.454442730306      0.012168594640    -76.442274135667
      69    570.51096915    -76.456369315471      0.014086355179    -76.442282960292
      70    578.77924406    -76.458133517978      0.015840311508    -76.442293206469
      71    587.04751898    -76.459588541575      0.017284055773    -76.442304485802
      72    595.31579389    -76.460576577145      0.018260549993    -76.442316027152
      73    603.58406881    -76.460941811167      0.018615247899    -76.442326563268
      74    611.85234372    -76.460551117962      0.018216890834    -76.442334227128
      75    620.12061864    -76.459322889927      0.016986246225    -76.442336643702
      76    628.38889355    -76.457261735355      0.014930312569    -76.442331422786
      77    636.65716847    -76.454492129719      0.012175121445    -76.442317008274
      78    644.92544338    -76.451278805981      0.008985134055    -76.442293671925
      79    653.19371830    -76.448018384527      0.005753977230    -76.442264407297
      80    661.46199321    -76.445189388588      0.002954299394    -76.442235089195
      81    669.73026813    -76.443260408170      0.001047242849    -76.442213165321
      82    677.99854304    -76.442577222463      0.000372224981    -76.442204997482
      83    686.26681796    -76.443267939511      0.001054833534    -76.442213105976
      84    694.53509287    -76.445205710440      0.002970725418    -76.442234985023
      85    702.80336779    -76.448045895554      0.005781626304    -76.442264269250
      86    711.07164270    -76.451321040781      0.009027555355    -76.442293485425
      87    719.33991762    -76.454554107786      0.012237377661    -76.442316730125
      88    727.60819253    -76.457350669905      0.015019668188    -76.442331001718
      89    735.87646745    -76.459448962924      0.017112907551    -76.442336055373
      90    744.14474236    -76.460727876400      0.018394389534    -76.442333486866
      91    752.41301728    -76.461185844052      0.018860113479    -76.442325730573
      92    760.68129219    -76.460906332474      0.018591110869    -76.442315221606
      93    768.94956711    -76.460022333826      0.017718460232    -76.442303873593
      94    777.21784203    -76.458686997277      0.016394040921    -76.442292956356
      95    785.48611694    -76.457052832615      0.014769623770    -76.442283208846
      96    793.75439186    -76.455259023153      0.012984043716    -76.442274979437
      97    802.02266677    -76.453425185979      0.011156856783    -76.442268329196
      98    810.29094169    -76.451649670184      0.009386537999    -76.442263132186
      99    818.55921660    -76.450010635742      0.007751460987    -76.442259174754
     100    826.82749152    -76.448568525465      0.006312299960    -76.442256225505
     101    835.09576643    -76.447368967485      0.005114890233    -76.442254077252
     102    843.36404135    -76.446445517195      0.004192948840    -76.442252568355
     103    851.63231626    -76.445821903555      0.003570316909    -76.442251586645
     104    859.90059118    -76.445513625636      0.003262556602    -76.442251069033
     105    868.16886609    -76.445528858298      0.003277860628    -76.442250997669
     106    876.43714101    -76.445868690305      0.003617294448    -76.442251395857
     107    884.70541592    -76.446526749820      0.004274426147    -76.442252323673
     108    892.97369084    -76.447488296929      0.005234424554    -76.442253872376
     109    901.24196575    -76.448728869625      0.006472710134    -76.442256159491
     110    909.51024067    -76.450212586981      0.007953264292    -76.442259322690
     111    917.77851558    -76.451890248585      0.009626737766    -76.442263510819
     112    926.04679050    -76.453697426741      0.011428559357    -76.442268867384
     113    934.31506541    -76.455552852997      0.013277356236    -76.442275496761
     114    942.58334033    -76.457357563986      0.015074157635    -76.442283406351
     115    950.85161524    -76.458995505585      0.016703072933    -76.442292432652
     116    959.11989016    -76.460336569298      0.018034394050    -76.442302175248
     117    967.38816507    -76.461243233604      0.018931283501    -76.442311950103
     118    975.65643999    -76.461582000642      0.019261292443    -76.442320708199
     119    983.92471490    -76.461240567271      0.018913602138    -76.442326965133
     120    992.19298982    -76.460150735588      0.017821829268    -76.442328906319
     121   1000.46126473    -76.458315009485      0.015990267252    -76.442324742234
     122   1008.72953965    -76.455831717016      0.013518408162    -76.442313308854
     123   1016.99781456    -76.452910089586      0.010615305963    -76.442294783624
     124   1025.26608948    -76.449864705287      0.007593432016    -76.442271273271
     125   1033.53436440    -76.447080605422      0.004833687678    -76.442246917744
     126   1041.80263931    -76.444948377345      0.002721262496    -76.442227114849
     127   1050.07091423    -76.443781729843      0.001564879885    -76.442216849958
     128   1058.33918914    -76.443742527553      0.001523738492    -76.442218789062
     129   1066.60746406    -76.444800938974      0.002568768187    -76.442232170787
     130   1074.87573897    -76.446746604386      0.004493438592    -76.442253165794
     131   1083.14401389    -76.449245744420      0.006969270688    -76.442276473732
     132   1091.41228880    -76.451921245034      0.009624022683    -76.442297222350
     133   1099.68056372    -76.454427868477      0.012115630137    -76.442312238340
     134   1107.94883863    -76.456503009111      0.014182643446    -76.442320365665
     135   1116.21711355    -76.457987163397      0.015665063904    -76.442322099492
     136   1124.48538846    -76.458819265853      0.016500350342    -76.442318915510
     137   1132.75366338    -76.459016928403      0.016704362332    -76.442312566070
     138   1141.02193829    -76.458651424780      0.016346827384    -76.442304597396
     139   1149.29021321    -76.457824266975      0.015528086656    -76.442296180318
     140   1157.55848812    -76.456648715298      0.014360607457    -76.442288107841
     141   1165.82676304    -76.455237052524      0.012956220442    -76.442280832082
     142   1174.09503795    -76.453693063330      0.011418528785    -76.442274534544
     143   1182.36331287    -76.452108500984      0.009839279232    -76.442269221752
     144   1190.63158778    -76.450562196251      0.008297386447    -76.442264809804
     145   1198.89986270    -76.449120672060      0.006859491297    -76.442261180763
     146   1207.16813761    -76.447839436684      0.005581220469    -76.442258216214
     147   1215.43641253    -76.446764409599      0.004508593178    -76.442255816421
     148   1223.70468744    -76.445933154883      0.003679244936    -76.442253909948
     149   1231.97296236    -76.445375754538      0.003123296925    -76.442252457613
     150   1240.24123727    -76.445115253768      0.002863801420    -76.442251452348
     151   1248.50951219    -76.445167669408      0.002916752568    -76.442250916840
     152   1256.77778710    -76.445541571085      0.003290668860    -76.442250902225
     153   1265.04606202    -76.446237262710      0.003985775907    -76.442251486803
     154   1273.31433693    -76.447245592131      0.004992818288    -76.442252773843
     155   1281.58261185    -76.448546422588      0.006291533857    -76.442254888732
     156   1289.85088676    -76.450106822989      0.007848847542    -76.442257975447
     157   1298.11916168    -76.451879070388      0.009616879315    -76.442262191073
     158   1306.38743660    -76.453798631813      0.011530940846    -76.442267690968
     159   1314.65571151    -76.455782413484      0.013507818075    -76.442274595408
     160   1322.92398643    -76.457727757000      0.015444833684    -76.442282923316
     161   1331.19226134    -76.459512947410      0.017220446114    -76.442292501296
     162   1339.46053626    -76.461000345619      0.018697446034    -76.442302899585
     163   1347.72881117    -76.462043495418      0.019730102459    -76.442313392959
     164   1355.99708609    -76.462499542095      0.020176696319    -76.442322845776
     165   1364.26536100    -76.462248093717      0.019918508414    -76.442329585303
     166   1372.53363592    -76.461216666035      0.018885129470    -76.442331536565
     167   1380.80191083    -76.459410314585      0.017083573099    -76.442326741485
     168   1389.07018575    -76.456939140151      0.014625090328    -76.442314049823
     169   1397.33846066    -76.454033528713      0.011739675128    -76.442293853585
     170   1405.60673558    -76.451034968520      0.008766209686    -76.442268758834
     171   1413.87501049    -76.448352864943      0.006109208719    -76.442243656224
     172   1422.14328541    -76.446388180283      0.004163539189    -76.442224641094
     173   1430.41156032    -76.445441074456      0.003224165517    -76.442216908939
     174   1438.67983524    -76.445633387352      0.003410787002    -76.442222600350
     175   1446.94811015    -76.446876904633      0.004637061616    -76.442239843017
     176   1455.21638507    -76.448901100830      0.006637503275    -76.442263597556
     177   1463.48465998    -76.451328301280      0.009040524014    -76.442287777266
     178   1471.75293490    -76.453765793830      0.011458391088    -76.442307402742
     179   1480.02120981    -76.455883236425      0.013563461741    -76.442319774684
     180   1488.28948473    -76.457456897901      0.015132408119    -76.442324489781
     181   1496.55775964    -76.458379024496      0.016056239116    -76.442322785380
