t_fs P_1 P_2 Z
8.150000000000000000e+01 5.942222495922292458e-01 4.057777504077707542e-01 9.988273599578261219e-01
8.200000000000000000e+01 5.856977398456163497e-01 4.143022601543837058e-01 9.988618607317764075e-01
8.250000000000000000e+01 5.792235389527310430e-01 4.207764610472689015e-01 9.988727262764500736e-01
8.300000000000000000e+01 5.769075608603460026e-01 4.230924391396539974e-01 9.988672916052752093e-01
8.350000000000000000e+01 5.801007813327631046e-01 4.198992186672367843e-01 9.988578570145343338e-01
8.400000000000000000e+01 5.883368659493051211e-01 4.116631340506949344e-01 9.988539356945977943e-01
8.450000000000000000e+01 5.992348420215724003e-01 4.007651579784275997e-01 9.988587961031090146e-01
8.500000000000000000e+01 6.094563219333930526e-01 3.905436780666068919e-01 9.988723669125680882e-01
8.550000000000000000e+01 6.173759898780436517e-01 3.826240101219562928e-01 9.988992581578777230e-01
8.600000000000000000e+01 6.229447374905825452e-01 3.770552625094173993e-01 9.989444345795592817e-01
8.650000000000000000e+01 6.263754206440986794e-01 3.736245793559013206e-01 9.990153388354163777e-01
8.700000000000000000e+01 6.289084005874950867e-01 3.710915994125049688e-01 9.991129385645352023e-01
8.750000000000000000e+01 6.321054527235667742e-01 3.678945472764332258e-01 9.992281361239578885e-01
8.800000000000000000e+01 6.371147214526795555e-01 3.628852785473205000e-01 9.993425495010163084e-01
8.850000000000000000e+01 6.442466691922289490e-01 3.557533308077710510e-01 9.994351449909563145e-01
8.900000000000000000e+01 6.530152273467138002e-01 3.469847726532861443e-01 9.994910096946605371e-01
8.950000000000000000e+01 6.625655971302103486e-01 3.374344028697895959e-01 9.995066238677376980e-01
9.000000000000000000e+01 6.722314714806372216e-01 3.277685285193627229e-01 9.994891491555590868e-01
9.050000000000000000e+01 6.828050639255796028e-01 3.171949360744204527e-01 9.994540519316359450e-01
9.100000000000000000e+01 6.953828888238684502e-01 3.046171111761314942e-01 9.994214268578156535e-01
9.150000000000000000e+01 7.100488823801289762e-01 2.899511176198710238e-01 9.994032552018203841e-01
9.200000000000000000e+01 7.262210874127569271e-01 2.737789125872431284e-01 9.994001279310341657e-01
9.250000000000000000e+01 7.422239327917790064e-01 2.577760672082210491e-01 9.994052413567011683e-01
9.300000000000000000e+01 7.556103605301173198e-01 2.443896394698827079e-01 9.994107189116560042e-01
9.350000000000000000e+01 7.642817036848541523e-01 2.357182963151459032e-01 9.994102535165680923e-01
9.400000000000000000e+01 7.676849915173621364e-01 2.323150084826379469e-01 9.993973995437837043e-01
9.450000000000000000e+01 7.671469400493526880e-01 2.328530599506472842e-01 9.993646446642601155e-01
9.500000000000000000e+01 7.650128691471854703e-01 2.349871308528145575e-01 9.993071323943727435e-01
9.550000000000000000e+01 7.632702647556013353e-01 2.367297352443986369e-01 9.992281803528632045e-01
9.600000000000000000e+01 7.623952957955458798e-01 2.376047042044540647e-01 9.991431723102721651e-01
9.650000000000000000e+01 7.613864963208940573e-01 2.386135036791059982e-01 9.990656851593299193e-01
9.700000000000000000e+01 7.590884945149507512e-01 2.409115054850492210e-01 9.990059604626759793e-01
9.750000000000000000e+01 7.554780333337065557e-01 2.445219666662934166e-01 9.989724027096236192e-01
9.800000000000000000e+01 7.519198149427127609e-01 2.480801850572873224e-01 9.989740517448097989e-01
9.850000000000000000e+01 7.502275459075733455e-01 2.497724540924265713e-01 9.990175473235700654e-01
9.900000000000000000e+01 7.514393445773835944e-01 2.485606554226163778e-01 9.991020455378931686e-01
9.950000000000000000e+01 7.553085266207513193e-01 2.446914733792486252e-01 9.992199553171641213e-01
1.000000000000000000e+02 7.606289816317096664e-01 2.393710183682903336e-01 9.993616352327298058e-01
1.005000000000000000e+02 7.659662529013876453e-01 2.340337470986124102e-01 9.995164933870185342e-01
1.010000000000000000e+02 7.697749740478038172e-01 2.302250259521961828e-01 9.996715752860106941e-01
1.015000000000000000e+02 7.706344445580946001e-01 2.293655554419053721e-01 9.998186886316976496e-01
1.020000000000000000e+02 7.681189145666088569e-01 2.318810854333912264e-01 9.999605740921155839e-01
1.025000000000000000e+02 7.633194199544253156e-01 2.366805800455746844e-01 1.000108195019031809e+00
1.030000000000000000e+02 7.585666480711903414e-01 2.414333519288095475e-01 1.000269365268247057e+00
1.035000000000000000e+02 7.562148929045686696e-01 2.437851070954313581e-01 1.000442438147471469e+00
1.040000000000000000e+02 7.572153864343210694e-01 2.427846135656789583e-01 1.000620839566606746e+00
1.045000000000000000e+02 7.605532157242478331e-01 2.394467842757520837e-01 1.000799426657396740e+00
1.050000000000000000e+02 7.640357497144328880e-01 2.359642502855670287e-01 1.000974545875757071e+00
1.055000000000000000e+02 7.660319390980229182e-01 2.339680609019771651e-01 1.001141221207855647e+00
1.060000000000000000e+02 7.663327958183366873e-01 2.336672041816633405e-01 1.001291818397003208e+00
1.065000000000000000e+02 7.658722085722442507e-01 2.341277914277558603e-01 1.001421430683610225e+00
1.070000000000000000e+02 7.658660226712999952e-01 2.341339773286999770e-01 1.001528876228262144e+00
1.075000000000000000e+02 7.667956234119833736e-01 2.332043765880165154e-01 1.001616253310421145e+00
1.080000000000000000e+02 7.682408778553954098e-01 2.317591221446044791e-01 1.001688086809787048e+00
1.085000000000000000e+02 7.694910300291171179e-01 2.305089699708829099e-01 1.001750588492631655e+00
1.090000000000000000e+02 7.702372923895589585e-01 2.297627076104408750e-01 1.001810251661829465e+00
1.095000000000000000e+02 7.707376756390242889e-01 2.292623243609756278e-01 1.001871387597496499e+00
1.100000000000000000e+02 7.714159213970762652e-01 2.285840786029236515e-01 1.001933389048180301e+00
1.105000000000000000e+02 7.728103570578158665e-01 2.271896429421840502e-01 1.001990286370565642e+00
1.110000000000000000e+02 7.747335768436872661e-01 2.252664231563127617e-01 1.002030458896485232e+00
1.115000000000000000e+02 7.761751977739466124e-01 2.238248022260533598e-01 1.002046651972476665e+00
1.120000000000000000e+02 7.764708045644916901e-01 2.235291954355082267e-01 1.002037951902404744e+00
1.125000000000000000e+02 7.756807491596915405e-01 2.243192508403085428e-01 1.002006093058509961e+00
1.130000000000000000e+02 7.744884625425061397e-01 2.255115374574938880e-01 1.001950434753539287e+00
1.135000000000000000e+02 7.737479650706859946e-01 2.262520349293140054e-01 1.001868678464068241e+00
1.140000000000000000e+02 7.740031117117076587e-01 2.259968882882922581e-01 1.001762465202686858e+00
1.145000000000000000e+02 7.752538751264641537e-01 2.247461248735359574e-01 1.001640313781046787e+00
1.150000000000000000e+02 7.770532916680711333e-01 2.229467083319289222e-01 1.001514378293997920e+00
1.155000000000000000e+02 7.792151368370866527e-01 2.207848631629132363e-01 1.001400194957632106e+00
1.160000000000000000e+02 7.815913539687490141e-01 2.184086460312509304e-01 1.001298816018137083e+00
1.165000000000000000e+02 7.838978435340074880e-01 2.161021564659925398e-01 1.001208453882274307e+00
1.170000000000000000e+02 7.861064301708522439e-01 2.138935698291477006e-01 1.001119431779286417e+00
1.175000000000000000e+02 7.881669196444772707e-01 2.118330803555225905e-01 1.001015216437780353e+00
1.180000000000000000e+02 7.897777862340343846e-01 2.102222137659656154e-01 1.000876868492786675e+00
1.185000000000000000e+02 7.904829600179273941e-01 2.095170399820725782e-01 1.000687482235492309e+00
1.190000000000000000e+02 7.900924557205277754e-01 2.099075442794722246e-01 1.000434372526281424e+00
1.195000000000000000e+02 7.890624485714657910e-01 2.109375514285341535e-01 1.000111642744443419e+00
1.200000000000000000e+02 7.883912260704508679e-01 2.116087739295491599e-01 9.997249227495011992e-01
