t_fs P_S1 P_S2
3.050000000000000000e+01 6.357789000000000357e-01 3.642211000000000198e-01
3.100000000000000000e+01 6.453046399999999849e-01 3.546953600000000151e-01
3.150000000000000000e+01 6.545286700000000346e-01 3.454713300000000209e-01
3.200000000000000000e+01 6.633437199999999700e-01 3.366562799999999744e-01
3.250000000000000000e+01 6.717397099999999899e-01 3.282602900000000101e-01
3.300000000000000000e+01 6.797861299999999884e-01 3.202138700000000116e-01
3.350000000000000000e+01 6.873740299999999692e-01 3.126259699999999753e-01
3.400000000000000000e+01 6.944027799999999973e-01 3.055972200000000027e-01
3.450000000000000000e+01 7.011816100000000107e-01 2.988183899999999893e-01
3.500000000000000000e+01 7.081312400000000506e-01 2.918687600000000049e-01
3.550000000000000000e+01 7.151776899999999770e-01 2.848223100000000230e-01
3.600000000000000000e+01 7.219458199999999604e-01 2.780541799999999841e-01
3.650000000000000000e+01 7.283968499999999846e-01 2.716031500000000154e-01
3.700000000000000000e+01 7.348099999999999632e-01 2.651899999999999813e-01
3.750000000000000000e+01 7.413140499999999466e-01 2.586859499999999978e-01
3.800000000000000000e+01 7.478427100000000216e-01 2.521572899999999784e-01
3.850000000000000000e+01 7.544048399999999654e-01 2.455951600000000068e-01
3.900000000000000000e+01 7.610892200000000107e-01 2.389107799999999893e-01
3.950000000000000000e+01 7.678983000000000336e-01 2.321016999999999941e-01
4.000000000000000000e+01 7.747547599999999868e-01 2.252452400000000132e-01
4.050000000000000000e+01 7.815942500000000459e-01 2.184057500000000096e-01
4.100000000000000000e+01 7.883910800000000219e-01 2.116089200000000059e-01
4.150000000000000000e+01 7.951710199999999507e-01 2.048289799999999938e-01
4.200000000000000000e+01 8.019712399999999741e-01 1.980287599999999981e-01
4.250000000000000000e+01 8.087087800000000160e-01 1.912912200000000118e-01
4.300000000000000000e+01 8.151628100000000154e-01 1.848371900000000123e-01
4.350000000000000000e+01 8.211628499999999997e-01 1.788371500000000003e-01
4.400000000000000000e+01 8.267327700000000057e-01 1.732672299999999943e-01
4.450000000000000000e+01 8.320065500000000114e-01 1.679934499999999886e-01
4.500000000000000000e+01 8.370628100000000460e-01 1.629371900000000095e-01
4.550000000000000000e+01 8.418730700000000011e-01 1.581269299999999989e-01
4.600000000000000000e+01 8.463346800000000059e-01 1.536653199999999941e-01
4.650000000000000000e+01 8.502771300000000476e-01 1.497228700000000079e-01
4.700000000000000000e+01 8.534658400000000311e-01 1.465341599999999966e-01
4.750000000000000000e+01 8.556830500000000006e-01 1.443169499999999994e-01
4.800000000000000000e+01 8.568667699999999998e-01 1.431332300000000002e-01
4.850000000000000000e+01 8.572191900000000198e-01 1.427808100000000080e-01
4.900000000000000000e+01 8.571815999999999880e-01 1.428184000000000120e-01
4.950000000000000000e+01 8.572259500000000143e-01 1.427740500000000134e-01
5.000000000000000000e+01 8.576252300000000162e-01 1.423747700000000116e-01
5.050000000000000000e+01 8.584179400000000459e-01 1.415820600000000096e-01
5.100000000000000000e+01 8.594553999999999805e-01 1.405445999999999918e-01
5.150000000000000000e+01 8.603820699999999988e-01 1.396179300000000012e-01
5.200000000000000000e+01 8.607836300000000218e-01 1.392163700000000059e-01
5.250000000000000000e+01 8.605487699999999629e-01 1.394512300000000093e-01
5.300000000000000000e+01 8.599428500000000364e-01 1.400571499999999914e-01
5.350000000000000000e+01 8.592600500000000530e-01 1.407399500000000026e-01
5.400000000000000000e+01 8.585958799999999780e-01 1.414041199999999943e-01
5.450000000000000000e+01 8.578966399999999881e-01 1.421033600000000119e-01
5.500000000000000000e+01 8.569200700000000337e-01 1.430799299999999941e-01
5.550000000000000000e+01 8.552689399999999775e-01 1.447310599999999947e-01
5.600000000000000000e+01 8.528642400000000512e-01 1.471357600000000043e-01
5.650000000000000000e+01 8.503278499999999962e-01 1.496721500000000038e-01
5.700000000000000000e+01 8.486801099999999876e-01 1.513198900000000124e-01
5.750000000000000000e+01 8.487849800000000222e-01 1.512150200000000055e-01
5.800000000000000000e+01 8.509932999999999526e-01 1.490066999999999919e-01
5.850000000000000000e+01 8.547739600000000548e-01 1.452260400000000007e-01
5.900000000000000000e+01 8.585973900000000159e-01 1.414026100000000119e-01
5.950000000000000000e+01 8.607202800000000043e-01 1.392797199999999957e-01
6.000000000000000000e+01 8.603219399999999517e-01 1.396780599999999928e-01
6.050000000000000000e+01 8.578954100000000249e-01 1.421045900000000028e-01
6.100000000000000000e+01 8.549023799999999618e-01 1.450976200000000105e-01
6.150000000000000000e+01 8.530159800000000070e-01 1.469840199999999930e-01
6.200000000000000000e+01 8.530895200000000456e-01 1.469104800000000099e-01
6.250000000000000000e+01 8.547064199999999667e-01 1.452935800000000055e-01
6.300000000000000000e+01 8.568596899999999517e-01 1.431403099999999928e-01
6.350000000000000000e+01 8.587776200000000193e-01 1.412223800000000085e-01
6.400000000000000000e+01 8.600920499999999969e-01 1.399079500000000031e-01
6.450000000000000000e+01 8.607753500000000502e-01 1.392246500000000053e-01
6.500000000000000000e+01 8.610628500000000463e-01 1.389371500000000093e-01
6.550000000000000000e+01 8.611797599999999608e-01 1.388202400000000114e-01
6.600000000000000000e+01 8.610630200000000123e-01 1.389369799999999877e-01
6.650000000000000000e+01 8.603800600000000021e-01 1.396199399999999979e-01
6.700000000000000000e+01 8.589182400000000550e-01 1.410817600000000005e-01
6.750000000000000000e+01 8.569438600000000017e-01 1.430561399999999983e-01
6.800000000000000000e+01 8.550417200000000051e-01 1.449582799999999949e-01
6.850000000000000000e+01 8.536856299999999731e-01 1.463143699999999992e-01
6.900000000000000000e+01 8.531159999999999854e-01 1.468839999999999868e-01
6.950000000000000000e+01 8.534960099999999716e-01 1.465039900000000006e-01
7.000000000000000000e+01 8.548881200000000291e-01 1.451118799999999986e-01
7.050000000000000000e+01 8.570636299999999652e-01 1.429363700000000070e-01
7.100000000000000000e+01 8.595393300000000458e-01 1.404606700000000097e-01
7.150000000000000000e+01 8.617690199999999967e-01 1.382309800000000033e-01
7.200000000000000000e+01 8.631863800000000309e-01 1.368136199999999969e-01
7.250000000000000000e+01 8.632436999999999472e-01 1.367562999999999973e-01
7.300000000000000000e+01 8.615793899999999450e-01 1.384206099999999995e-01
7.350000000000000000e+01 8.580148899999999745e-01 1.419851099999999977e-01
7.400000000000000000e+01 8.523314800000000302e-01 1.476685199999999976e-01
7.450000000000000000e+01 8.442140299999999487e-01 1.557859699999999958e-01
7.500000000000000000e+01 8.333901500000000517e-01 1.666098500000000038e-01
7.550000000000000000e+01 8.196475100000000236e-01 1.803524900000000042e-01
7.600000000000000000e+01 8.028182099999999766e-01 1.971817899999999957e-01
7.650000000000000000e+01 7.829559699999999456e-01 2.170440299999999989e-01
7.700000000000000000e+01 7.604499500000000412e-01 2.395500499999999866e-01
7.750000000000000000e+01 7.358517199999999869e-01 2.641482800000000131e-01
7.800000000000000000e+01 7.097023000000000081e-01 2.902976999999999919e-01
7.850000000000000000e+01 6.825826200000000288e-01 3.174173800000000267e-01
7.900000000000000000e+01 6.552422399999999758e-01 3.447577600000000242e-01
7.950000000000000000e+01 6.286258200000000018e-01 3.713741799999999982e-01
8.000000000000000000e+01 6.037293999999999716e-01 3.962705999999999729e-01
8.050000000000000000e+01 5.813824600000000453e-01 4.186175400000000102e-01
8.100000000000000000e+01 5.621655399999999636e-01 4.378344599999999809e-01
8.150000000000000000e+01 5.464077099999999909e-01 4.535922900000000091e-01
8.200000000000000000e+01 5.341263800000000117e-01 4.658736199999999883e-01
8.250000000000000000e+01 5.251410300000000086e-01 4.748589699999999914e-01
8.300000000000000000e+01 5.193374899999999572e-01 4.806625099999999873e-01
8.350000000000000000e+01 5.165429799999999849e-01 4.834570200000000151e-01
8.400000000000000000e+01 5.161605999999999694e-01 4.838393999999999751e-01
8.450000000000000000e+01 5.173212400000000155e-01 4.826787599999999845e-01
8.500000000000000000e+01 5.193466500000000208e-01 4.806533499999999792e-01
8.550000000000000000e+01 5.218413600000000319e-01 4.781586400000000237e-01
8.600000000000000000e+01 5.246294299999999522e-01 4.753705699999999923e-01
8.650000000000000000e+01 5.277700199999999509e-01 4.722299799999999936e-01
8.700000000000000000e+01 5.313362799999999941e-01 4.686637200000000059e-01
8.750000000000000000e+01 5.352819199999999666e-01 4.647180799999999778e-01
8.800000000000000000e+01 5.397913800000000428e-01 4.602086200000000127e-01
8.850000000000000000e+01 5.453601000000000143e-01 4.546398999999999857e-01
8.900000000000000000e+01 5.522733199999999565e-01 4.477266799999999880e-01
8.950000000000000000e+01 5.604407900000000220e-01 4.395592099999999780e-01
9.000000000000000000e+01 5.697543299999999755e-01 4.302456700000000245e-01
9.050000000000000000e+01 5.801627799999999890e-01 4.198372200000000110e-01
9.100000000000000000e+01 5.915515099999999471e-01 4.084484899999999974e-01
9.150000000000000000e+01 6.038545100000000110e-01 3.961454899999999890e-01
9.200000000000000000e+01 6.170740999999999588e-01 3.829258999999999857e-01
9.250000000000000000e+01 6.310599099999999462e-01 3.689400899999999983e-01
9.300000000000000000e+01 6.454248500000000499e-01 3.545751500000000056e-01
9.350000000000000000e+01 6.597274899999999720e-01 3.402725099999999725e-01
9.400000000000000000e+01 6.737549900000000536e-01 3.262450100000000019e-01
9.450000000000000000e+01 6.876001099999999866e-01 3.123998900000000134e-01
9.500000000000000000e+01 7.014020199999999594e-01 2.985979799999999851e-01
9.550000000000000000e+01 7.151683199999999685e-01 2.848316799999999760e-01
9.600000000000000000e+01 7.288615899999999481e-01 2.711384099999999964e-01
9.650000000000000000e+01 7.423239000000000365e-01 2.576761000000000190e-01
9.700000000000000000e+01 7.551335799999999709e-01 2.448664200000000013e-01
9.750000000000000000e+01 7.669556199999999491e-01 2.330443799999999954e-01
9.800000000000000000e+01 7.779951699999999581e-01 2.220048299999999863e-01
9.850000000000000000e+01 7.887134500000000381e-01 2.112865499999999896e-01
9.900000000000000000e+01 7.991245200000000048e-01 2.008754799999999952e-01
9.950000000000000000e+01 8.086100000000000509e-01 1.913900000000000046e-01
1.000000000000000000e+02 8.164220899999999892e-01 1.835779100000000108e-01
1.005000000000000000e+02 8.224167000000000005e-01 1.775832999999999995e-01
1.010000000000000000e+02 8.274136500000000005e-01 1.725863499999999995e-01
1.015000000000000000e+02 8.326320299999999675e-01 1.673679700000000048e-01
1.020000000000000000e+02 8.384968900000000502e-01 1.615031100000000053e-01
