# time  poten(istate=1)  kinen  toten
0.0000000000  -39.8753771500  0.0132504271  -39.8621267229
4.1341370000  -39.8747353500  0.0126177708  -39.8621175792
8.2682740000  -39.8742427400  0.0121264881  -39.8621162519
12.4024110000  -39.8739167900  0.0118011988  -39.8621155912
16.5365480000  -39.8737729400  0.0116570593  -39.8621158807
20.6706850000  -39.8738170100  0.0117001466  -39.8621168634
24.8048220000  -39.8740479700  0.0119317248  -39.8621162452
28.9389590000  -39.8744669300  0.0123506332  -39.8621162968
33.0730960000  -39.8750698400  0.0129537981  -39.8621160419
37.2072330000  -39.8758534200  0.0137365308  -39.8621168892
41.3413700000  -39.8768094800  0.0146917901  -39.8621176899
45.4755070000  -39.8779286200  0.0158106233  -39.8621179967
49.6096440000  -39.8792023500  0.0170816670  -39.8621206830
53.7437810000  -39.8806126500  0.0184909005  -39.8621217495
57.8779180000  -39.8821450700  0.0200222728  -39.8621227972
62.0120550000  -39.8837809700  0.0216574793  -39.8621234907
66.1461920000  -39.8855017600  0.0233769939  -39.8621247661
70.2803290000  -39.8872865300  0.0251605169  -39.8621260131
74.4144660000  -39.8891140500  0.0269868682  -39.8621271818
78.5486030000  -39.8909631000  0.0288349513  -39.8621281487
82.6827400000  -39.8928128000  0.0306838492  -39.8621289508
86.8168770000  -39.8946430100  0.0325132580  -39.8621297520
90.9510140000  -39.8964348000  0.0343043586  -39.8621304414
95.0851510000  -39.8981707100  0.0360396998  -39.8621310102
99.2192880000  -39.8998350500  0.0377034711  -39.8621315789
103.3534250000  -39.9014139300  0.0392819026  -39.8621320274
107.4875620000  -39.9028964000  0.0407632894  -39.8621331106
111.6216990000  -39.9042711800  0.0421379390  -39.8621332410
115.7558360000  -39.9055312200  0.0433979797  -39.8621332403
119.8899730000  -39.9066707100  0.0445375718  -39.8621331382
124.0241100000  -39.9076857500  0.0455528126  -39.8621329374
128.1582470000  -39.9085740900  0.0464414416  -39.8621326484
132.2923840000  -39.9093355800  0.0472028986  -39.8621326814
136.4265210000  -39.9099697400  0.0478379242  -39.8621318158
140.5606580000  -39.9104793800  0.0483483973  -39.8621309827
144.6947950000  -39.9108674500  0.0487373883  -39.8621300617
148.8289320000  -39.9111380500  0.0490088245  -39.8621292255
152.9630690000  -39.9112957800  0.0491674710  -39.8621283090
157.0972060000  -39.9113461800  0.0492188046  -39.8621273754
161.2313430000  -39.9112954500  0.0491686928  -39.8621267572
165.3654800000  -39.9111493800  0.0490234758  -39.8621259042
169.4996170000  -39.9109148600  0.0487898557  -39.8621250043
173.6337540000  -39.9105988200  0.0484746791  -39.8621241409
177.7678910000  -39.9102082300  0.0480849204  -39.8621233096
181.9020280000  -39.9097500600  0.0476276031  -39.8621224569
186.0361650000  -39.9092313900  0.0471097271  -39.8621216629
190.1703020000  -39.9086591300  0.0465382431  -39.8621208869
194.3044390000  -39.9080401300  0.0459200006  -39.8621201294
198.4385760000  -39.9073810500  0.0452616615  -39.8621193885
202.5727130000  -39.9066883900  0.0445696870  -39.8621187030
206.7068500000  -39.9059683700  0.0438503016  -39.8621180684
210.8409870000  -39.9052269700  0.0431094569  -39.8621175131
214.9751240000  -39.9044698600  0.0423528010  -39.8621170590
219.1092610000  -39.9037024000  0.0415856475  -39.8621167525
223.2433980000  -39.9029289900  0.0408128607  -39.8621161293
227.3775350000  -39.9021550500  0.0400390540  -39.8621159960
231.5116720000  -39.9013853800  0.0392684056  -39.8621169744
235.6458090000  -39.9006232500  0.0385044766  -39.8621187734
239.7799460000  -39.8998713400  0.0377503531  -39.8621209869
243.9140830000  -39.8991324900  0.0370084489  -39.8621240411
248.0482200000  -39.8984050800  0.0362803875  -39.8621246925
252.1823570000  -39.8976935400  0.0355667720  -39.8621267680
256.3164940000  -39.8969971100  0.0348668774  -39.8621302326
260.4506310000  -39.8963031400  0.0341776111  -39.8621255289
264.5847680000  -39.8956178400  0.0334928167  -39.8621250233
268.7189050000  -39.8949273300  0.0328010115  -39.8621263185
272.8530420000  -39.8942092100  0.0320790078  -39.8621302022
276.9871790000  -39.8934142600  0.0312747624  -39.8621394976
281.1213160000  -39.8924022600  0.0302224474  -39.8621798126
285.2554530000  -39.8991694400  0.0296552738  -39.8695141662
289.3895900000  -39.8992808300  0.0297659877  -39.8695148423
293.5237270000  -39.8994308300  0.0299159874  -39.8695148426
297.6578640000  -39.8996200100  0.0301050920  -39.8695149180
301.7920010000  -39.8998479300  0.0303329518  -39.8695149782
305.9261380000  -39.9001139700  0.0305991148  -39.8695148552
310.0602750000  -39.9004178700  0.0309030015  -39.8695148685
314.1944120000  -39.9007587900  0.0312439087  -39.8695148813
318.3285490000  -39.9011361200  0.0316210280  -39.8695150920
322.4626860000  -39.9015486300  0.0320334696  -39.8695151604
326.5968230000  -39.9019954900  0.0324802605  -39.8695152295
330.7309600000  -39.9024756300  0.0329603132  -39.8695153168
334.8650970000  -39.9029878700  0.0334724447  -39.8695154253
338.9992340000  -39.9035309300  0.0340153721  -39.8695155579
343.1333710000  -39.9041034100  0.0345877084  -39.8695157016
347.2675080000  -39.9047038600  0.0351880008  -39.8695158592
351.4016450000  -39.9053306300  0.0358146319  -39.8695159981
355.5357820000  -39.9059819800  0.0364657987  -39.8695161813
359.6699190000  -39.9066560000  0.0371396112  -39.8695163888
363.8040560000  -39.9073506400  0.0378341248  -39.8695165152
367.9381930000  -39.9080637500  0.0385471605  -39.8695165895
372.0723300000  -39.9087918300  0.0392762661  -39.8695155639
376.2064670000  -39.9095347000  0.0400187290  -39.8695159710
380.3406040000  -39.9102872400  0.0407718981  -39.8695153419
384.4747410000  -39.9110477800  0.0415328610  -39.8695149190
388.6088780000  -39.9118125800  0.0422979608  -39.8695146192
392.7430150000  -39.9125780300  0.0430635867  -39.8695144433
396.8771520000  -39.9133402900  0.0438260576  -39.8695142324
401.0112890000  -39.9140953300  0.0445812700  -39.8695140600
405.1454260000  -39.9148387400  0.0453248397  -39.8695139003
409.2795630000  -39.9155658800  0.0460520959  -39.8695137841
413.4137000000  -39.9162717200  0.0467578936  -39.8695138264
417.5478370000  -39.9169513900  0.0474371469  -39.8695142431
421.6819740000  -39.9175994600  0.0480848164  -39.8695146436
425.8161110000  -39.9182104900  0.0486954577  -39.8695150323
429.9502480000  -39.9187791000  0.0492635725  -39.8695155275
434.0843850000  -39.9192995500  0.0497836262  -39.8695159238
438.2185220000  -39.9197665800  0.0502501585  -39.8695164215
442.3526590000  -39.9201748500  0.0506579344  -39.8695169156
446.4867960000  -39.9205187000  0.0510019653  -39.8695167347
450.6209330000  -39.9207948900  0.0512777408  -39.8695171492
454.7550700000  -39.9209989000  0.0514813597  -39.8695175403
458.8892070000  -39.9211281000  0.0516096444  -39.8695184556
463.0233440000  -39.9211788500  0.0516602125  -39.8695186375
467.1574810000  -39.9211503700  0.0516316184  -39.8695187516
471.2916180000  -39.9210424100  0.0515235977  -39.8695188123
